variant,region,year,birthper1000population
estimates,910,1950,49.864
estimates,910,1951,49.808
estimates,910,1952,49.702
estimates,910,1953,49.607
estimates,910,1954,49.524
estimates,910,1955,49.452
estimates,910,1956,49.39
estimates,910,1957,49.337
estimates,910,1958,49.291
estimates,910,1959,49.246
estimates,910,1960,49.198
estimates,910,1961,49.141
estimates,910,1962,49.072
estimates,910,1963,48.99
estimates,910,1964,48.897
estimates,910,1965,48.8
estimates,910,1966,48.713
estimates,910,1967,48.642
estimates,910,1968,48.595
estimates,910,1969,48.57
estimates,910,1970,48.563
estimates,910,1971,48.566
estimates,910,1972,48.567
estimates,910,1973,48.556
estimates,910,1974,48.529
estimates,910,1975,48.484
estimates,910,1976,48.422
estimates,910,1977,48.347
estimates,910,1978,48.262
estimates,910,1979,48.165
estimates,910,1980,48.054
estimates,910,1981,47.926
estimates,910,1982,47.778
estimates,910,1983,47.607
estimates,910,1984,47.411
estimates,910,1985,47.184
estimates,910,1986,46.922
estimates,910,1987,46.624
estimates,910,1988,46.297
estimates,910,1989,45.949
estimates,910,1990,45.595
estimates,910,1991,45.255
estimates,910,1992,44.94
estimates,910,1993,44.655
estimates,910,1994,44.398
estimates,910,1995,44.159
estimates,910,1996,43.923
estimates,910,1997,43.67
estimates,910,1998,43.385
estimates,910,1999,43.063
estimates,910,2000,42.704
estimates,910,2001,42.313
estimates,910,2002,41.903
estimates,910,2003,41.484
estimates,910,2004,41.059
estimates,910,2005,40.626
estimates,910,2006,40.183
estimates,910,2007,39.725
estimates,910,2008,39.252
estimates,910,2009,38.765
estimates,910,2010,38.271
estimates,910,2011,37.774
estimates,910,2012,37.28
estimates,910,2013,36.795
estimates,910,2014,36.322
estimates,910,2015,35.862
medium_variant,910,2015,35.862
medium_variant,910,2016,35.414
medium_variant,910,2017,34.975
medium_variant,910,2018,34.542
medium_variant,910,2019,34.114
medium_variant,910,2020,33.692
medium_variant,910,2021,33.274
medium_variant,910,2022,32.862
medium_variant,910,2023,32.456
medium_variant,910,2024,32.056
medium_variant,910,2025,31.661
medium_variant,910,2026,31.272
medium_variant,910,2027,30.889
medium_variant,910,2028,30.511
medium_variant,910,2029,30.138
medium_variant,910,2030,29.769
medium_variant,910,2031,29.404
medium_variant,910,2032,29.043
medium_variant,910,2033,28.684
medium_variant,910,2034,28.328
medium_variant,910,2035,27.976
medium_variant,910,2036,27.627
medium_variant,910,2037,27.284
medium_variant,910,2038,26.945
medium_variant,910,2039,26.612
medium_variant,910,2040,26.284
medium_variant,910,2041,25.961
medium_variant,910,2042,25.643
medium_variant,910,2043,25.329
medium_variant,910,2044,25.02
medium_variant,910,2045,24.714
medium_variant,910,2046,24.413
medium_variant,910,2047,24.117
medium_variant,910,2048,23.825
medium_variant,910,2049,23.538
medium_variant,910,2050,23.257
medium_variant,910,2051,22.98
medium_variant,910,2052,22.709
medium_variant,910,2053,22.443
medium_variant,910,2054,22.181
medium_variant,910,2055,21.925
medium_variant,910,2056,21.673
medium_variant,910,2057,21.426
medium_variant,910,2058,21.184
medium_variant,910,2059,20.946
medium_variant,910,2060,20.713
medium_variant,910,2061,20.484
medium_variant,910,2062,20.261
medium_variant,910,2063,20.042
medium_variant,910,2064,19.827
medium_variant,910,2065,19.616
medium_variant,910,2066,19.409
medium_variant,910,2067,19.205
medium_variant,910,2068,19.005
medium_variant,910,2069,18.807
medium_variant,910,2070,18.612
medium_variant,910,2071,18.42
medium_variant,910,2072,18.232
medium_variant,910,2073,18.046
medium_variant,910,2074,17.864
medium_variant,910,2075,17.685
medium_variant,910,2076,17.51
medium_variant,910,2077,17.337
medium_variant,910,2078,17.168
medium_variant,910,2079,17.003
medium_variant,910,2080,16.84
medium_variant,910,2081,16.68
medium_variant,910,2082,16.523
medium_variant,910,2083,16.37
medium_variant,910,2084,16.218
medium_variant,910,2085,16.07
medium_variant,910,2086,15.924
medium_variant,910,2087,15.782
medium_variant,910,2088,15.642
medium_variant,910,2089,15.505
medium_variant,910,2090,15.371
medium_variant,910,2091,15.238
medium_variant,910,2092,15.108
medium_variant,910,2093,14.979
medium_variant,910,2094,14.852
medium_variant,910,2095,14.727
medium_variant,910,2096,14.603
medium_variant,910,2097,14.481
medium_variant,910,2098,14.361
medium_variant,910,2099,14.241
