variant,region,year,birthper1000population
estimates,957,1950,47.813
estimates,957,1951,47.787
estimates,957,1952,47.717
estimates,957,1953,47.612
estimates,957,1954,47.474
estimates,957,1955,47.301
estimates,957,1956,47.092
estimates,957,1957,46.842
estimates,957,1958,46.549
estimates,957,1959,46.203
estimates,957,1960,45.793
estimates,957,1961,45.312
estimates,957,1962,44.751
estimates,957,1963,44.11
estimates,957,1964,43.393
estimates,957,1965,42.604
estimates,957,1966,41.747
estimates,957,1967,40.841
estimates,957,1968,39.914
estimates,957,1969,38.993
estimates,957,1970,38.11
estimates,957,1971,37.295
estimates,957,1972,36.565
estimates,957,1973,35.93
estimates,957,1974,35.398
estimates,957,1975,34.97
estimates,957,1976,34.641
estimates,957,1977,34.385
estimates,957,1978,34.179
estimates,957,1979,34.003
estimates,957,1980,33.845
estimates,957,1981,33.696
estimates,957,1982,33.551
estimates,957,1983,33.398
estimates,957,1984,33.223
estimates,957,1985,33.01
estimates,957,1986,32.744
estimates,957,1987,32.422
estimates,957,1988,32.045
estimates,957,1989,31.611
estimates,957,1990,31.121
estimates,957,1991,30.575
estimates,957,1992,29.988
estimates,957,1993,29.376
estimates,957,1994,28.753
estimates,957,1995,28.134
estimates,957,1996,27.535
estimates,957,1997,26.962
estimates,957,1998,26.423
estimates,957,1999,25.925
estimates,957,2000,25.474
estimates,957,2001,25.072
estimates,957,2002,24.71
estimates,957,2003,24.379
estimates,957,2004,24.068
estimates,957,2005,23.767
estimates,957,2006,23.461
estimates,957,2007,23.143
estimates,957,2008,22.808
estimates,957,2009,22.455
estimates,957,2010,22.087
estimates,957,2011,21.711
estimates,957,2012,21.339
estimates,957,2013,20.983
estimates,957,2014,20.649
estimates,957,2015,20.343
medium_variant,957,2015,20.343
medium_variant,957,2016,20.066
medium_variant,957,2017,19.816
medium_variant,957,2018,19.59
medium_variant,957,2019,19.388
medium_variant,957,2020,19.207
medium_variant,957,2021,19.046
medium_variant,957,2022,18.902
medium_variant,957,2023,18.771
medium_variant,957,2024,18.649
medium_variant,957,2025,18.534
medium_variant,957,2026,18.424
medium_variant,957,2027,18.319
medium_variant,957,2028,18.216
medium_variant,957,2029,18.113
medium_variant,957,2030,18.006
medium_variant,957,2031,17.893
medium_variant,957,2032,17.773
medium_variant,957,2033,17.645
medium_variant,957,2034,17.507
medium_variant,957,2035,17.359
medium_variant,957,2036,17.198
medium_variant,957,2037,17.028
medium_variant,957,2038,16.848
medium_variant,957,2039,16.661
medium_variant,957,2040,16.467
medium_variant,957,2041,16.268
medium_variant,957,2042,16.065
medium_variant,957,2043,15.861
medium_variant,957,2044,15.659
medium_variant,957,2045,15.461
medium_variant,957,2046,15.269
medium_variant,957,2047,15.084
medium_variant,957,2048,14.907
medium_variant,957,2049,14.741
medium_variant,957,2050,14.587
medium_variant,957,2051,14.446
medium_variant,957,2052,14.319
medium_variant,957,2053,14.204
medium_variant,957,2054,14.1
medium_variant,957,2055,14.008
medium_variant,957,2056,13.925
medium_variant,957,2057,13.85
medium_variant,957,2058,13.78
medium_variant,957,2059,13.712
medium_variant,957,2060,13.645
medium_variant,957,2061,13.578
medium_variant,957,2062,13.508
medium_variant,957,2063,13.436
medium_variant,957,2064,13.359
medium_variant,957,2065,13.276
medium_variant,957,2066,13.186
medium_variant,957,2067,13.09
medium_variant,957,2068,12.987
medium_variant,957,2069,12.878
medium_variant,957,2070,12.764
medium_variant,957,2071,12.645
medium_variant,957,2072,12.522
medium_variant,957,2073,12.396
medium_variant,957,2074,12.271
medium_variant,957,2075,12.146
medium_variant,957,2076,12.023
medium_variant,957,2077,11.902
medium_variant,957,2078,11.786
medium_variant,957,2079,11.673
medium_variant,957,2080,11.567
medium_variant,957,2081,11.468
medium_variant,957,2082,11.376
medium_variant,957,2083,11.29
medium_variant,957,2084,11.212
medium_variant,957,2085,11.14
medium_variant,957,2086,11.075
medium_variant,957,2087,11.016
medium_variant,957,2088,10.962
medium_variant,957,2089,10.911
medium_variant,957,2090,10.864
medium_variant,957,2091,10.818
medium_variant,957,2092,10.773
medium_variant,957,2093,10.729
medium_variant,957,2094,10.685
medium_variant,957,2095,10.64
medium_variant,957,2096,10.595
medium_variant,957,2097,10.55
medium_variant,957,2098,10.503
medium_variant,957,2099,10.456
