variant,region,year,birthper1000population
estimates,913,1950,42.468
estimates,913,1951,42.371
estimates,913,1952,42.178
estimates,913,1953,41.989
estimates,913,1954,41.803
estimates,913,1955,41.62
estimates,913,1956,41.44
estimates,913,1957,41.26
estimates,913,1958,41.079
estimates,913,1959,40.892
estimates,913,1960,40.694
estimates,913,1961,40.482
estimates,913,1962,40.252
estimates,913,1963,40.005
estimates,913,1964,39.747
estimates,913,1965,39.489
estimates,913,1966,39.248
estimates,913,1967,39.036
estimates,913,1968,38.855
estimates,913,1969,38.705
estimates,913,1970,38.574
estimates,913,1971,38.45
estimates,913,1972,38.314
estimates,913,1973,38.151
estimates,913,1974,37.953
estimates,913,1975,37.72
estimates,913,1976,37.458
estimates,913,1977,37.176
estimates,913,1978,36.877
estimates,913,1979,36.558
estimates,913,1980,36.208
estimates,913,1981,35.815
estimates,913,1982,35.371
estimates,913,1983,34.87
estimates,913,1984,34.312
estimates,913,1985,33.694
estimates,913,1986,33.018
estimates,913,1987,32.295
estimates,913,1988,31.543
estimates,913,1989,30.78
estimates,913,1990,30.026
estimates,913,1991,29.302
estimates,913,1992,28.62
estimates,913,1993,27.991
estimates,913,1994,27.423
estimates,913,1995,26.921
estimates,913,1996,26.483
estimates,913,1997,26.095
estimates,913,1998,25.746
estimates,913,1999,25.43
estimates,913,2000,25.141
estimates,913,2001,24.877
estimates,913,2002,24.636
estimates,913,2003,24.415
estimates,913,2004,24.21
estimates,913,2005,24.021
estimates,913,2006,23.849
estimates,913,2007,23.695
estimates,913,2008,23.553
estimates,913,2009,23.415
estimates,913,2010,23.27
estimates,913,2011,23.103
estimates,913,2012,22.907
estimates,913,2013,22.677
estimates,913,2014,22.412
estimates,913,2015,22.115
medium_variant,913,2015,22.115
medium_variant,913,2016,21.792
medium_variant,913,2017,21.456
medium_variant,913,2018,21.118
medium_variant,913,2019,20.784
medium_variant,913,2020,20.459
medium_variant,913,2021,20.143
medium_variant,913,2022,19.834
medium_variant,913,2023,19.532
medium_variant,913,2024,19.238
medium_variant,913,2025,18.954
medium_variant,913,2026,18.682
medium_variant,913,2027,18.421
medium_variant,913,2028,18.174
medium_variant,913,2029,17.939
medium_variant,913,2030,17.719
medium_variant,913,2031,17.511
medium_variant,913,2032,17.317
medium_variant,913,2033,17.133
medium_variant,913,2034,16.96
medium_variant,913,2035,16.794
medium_variant,913,2036,16.636
medium_variant,913,2037,16.484
medium_variant,913,2038,16.336
medium_variant,913,2039,16.19
medium_variant,913,2040,16.045
medium_variant,913,2041,15.9
medium_variant,913,2042,15.754
medium_variant,913,2043,15.607
medium_variant,913,2044,15.459
medium_variant,913,2045,15.308
medium_variant,913,2046,15.157
medium_variant,913,2047,15.004
medium_variant,913,2048,14.852
medium_variant,913,2049,14.7
medium_variant,913,2050,14.549
medium_variant,913,2051,14.4
medium_variant,913,2052,14.252
medium_variant,913,2053,14.107
medium_variant,913,2054,13.964
medium_variant,913,2055,13.825
medium_variant,913,2056,13.691
medium_variant,913,2057,13.561
medium_variant,913,2058,13.437
medium_variant,913,2059,13.318
medium_variant,913,2060,13.205
medium_variant,913,2061,13.098
medium_variant,913,2062,12.996
medium_variant,913,2063,12.898
medium_variant,913,2064,12.806
medium_variant,913,2065,12.716
medium_variant,913,2066,12.631
medium_variant,913,2067,12.548
medium_variant,913,2068,12.467
medium_variant,913,2069,12.389
medium_variant,913,2070,12.313
medium_variant,913,2071,12.238
medium_variant,913,2072,12.166
medium_variant,913,2073,12.095
medium_variant,913,2074,12.026
medium_variant,913,2075,11.958
medium_variant,913,2076,11.891
medium_variant,913,2077,11.825
medium_variant,913,2078,11.759
medium_variant,913,2079,11.694
medium_variant,913,2080,11.629
medium_variant,913,2081,11.565
medium_variant,913,2082,11.502
medium_variant,913,2083,11.44
medium_variant,913,2084,11.38
medium_variant,913,2085,11.321
medium_variant,913,2086,11.265
medium_variant,913,2087,11.21
medium_variant,913,2088,11.158
medium_variant,913,2089,11.108
medium_variant,913,2090,11.06
medium_variant,913,2091,11.014
medium_variant,913,2092,10.971
medium_variant,913,2093,10.93
medium_variant,913,2094,10.89
medium_variant,913,2095,10.853
medium_variant,913,2096,10.818
medium_variant,913,2097,10.785
medium_variant,913,2098,10.754
medium_variant,913,2099,10.725
