variant,region,year,birthper1000population
estimates,914,1950,47.26
estimates,914,1951,47.295
estimates,914,1952,47.364
estimates,914,1953,47.427
estimates,914,1954,47.486
estimates,914,1955,47.54
estimates,914,1956,47.589
estimates,914,1957,47.63
estimates,914,1958,47.664
estimates,914,1959,47.687
estimates,914,1960,47.695
estimates,914,1961,47.688
estimates,914,1962,47.664
estimates,914,1963,47.625
estimates,914,1964,47.576
estimates,914,1965,47.53
estimates,914,1966,47.499
estimates,914,1967,47.492
estimates,914,1968,47.515
estimates,914,1969,47.564
estimates,914,1970,47.638
estimates,914,1971,47.726
estimates,914,1972,47.816
estimates,914,1973,47.892
estimates,914,1974,47.945
estimates,914,1975,47.967
estimates,914,1976,47.952
estimates,914,1977,47.901
estimates,914,1978,47.815
estimates,914,1979,47.693
estimates,914,1980,47.533
estimates,914,1981,47.332
estimates,914,1982,47.094
estimates,914,1983,46.827
estimates,914,1984,46.537
estimates,914,1985,46.231
estimates,914,1986,45.917
estimates,914,1987,45.601
estimates,914,1988,45.291
estimates,914,1989,44.994
estimates,914,1990,44.718
estimates,914,1991,44.467
estimates,914,1992,44.24
estimates,914,1993,44.034
estimates,914,1994,43.848
estimates,914,1995,43.681
estimates,914,1996,43.53
estimates,914,1997,43.389
estimates,914,1998,43.253
estimates,914,1999,43.115
estimates,914,2000,42.97
estimates,914,2001,42.815
estimates,914,2002,42.647
estimates,914,2003,42.465
estimates,914,2004,42.265
estimates,914,2005,42.047
estimates,914,2006,41.811
estimates,914,2007,41.559
estimates,914,2008,41.29
estimates,914,2009,41.004
estimates,914,2010,40.693
estimates,914,2011,40.352
estimates,914,2012,39.979
estimates,914,2013,39.574
estimates,914,2014,39.143
estimates,914,2015,38.693
medium_variant,914,2015,38.693
medium_variant,914,2016,38.232
medium_variant,914,2017,37.771
medium_variant,914,2018,37.319
medium_variant,914,2019,36.882
medium_variant,914,2020,36.464
medium_variant,914,2021,36.066
medium_variant,914,2022,35.683
medium_variant,914,2023,35.311
medium_variant,914,2024,34.949
medium_variant,914,2025,34.597
medium_variant,914,2026,34.253
medium_variant,914,2027,33.916
medium_variant,914,2028,33.584
medium_variant,914,2029,33.257
medium_variant,914,2030,32.931
medium_variant,914,2031,32.607
medium_variant,914,2032,32.283
medium_variant,914,2033,31.96
medium_variant,914,2034,31.635
medium_variant,914,2035,31.308
medium_variant,914,2036,30.979
medium_variant,914,2037,30.648
medium_variant,914,2038,30.316
medium_variant,914,2039,29.982
medium_variant,914,2040,29.648
medium_variant,914,2041,29.313
medium_variant,914,2042,28.978
medium_variant,914,2043,28.643
medium_variant,914,2044,28.31
medium_variant,914,2045,27.978
medium_variant,914,2046,27.65
medium_variant,914,2047,27.325
medium_variant,914,2048,27.003
medium_variant,914,2049,26.686
medium_variant,914,2050,26.373
medium_variant,914,2051,26.063
medium_variant,914,2052,25.758
medium_variant,914,2053,25.457
medium_variant,914,2054,25.16
medium_variant,914,2055,24.867
medium_variant,914,2056,24.581
medium_variant,914,2057,24.301
medium_variant,914,2058,24.028
medium_variant,914,2059,23.762
medium_variant,914,2060,23.502
medium_variant,914,2061,23.247
medium_variant,914,2062,22.998
medium_variant,914,2063,22.753
medium_variant,914,2064,22.511
medium_variant,914,2065,22.272
medium_variant,914,2066,22.036
medium_variant,914,2067,21.801
medium_variant,914,2068,21.57
medium_variant,914,2069,21.34
medium_variant,914,2070,21.112
medium_variant,914,2071,20.886
medium_variant,914,2072,20.662
medium_variant,914,2073,20.441
medium_variant,914,2074,20.222
medium_variant,914,2075,20.006
medium_variant,914,2076,19.792
medium_variant,914,2077,19.582
medium_variant,914,2078,19.374
medium_variant,914,2079,19.169
medium_variant,914,2080,18.968
medium_variant,914,2081,18.771
medium_variant,914,2082,18.578
medium_variant,914,2083,18.389
medium_variant,914,2084,18.203
medium_variant,914,2085,18.02
medium_variant,914,2086,17.841
medium_variant,914,2087,17.664
medium_variant,914,2088,17.49
medium_variant,914,2089,17.319
medium_variant,914,2090,17.149
medium_variant,914,2091,16.982
medium_variant,914,2092,16.817
medium_variant,914,2093,16.655
medium_variant,914,2094,16.496
medium_variant,914,2095,16.34
medium_variant,914,2096,16.187
medium_variant,914,2097,16.036
medium_variant,914,2098,15.889
medium_variant,914,2099,15.745
