variant,continent,year,oldagedependencyratio2569
estimates,905,1950,9.624
estimates,905,1951,9.947
estimates,905,1952,10.249
estimates,905,1953,10.515
estimates,905,1954,10.741
estimates,905,1955,10.942
estimates,905,1956,11.28
estimates,905,1957,11.581
estimates,905,1958,11.831
estimates,905,1959,12.03
estimates,905,1960,12.192
estimates,905,1961,12.529
estimates,905,1962,12.836
estimates,905,1963,13.107
estimates,905,1964,13.332
estimates,905,1965,13.508
estimates,905,1966,13.762
estimates,905,1967,13.955
estimates,905,1968,14.08
estimates,905,1969,14.139
estimates,905,1970,14.144
estimates,905,1971,14.303
estimates,905,1972,14.377
estimates,905,1973,14.386
estimates,905,1974,14.368
estimates,905,1975,14.359
estimates,905,1976,14.601
estimates,905,1977,14.851
estimates,905,1978,15.079
estimates,905,1979,15.267
estimates,905,1980,15.425
estimates,905,1981,15.611
estimates,905,1982,15.753
estimates,905,1983,15.855
estimates,905,1984,15.923
estimates,905,1985,15.97
estimates,905,1986,16.085
estimates,905,1987,16.174
estimates,905,1988,16.244
estimates,905,1989,16.31
estimates,905,1990,16.386
estimates,905,1991,16.526
estimates,905,1992,16.657
estimates,905,1993,16.768
estimates,905,1994,16.848
estimates,905,1995,16.894
estimates,905,1996,16.99
estimates,905,1997,17.051
estimates,905,1998,17.074
estimates,905,1999,17.053
estimates,905,2000,16.991
estimates,905,2001,16.955
estimates,905,2002,16.896
estimates,905,2003,16.822
estimates,905,2004,16.743
estimates,905,2005,16.669
estimates,905,2006,16.708
estimates,905,2007,16.751
estimates,905,2008,16.813
estimates,905,2009,16.905
estimates,905,2010,17.037
estimates,905,2011,17.254
estimates,905,2012,17.517
estimates,905,2013,17.847
estimates,905,2014,18.254
estimates,905,2015,18.738
medium_variant,905,2015,18.738
medium_variant,905,2016,19.277
medium_variant,905,2017,19.879
medium_variant,905,2018,20.533
medium_variant,905,2019,21.226
medium_variant,905,2020,21.953
medium_variant,905,2021,22.701
medium_variant,905,2022,23.488
medium_variant,905,2023,24.319
medium_variant,905,2024,25.197
medium_variant,905,2025,26.121
medium_variant,905,2026,27.039
medium_variant,905,2027,27.991
medium_variant,905,2028,28.958
medium_variant,905,2029,29.912
medium_variant,905,2030,30.834
medium_variant,905,2031,31.626
medium_variant,905,2032,32.376
medium_variant,905,2033,33.071
medium_variant,905,2034,33.697
medium_variant,905,2035,34.246
medium_variant,905,2036,34.604
medium_variant,905,2037,34.89
medium_variant,905,2038,35.129
medium_variant,905,2039,35.347
medium_variant,905,2040,35.551
medium_variant,905,2041,35.624
medium_variant,905,2042,35.712
medium_variant,905,2043,35.798
medium_variant,905,2044,35.863
medium_variant,905,2045,35.908
medium_variant,905,2046,35.838
medium_variant,905,2047,35.769
medium_variant,905,2048,35.732
medium_variant,905,2049,35.759
medium_variant,905,2050,35.86
medium_variant,905,2051,35.919
medium_variant,905,2052,36.078
medium_variant,905,2053,36.317
medium_variant,905,2054,36.594
medium_variant,905,2055,36.885
medium_variant,905,2056,37.101
medium_variant,905,2057,37.37
medium_variant,905,2058,37.682
medium_variant,905,2059,38.037
medium_variant,905,2060,38.448
medium_variant,905,2061,38.788
medium_variant,905,2062,39.186
medium_variant,905,2063,39.63
medium_variant,905,2064,40.083
medium_variant,905,2065,40.505
medium_variant,905,2066,40.708
medium_variant,905,2067,40.912
medium_variant,905,2068,41.115
medium_variant,905,2069,41.338
medium_variant,905,2070,41.61
medium_variant,905,2071,41.732
medium_variant,905,2072,41.903
medium_variant,905,2073,42.139
medium_variant,905,2074,42.436
medium_variant,905,2075,42.766
medium_variant,905,2076,42.883
medium_variant,905,2077,43.076
medium_variant,905,2078,43.309
medium_variant,905,2079,43.553
medium_variant,905,2080,43.812
medium_variant,905,2081,43.864
medium_variant,905,2082,43.944
medium_variant,905,2083,44.086
medium_variant,905,2084,44.309
medium_variant,905,2085,44.597
medium_variant,905,2086,44.685
medium_variant,905,2087,44.882
medium_variant,905,2088,45.146
medium_variant,905,2089,45.448
medium_variant,905,2090,45.795
medium_variant,905,2091,45.951
medium_variant,905,2092,46.158
medium_variant,905,2093,46.435
medium_variant,905,2094,46.789
medium_variant,905,2095,47.206
medium_variant,905,2096,47.356
medium_variant,905,2097,47.589
medium_variant,905,2098,47.89
medium_variant,905,2099,48.236
medium_variant,905,2100,48.618
high_variant,905,2015,17.1115222851473
low_variant,905,2015,17.1115222851473
constant_fertility,905,2015,17.1115222851473
instant_replacement,905,2015,17.1115222851473
zero_migration,905,2015,17.1115222851473
constant_mortality,905,2015,17.1115222851473
no_change,905,2015,17.1115222851473
high_variant,905,2020,19.8878319018673
low_variant,905,2020,19.8878319018673
constant_fertility,905,2020,19.8878319018673
instant_replacement,905,2020,19.8878319018673
zero_migration,905,2020,20.1370052263684
constant_mortality,905,2020,19.6954564495388
no_change,905,2020,19.6954564495388
high_variant,905,2025,23.3731310705374
low_variant,905,2025,23.3731310705374
constant_fertility,905,2025,23.3731310705374
instant_replacement,905,2025,23.3731310705374
zero_migration,905,2025,24.0178706544473
constant_mortality,905,2025,22.8122307368195
no_change,905,2025,22.8122307368195
high_variant,905,2030,27.521060142497
low_variant,905,2030,27.521060142497
constant_fertility,905,2030,27.521060142497
instant_replacement,905,2030,27.521060142497
zero_migration,905,2030,28.7845777650353
constant_mortality,905,2030,26.3668503037021
no_change,905,2030,26.3668503037021
high_variant,905,2035,30.9751666185358
low_variant,905,2035,30.9751666185358
constant_fertility,905,2035,30.9751666185358
instant_replacement,905,2035,30.9751666185358
zero_migration,905,2035,33.0414275562513
constant_mortality,905,2035,28.9981981995816
no_change,905,2035,28.9981981995816
high_variant,905,2040,32.1681779324388
low_variant,905,2040,32.1681779324388
constant_fertility,905,2040,32.1681779324388
instant_replacement,905,2040,32.1681779324388
zero_migration,905,2040,34.9708579825305
constant_mortality,905,2040,29.2349327673633
no_change,905,2040,29.2349327673633
high_variant,905,2045,32.2212504547737
low_variant,905,2045,33.0841543542044
constant_fertility,905,2045,32.6559414023404
instant_replacement,905,2045,32.2839295731661
zero_migration,905,2045,36.1466859282512
constant_mortality,905,2045,28.731846694158
no_change,905,2045,28.739789354961
high_variant,905,2050,31.2055048690799
low_variant,905,2050,33.4023234350048
constant_fertility,905,2050,32.3178154218485
instant_replacement,905,2050,31.5764319329527
