continent,variant,freq,year,lifeexpectancyat80
905,estimates,5yearly,1950,6.61109844646151
905,estimates,5yearly,1955,6.69810716001628
905,estimates,5yearly,1960,6.78439231103813
905,estimates,5yearly,1965,6.98250583638008
905,estimates,5yearly,1970,7.3373555950535
905,estimates,5yearly,1975,7.90812727528711
905,estimates,5yearly,1980,8.15122328460672
905,estimates,5yearly,1985,8.25131533658168
905,estimates,5yearly,1990,8.48705831698382
905,estimates,5yearly,1995,8.42264602785624
905,estimates,5yearly,2000,8.54862970499814
905,estimates,5yearly,2005,9.04120687177298
905,estimates,5yearly,2010,9.39041728293401
905,medium_variant,5yearly,2015,9.61993395868378
905,medium_variant,5yearly,2020,9.86728060221893
905,medium_variant,5yearly,2025,10.111916261757
905,medium_variant,5yearly,2030,10.371677816595
905,medium_variant,5yearly,2035,10.6311685921499
905,medium_variant,5yearly,2040,10.8846440672841
905,medium_variant,5yearly,2045,11.134561530112
905,medium_variant,5yearly,2050,11.3706641812448
905,medium_variant,5yearly,2055,11.5997360228493
905,medium_variant,5yearly,2060,11.8294535664268
905,medium_variant,5yearly,2065,12.0397432047868
905,medium_variant,5yearly,2070,12.2500867410353
905,medium_variant,5yearly,2075,12.5094722061436
905,medium_variant,5yearly,2080,12.7962109431124
905,medium_variant,5yearly,2085,12.9322124655148
905,medium_variant,5yearly,2090,13.2125717228762
905,medium_variant,5yearly,2095,13.447879668999
