variant,region,year,crudedeathrateper1000population
estimates,925,1950,11.072
estimates,925,1951,10.979
estimates,925,1952,10.798
estimates,925,1953,10.627
estimates,925,1954,10.466
estimates,925,1955,10.315
estimates,925,1956,10.174
estimates,925,1957,10.044
estimates,925,1958,9.926
estimates,925,1959,9.821
estimates,925,1960,9.729
estimates,925,1961,9.654
estimates,925,1962,9.594
estimates,925,1963,9.55
estimates,925,1964,9.518
estimates,925,1965,9.497
estimates,925,1966,9.481
estimates,925,1967,9.467
estimates,925,1968,9.451
estimates,925,1969,9.431
estimates,925,1970,9.406
estimates,925,1971,9.376
estimates,925,1972,9.344
estimates,925,1973,9.311
estimates,925,1974,9.279
estimates,925,1975,9.246
estimates,925,1976,9.214
estimates,925,1977,9.18
estimates,925,1978,9.148
estimates,925,1979,9.116
estimates,925,1980,9.086
estimates,925,1981,9.059
estimates,925,1982,9.035
estimates,925,1983,9.016
estimates,925,1984,9.004
estimates,925,1985,9.001
estimates,925,1986,9.01
estimates,925,1987,9.032
estimates,925,1988,9.065
estimates,925,1989,9.108
estimates,925,1990,9.16
estimates,925,1991,9.217
estimates,925,1992,9.276
estimates,925,1993,9.333
estimates,925,1994,9.385
estimates,925,1995,9.429
estimates,925,1996,9.464
estimates,925,1997,9.489
estimates,925,1998,9.506
estimates,925,1999,9.516
estimates,925,2000,9.518
estimates,925,2001,9.513
estimates,925,2002,9.502
estimates,925,2003,9.49
estimates,925,2004,9.479
estimates,925,2005,9.474
estimates,925,2006,9.477
estimates,925,2007,9.493
estimates,925,2008,9.521
estimates,925,2009,9.563
estimates,925,2010,9.62
estimates,925,2011,9.69
estimates,925,2012,9.772
estimates,925,2013,9.86
estimates,925,2014,9.954
estimates,925,2015,10.05
medium_variant,925,2015,10.05
medium_variant,925,2016,10.147
medium_variant,925,2017,10.244
medium_variant,925,2018,10.338
medium_variant,925,2019,10.43
medium_variant,925,2020,10.518
medium_variant,925,2021,10.601
medium_variant,925,2022,10.682
medium_variant,925,2023,10.76
medium_variant,925,2024,10.837
medium_variant,925,2025,10.913
medium_variant,925,2026,10.989
medium_variant,925,2027,11.065
medium_variant,925,2028,11.144
medium_variant,925,2029,11.225
medium_variant,925,2030,11.31
medium_variant,925,2031,11.4
medium_variant,925,2032,11.495
medium_variant,925,2033,11.595
medium_variant,925,2034,11.7
medium_variant,925,2035,11.81
medium_variant,925,2036,11.926
medium_variant,925,2037,12.046
medium_variant,925,2038,12.171
medium_variant,925,2039,12.299
medium_variant,925,2040,12.43
medium_variant,925,2041,12.564
medium_variant,925,2042,12.701
medium_variant,925,2043,12.84
medium_variant,925,2044,12.981
medium_variant,925,2045,13.124
medium_variant,925,2046,13.269
medium_variant,925,2047,13.415
medium_variant,925,2048,13.563
medium_variant,925,2049,13.71
medium_variant,925,2050,13.857
medium_variant,925,2051,14.003
medium_variant,925,2052,14.148
medium_variant,925,2053,14.29
medium_variant,925,2054,14.426
medium_variant,925,2055,14.556
medium_variant,925,2056,14.677
medium_variant,925,2057,14.788
medium_variant,925,2058,14.888
medium_variant,925,2059,14.974
medium_variant,925,2060,15.044
medium_variant,925,2061,15.097
medium_variant,925,2062,15.133
medium_variant,925,2063,15.152
medium_variant,925,2064,15.152
medium_variant,925,2065,15.132
medium_variant,925,2066,15.093
medium_variant,925,2067,15.034
medium_variant,925,2068,14.956
medium_variant,925,2069,14.861
medium_variant,925,2070,14.75
medium_variant,925,2071,14.621
medium_variant,925,2072,14.477
medium_variant,925,2073,14.321
medium_variant,925,2074,14.155
medium_variant,925,2075,13.984
medium_variant,925,2076,13.809
medium_variant,925,2077,13.633
medium_variant,925,2078,13.459
medium_variant,925,2079,13.291
medium_variant,925,2080,13.132
medium_variant,925,2081,12.986
medium_variant,925,2082,12.852
medium_variant,925,2083,12.731
medium_variant,925,2084,12.624
medium_variant,925,2085,12.533
medium_variant,925,2086,12.458
medium_variant,925,2087,12.397
medium_variant,925,2088,12.349
medium_variant,925,2089,12.313
medium_variant,925,2090,12.287
medium_variant,925,2091,12.27
medium_variant,925,2092,12.26
medium_variant,925,2093,12.257
medium_variant,925,2094,12.259
medium_variant,925,2095,12.266
medium_variant,925,2096,12.277
medium_variant,925,2097,12.293
medium_variant,925,2098,12.314
medium_variant,925,2099,12.339
