variant,region,year,crudedeathrateper1000population
estimates,923,1950,12.105
estimates,923,1951,11.85
estimates,923,1952,11.356
estimates,923,1953,10.894
estimates,923,1954,10.464
estimates,923,1955,10.065
estimates,923,1956,9.699
estimates,923,1957,9.368
estimates,923,1958,9.074
estimates,923,1959,8.822
estimates,923,1960,8.616
estimates,923,1961,8.462
estimates,923,1962,8.362
estimates,923,1963,8.319
estimates,923,1964,8.327
estimates,923,1965,8.382
estimates,923,1966,8.476
estimates,923,1967,8.599
estimates,923,1968,8.741
estimates,923,1969,8.894
estimates,923,1970,9.054
estimates,923,1971,9.219
estimates,923,1972,9.39
estimates,923,1973,9.57
estimates,923,1974,9.753
estimates,923,1975,9.942
estimates,923,1976,10.135
estimates,923,1977,10.334
estimates,923,1978,10.533
estimates,923,1979,10.726
estimates,923,1980,10.896
estimates,923,1981,11.027
estimates,923,1982,11.111
estimates,923,1983,11.152
estimates,923,1984,11.16
estimates,923,1985,11.159
estimates,923,1986,11.182
estimates,923,1987,11.252
estimates,923,1988,11.385
estimates,923,1989,11.585
estimates,923,1990,11.841
estimates,923,1991,12.136
estimates,923,1992,12.44
estimates,923,1993,12.729
estimates,923,1994,12.99
estimates,923,1995,13.221
estimates,923,1996,13.426
estimates,923,1997,13.618
estimates,923,1998,13.8
estimates,923,1999,13.97
estimates,923,2000,14.119
estimates,923,2001,14.239
estimates,923,2002,14.321
estimates,923,2003,14.359
estimates,923,2004,14.351
estimates,923,2005,14.292
estimates,923,2006,14.176
estimates,923,2007,14.012
estimates,923,2008,13.814
estimates,923,2009,13.597
estimates,923,2010,13.384
estimates,923,2011,13.199
estimates,923,2012,13.058
estimates,923,2013,12.969
estimates,923,2014,12.936
estimates,923,2015,12.953
medium_variant,923,2015,12.953
medium_variant,923,2016,13.008
medium_variant,923,2017,13.08
medium_variant,923,2018,13.15
medium_variant,923,2019,13.211
medium_variant,923,2020,13.258
medium_variant,923,2021,13.292
medium_variant,923,2022,13.322
medium_variant,923,2023,13.354
medium_variant,923,2024,13.39
medium_variant,923,2025,13.431
medium_variant,923,2026,13.479
medium_variant,923,2027,13.534
medium_variant,923,2028,13.596
medium_variant,923,2029,13.665
medium_variant,923,2030,13.742
medium_variant,923,2031,13.828
medium_variant,923,2032,13.922
medium_variant,923,2033,14.022
medium_variant,923,2034,14.125
medium_variant,923,2035,14.23
medium_variant,923,2036,14.334
medium_variant,923,2037,14.435
medium_variant,923,2038,14.53
medium_variant,923,2039,14.616
medium_variant,923,2040,14.693
medium_variant,923,2041,14.757
medium_variant,923,2042,14.81
medium_variant,923,2043,14.852
medium_variant,923,2044,14.883
medium_variant,923,2045,14.903
medium_variant,923,2046,14.91
medium_variant,923,2047,14.907
medium_variant,923,2048,14.895
medium_variant,923,2049,14.876
medium_variant,923,2050,14.853
medium_variant,923,2051,14.827
medium_variant,923,2052,14.8
medium_variant,923,2053,14.774
medium_variant,923,2054,14.752
medium_variant,923,2055,14.737
medium_variant,923,2056,14.729
medium_variant,923,2057,14.73
medium_variant,923,2058,14.738
medium_variant,923,2059,14.753
medium_variant,923,2060,14.775
medium_variant,923,2061,14.803
medium_variant,923,2062,14.835
medium_variant,923,2063,14.868
medium_variant,923,2064,14.898
medium_variant,923,2065,14.925
medium_variant,923,2066,14.946
medium_variant,923,2067,14.96
medium_variant,923,2068,14.964
medium_variant,923,2069,14.958
medium_variant,923,2070,14.937
medium_variant,923,2071,14.9
medium_variant,923,2072,14.846
medium_variant,923,2073,14.775
medium_variant,923,2074,14.688
medium_variant,923,2075,14.583
medium_variant,923,2076,14.461
medium_variant,923,2077,14.324
medium_variant,923,2078,14.173
medium_variant,923,2079,14.014
medium_variant,923,2080,13.848
medium_variant,923,2081,13.677
medium_variant,923,2082,13.505
medium_variant,923,2083,13.335
medium_variant,923,2084,13.171
medium_variant,923,2085,13.017
medium_variant,923,2086,12.876
medium_variant,923,2087,12.748
medium_variant,923,2088,12.636
medium_variant,923,2089,12.541
medium_variant,923,2090,12.464
medium_variant,923,2091,12.406
medium_variant,923,2092,12.365
medium_variant,923,2093,12.342
medium_variant,923,2094,12.336
medium_variant,923,2095,12.346
medium_variant,923,2096,12.372
medium_variant,923,2097,12.414
medium_variant,923,2098,12.472
medium_variant,923,2099,12.546
