variant,region,year,crudedeathrateper1000population
estimates,914,1950,31.343
estimates,914,1951,31.103
estimates,914,1952,30.625
estimates,914,1953,30.152
estimates,914,1954,29.684
estimates,914,1955,29.222
estimates,914,1956,28.765
estimates,914,1957,28.315
estimates,914,1958,27.872
estimates,914,1959,27.439
estimates,914,1960,27.017
estimates,914,1961,26.609
estimates,914,1962,26.214
estimates,914,1963,25.835
estimates,914,1964,25.467
estimates,914,1965,25.109
estimates,914,1966,24.756
estimates,914,1967,24.404
estimates,914,1968,24.049
estimates,914,1969,23.686
estimates,914,1970,23.314
estimates,914,1971,22.928
estimates,914,1972,22.532
estimates,914,1973,22.128
estimates,914,1974,21.717
estimates,914,1975,21.302
estimates,914,1976,20.882
estimates,914,1977,20.463
estimates,914,1978,20.05
estimates,914,1979,19.65
estimates,914,1980,19.273
estimates,914,1981,18.928
estimates,914,1982,18.62
estimates,914,1983,18.351
estimates,914,1984,18.121
estimates,914,1985,17.927
estimates,914,1986,17.764
estimates,914,1987,17.622
estimates,914,1988,17.495
estimates,914,1989,17.377
estimates,914,1990,17.269
estimates,914,1991,17.175
estimates,914,1992,17.096
estimates,914,1993,17.03
estimates,914,1994,16.972
estimates,914,1995,16.916
estimates,914,1996,16.854
estimates,914,1997,16.778
estimates,914,1998,16.679
estimates,914,1999,16.548
estimates,914,2000,16.372
estimates,914,2001,16.139
estimates,914,2002,15.85
estimates,914,2003,15.509
estimates,914,2004,15.124
estimates,914,2005,14.708
estimates,914,2006,14.278
estimates,914,2007,13.851
estimates,914,2008,13.44
estimates,914,2009,13.056
estimates,914,2010,12.702
estimates,914,2011,12.375
estimates,914,2012,12.067
estimates,914,2013,11.769
estimates,914,2014,11.48
estimates,914,2015,11.2
medium_variant,914,2015,11.2
medium_variant,914,2016,10.928
medium_variant,914,2017,10.666
medium_variant,914,2018,10.414
medium_variant,914,2019,10.173
medium_variant,914,2020,9.943
medium_variant,914,2021,9.722
medium_variant,914,2022,9.511
medium_variant,914,2023,9.308
medium_variant,914,2024,9.114
medium_variant,914,2025,8.928
medium_variant,914,2026,8.749
medium_variant,914,2027,8.579
medium_variant,914,2028,8.416
medium_variant,914,2029,8.26
medium_variant,914,2030,8.112
medium_variant,914,2031,7.971
medium_variant,914,2032,7.837
medium_variant,914,2033,7.71
medium_variant,914,2034,7.59
medium_variant,914,2035,7.476
medium_variant,914,2036,7.368
medium_variant,914,2037,7.267
medium_variant,914,2038,7.171
medium_variant,914,2039,7.082
medium_variant,914,2040,6.998
medium_variant,914,2041,6.92
medium_variant,914,2042,6.847
medium_variant,914,2043,6.78
medium_variant,914,2044,6.718
medium_variant,914,2045,6.661
medium_variant,914,2046,6.61
medium_variant,914,2047,6.563
medium_variant,914,2048,6.52
medium_variant,914,2049,6.483
medium_variant,914,2050,6.449
medium_variant,914,2051,6.419
medium_variant,914,2052,6.393
medium_variant,914,2053,6.37
medium_variant,914,2054,6.351
medium_variant,914,2055,6.336
medium_variant,914,2056,6.325
medium_variant,914,2057,6.317
medium_variant,914,2058,6.312
medium_variant,914,2059,6.311
medium_variant,914,2060,6.313
medium_variant,914,2061,6.319
medium_variant,914,2062,6.327
medium_variant,914,2063,6.337
medium_variant,914,2064,6.35
medium_variant,914,2065,6.365
medium_variant,914,2066,6.383
medium_variant,914,2067,6.403
medium_variant,914,2068,6.426
medium_variant,914,2069,6.451
medium_variant,914,2070,6.48
medium_variant,914,2071,6.512
medium_variant,914,2072,6.546
medium_variant,914,2073,6.583
medium_variant,914,2074,6.623
medium_variant,914,2075,6.665
medium_variant,914,2076,6.709
medium_variant,914,2077,6.754
medium_variant,914,2078,6.8
medium_variant,914,2079,6.847
medium_variant,914,2080,6.894
medium_variant,914,2081,6.943
medium_variant,914,2082,6.994
medium_variant,914,2083,7.046
medium_variant,914,2084,7.099
medium_variant,914,2085,7.155
medium_variant,914,2086,7.211
medium_variant,914,2087,7.269
medium_variant,914,2088,7.327
medium_variant,914,2089,7.386
medium_variant,914,2090,7.445
medium_variant,914,2091,7.505
medium_variant,914,2092,7.564
medium_variant,914,2093,7.624
medium_variant,914,2094,7.684
medium_variant,914,2095,7.745
medium_variant,914,2096,7.805
medium_variant,914,2097,7.866
medium_variant,914,2098,7.926
medium_variant,914,2099,7.987
