variant,region,year,crudedeathrateper1000population
estimates,910,1950,28.085
estimates,910,1951,27.84
estimates,910,1952,27.351
estimates,910,1953,26.862
estimates,910,1954,26.371
estimates,910,1955,25.88
estimates,910,1956,25.389
estimates,910,1957,24.899
estimates,910,1958,24.412
estimates,910,1959,23.931
estimates,910,1960,23.46
estimates,910,1961,23.004
estimates,910,1962,22.565
estimates,910,1963,22.149
estimates,910,1964,21.755
estimates,910,1965,21.385
estimates,910,1966,21.038
estimates,910,1967,20.708
estimates,910,1968,20.394
estimates,910,1969,20.092
estimates,910,1970,19.802
estimates,910,1971,19.522
estimates,910,1972,19.252
estimates,910,1973,18.993
estimates,910,1974,18.747
estimates,910,1975,18.517
estimates,910,1976,18.308
estimates,910,1977,18.123
estimates,910,1978,17.961
estimates,910,1979,17.817
estimates,910,1980,17.683
estimates,910,1981,17.544
estimates,910,1982,17.395
estimates,910,1983,17.232
estimates,910,1984,17.062
estimates,910,1985,16.905
estimates,910,1986,16.789
estimates,910,1987,16.73
estimates,910,1988,16.729
estimates,910,1989,16.774
estimates,910,1990,16.833
estimates,910,1991,16.866
estimates,910,1992,16.833
estimates,910,1993,16.711
estimates,910,1994,16.49
estimates,910,1995,16.18
estimates,910,1996,15.804
estimates,910,1997,15.398
estimates,910,1998,14.989
estimates,910,1999,14.586
estimates,910,2000,14.185
estimates,910,2001,13.772
estimates,910,2002,13.329
estimates,910,2003,12.848
estimates,910,2004,12.334
estimates,910,2005,11.795
estimates,910,2006,11.246
estimates,910,2007,10.705
estimates,910,2008,10.187
estimates,910,2009,9.706
estimates,910,2010,9.27
estimates,910,2011,8.884
estimates,910,2012,8.542
estimates,910,2013,8.239
estimates,910,2014,7.974
estimates,910,2015,7.743
medium_variant,910,2015,7.743
medium_variant,910,2016,7.543
medium_variant,910,2017,7.368
medium_variant,910,2018,7.214
medium_variant,910,2019,7.073
medium_variant,910,2020,6.942
medium_variant,910,2021,6.818
medium_variant,910,2022,6.701
medium_variant,910,2023,6.589
medium_variant,910,2024,6.481
medium_variant,910,2025,6.375
medium_variant,910,2026,6.273
medium_variant,910,2027,6.175
medium_variant,910,2028,6.082
medium_variant,910,2029,5.995
medium_variant,910,2030,5.913
medium_variant,910,2031,5.838
medium_variant,910,2032,5.768
medium_variant,910,2033,5.704
medium_variant,910,2034,5.645
medium_variant,910,2035,5.592
medium_variant,910,2036,5.544
medium_variant,910,2037,5.502
medium_variant,910,2038,5.464
medium_variant,910,2039,5.431
medium_variant,910,2040,5.402
medium_variant,910,2041,5.377
medium_variant,910,2042,5.356
medium_variant,910,2043,5.339
medium_variant,910,2044,5.324
medium_variant,910,2045,5.313
medium_variant,910,2046,5.306
medium_variant,910,2047,5.301
medium_variant,910,2048,5.299
medium_variant,910,2049,5.301
medium_variant,910,2050,5.306
medium_variant,910,2051,5.315
medium_variant,910,2052,5.327
medium_variant,910,2053,5.343
medium_variant,910,2054,5.362
medium_variant,910,2055,5.385
medium_variant,910,2056,5.411
medium_variant,910,2057,5.44
medium_variant,910,2058,5.472
medium_variant,910,2059,5.506
medium_variant,910,2060,5.543
medium_variant,910,2061,5.582
medium_variant,910,2062,5.623
medium_variant,910,2063,5.666
medium_variant,910,2064,5.711
medium_variant,910,2065,5.758
medium_variant,910,2066,5.806
medium_variant,910,2067,5.857
medium_variant,910,2068,5.909
medium_variant,910,2069,5.962
medium_variant,910,2070,6.017
medium_variant,910,2071,6.073
medium_variant,910,2072,6.131
medium_variant,910,2073,6.189
medium_variant,910,2074,6.249
medium_variant,910,2075,6.309
medium_variant,910,2076,6.371
medium_variant,910,2077,6.434
medium_variant,910,2078,6.497
medium_variant,910,2079,6.561
medium_variant,910,2080,6.627
medium_variant,910,2081,6.693
medium_variant,910,2082,6.759
medium_variant,910,2083,6.827
medium_variant,910,2084,6.895
medium_variant,910,2085,6.964
medium_variant,910,2086,7.032
medium_variant,910,2087,7.101
medium_variant,910,2088,7.17
medium_variant,910,2089,7.239
medium_variant,910,2090,7.307
medium_variant,910,2091,7.374
medium_variant,910,2092,7.442
medium_variant,910,2093,7.508
medium_variant,910,2094,7.575
medium_variant,910,2095,7.64
medium_variant,910,2096,7.706
medium_variant,910,2097,7.77
medium_variant,910,2098,7.834
medium_variant,910,2099,7.898
