variant,region,year,crudedeathrateper1000population
estimates,5501,1950,28.044
estimates,5501,1951,27.704
estimates,5501,1952,27.032
estimates,5501,1953,26.375
estimates,5501,1954,25.733
estimates,5501,1955,25.106
estimates,5501,1956,24.492
estimates,5501,1957,23.893
estimates,5501,1958,23.306
estimates,5501,1959,22.731
estimates,5501,1960,22.165
estimates,5501,1961,21.608
estimates,5501,1962,21.058
estimates,5501,1963,20.515
estimates,5501,1964,19.982
estimates,5501,1965,19.464
estimates,5501,1966,18.969
estimates,5501,1967,18.5
estimates,5501,1968,18.059
estimates,5501,1969,17.641
estimates,5501,1970,17.237
estimates,5501,1971,16.835
estimates,5501,1972,16.424
estimates,5501,1973,16.001
estimates,5501,1974,15.568
estimates,5501,1975,15.135
estimates,5501,1976,14.717
estimates,5501,1977,14.327
estimates,5501,1978,13.976
estimates,5501,1979,13.663
estimates,5501,1980,13.386
estimates,5501,1981,13.134
estimates,5501,1982,12.894
estimates,5501,1983,12.653
estimates,5501,1984,12.404
estimates,5501,1985,12.141
estimates,5501,1986,11.861
estimates,5501,1987,11.569
estimates,5501,1988,11.268
estimates,5501,1989,10.964
estimates,5501,1990,10.659
estimates,5501,1991,10.359
estimates,5501,1992,10.07
estimates,5501,1993,9.796
estimates,5501,1994,9.541
estimates,5501,1995,9.306
estimates,5501,1996,9.091
estimates,5501,1997,8.895
estimates,5501,1998,8.715
estimates,5501,1999,8.548
estimates,5501,2000,8.395
estimates,5501,2001,8.253
estimates,5501,2002,8.123
estimates,5501,2003,8.001
estimates,5501,2004,7.886
estimates,5501,2005,7.776
estimates,5501,2006,7.667
estimates,5501,2007,7.559
estimates,5501,2008,7.453
estimates,5501,2009,7.351
estimates,5501,2010,7.254
estimates,5501,2011,7.169
estimates,5501,2012,7.097
estimates,5501,2013,7.042
estimates,5501,2014,7.004
estimates,5501,2015,6.982
medium_variant,5501,2015,6.982
medium_variant,5501,2016,6.975
medium_variant,5501,2017,6.977
medium_variant,5501,2018,6.987
medium_variant,5501,2019,7.001
medium_variant,5501,2020,7.019
medium_variant,5501,2021,7.042
medium_variant,5501,2022,7.07
medium_variant,5501,2023,7.103
medium_variant,5501,2024,7.141
medium_variant,5501,2025,7.184
medium_variant,5501,2026,7.231
medium_variant,5501,2027,7.283
medium_variant,5501,2028,7.337
medium_variant,5501,2029,7.396
medium_variant,5501,2030,7.457
medium_variant,5501,2031,7.523
medium_variant,5501,2032,7.592
medium_variant,5501,2033,7.666
medium_variant,5501,2034,7.743
medium_variant,5501,2035,7.824
medium_variant,5501,2036,7.907
medium_variant,5501,2037,7.992
medium_variant,5501,2038,8.079
medium_variant,5501,2039,8.166
medium_variant,5501,2040,8.255
medium_variant,5501,2041,8.346
medium_variant,5501,2042,8.438
medium_variant,5501,2043,8.532
medium_variant,5501,2044,8.628
medium_variant,5501,2045,8.726
medium_variant,5501,2046,8.827
medium_variant,5501,2047,8.929
medium_variant,5501,2048,9.034
medium_variant,5501,2049,9.14
medium_variant,5501,2050,9.248
medium_variant,5501,2051,9.357
medium_variant,5501,2052,9.469
medium_variant,5501,2053,9.582
medium_variant,5501,2054,9.697
medium_variant,5501,2055,9.813
medium_variant,5501,2056,9.931
medium_variant,5501,2057,10.05
medium_variant,5501,2058,10.169
medium_variant,5501,2059,10.29
medium_variant,5501,2060,10.412
medium_variant,5501,2061,10.534
medium_variant,5501,2062,10.657
medium_variant,5501,2063,10.78
medium_variant,5501,2064,10.903
medium_variant,5501,2065,11.025
medium_variant,5501,2066,11.145
medium_variant,5501,2067,11.263
medium_variant,5501,2068,11.378
medium_variant,5501,2069,11.49
medium_variant,5501,2070,11.598
medium_variant,5501,2071,11.703
medium_variant,5501,2072,11.804
medium_variant,5501,2073,11.902
medium_variant,5501,2074,11.997
medium_variant,5501,2075,12.088
medium_variant,5501,2076,12.175
medium_variant,5501,2077,12.258
medium_variant,5501,2078,12.336
medium_variant,5501,2079,12.411
medium_variant,5501,2080,12.481
medium_variant,5501,2081,12.545
medium_variant,5501,2082,12.606
medium_variant,5501,2083,12.661
medium_variant,5501,2084,12.713
medium_variant,5501,2085,12.762
medium_variant,5501,2086,12.808
medium_variant,5501,2087,12.852
medium_variant,5501,2088,12.895
medium_variant,5501,2089,12.937
medium_variant,5501,2090,12.977
medium_variant,5501,2091,13.015
medium_variant,5501,2092,13.051
medium_variant,5501,2093,13.084
medium_variant,5501,2094,13.114
medium_variant,5501,2095,13.14
medium_variant,5501,2096,13.162
medium_variant,5501,2097,13.181
medium_variant,5501,2098,13.196
medium_variant,5501,2099,13.208
