variant,country,year,dependencyratio2564
estimates,516,1950,155.204
estimates,516,1951,156.357
estimates,516,1952,157.289
estimates,516,1953,157.967
estimates,516,1954,158.502
estimates,516,1955,159.028
estimates,516,1956,160.739
estimates,516,1957,162.212
estimates,516,1958,163.555
estimates,516,1959,164.86
estimates,516,1960,166.163
estimates,516,1961,168.238
estimates,516,1962,170.237
estimates,516,1963,172.112
estimates,516,1964,173.769
estimates,516,1965,175.174
estimates,516,1966,177.317
estimates,516,1967,179.073
estimates,516,1968,180.557
estimates,516,1969,181.968
estimates,516,1970,183.429
estimates,516,1971,185.564
estimates,516,1972,187.772
estimates,516,1973,189.919
estimates,516,1974,191.772
estimates,516,1975,193.213
estimates,516,1976,197.02
estimates,516,1977,200.745
estimates,516,1978,204.548
estimates,516,1979,208.593
estimates,516,1980,212.893
estimates,516,1981,215.709
estimates,516,1982,218.274
estimates,516,1983,220.663
estimates,516,1984,222.979
estimates,516,1985,225.313
estimates,516,1986,222.712
estimates,516,1987,219.291
estimates,516,1988,215.128
estimates,516,1989,210.287
estimates,516,1990,204.907
estimates,516,1991,203.04
estimates,516,1992,200.715
estimates,516,1993,197.961
estimates,516,1994,194.811
estimates,516,1995,191.307
estimates,516,1996,188.937
estimates,516,1997,186.035
estimates,516,1998,182.75
estimates,516,1999,179.209
estimates,516,2000,175.473
estimates,516,2001,174.414
estimates,516,2002,173.573
estimates,516,2003,172.912
estimates,516,2004,172.426
estimates,516,2005,172.115
estimates,516,2006,170.583
estimates,516,2007,169.3
estimates,516,2008,168.182
estimates,516,2009,167.154
estimates,516,2010,166.179
estimates,516,2011,164.065
estimates,516,2012,161.94
estimates,516,2013,159.737
estimates,516,2014,157.312
estimates,516,2015,154.603
medium_variant,516,2015,154.603
medium_variant,516,2016,152.351
medium_variant,516,2017,149.616
medium_variant,516,2018,146.69
medium_variant,516,2019,143.916
medium_variant,516,2020,141.437
medium_variant,516,2021,139.051
medium_variant,516,2022,136.992
medium_variant,516,2023,135.169
medium_variant,516,2024,133.457
medium_variant,516,2025,131.812
medium_variant,516,2026,130.516
medium_variant,516,2027,129.271
medium_variant,516,2028,128.05
medium_variant,516,2029,126.852
medium_variant,516,2030,125.661
medium_variant,516,2031,124.639
medium_variant,516,2032,123.604
medium_variant,516,2033,122.497
medium_variant,516,2034,121.219
medium_variant,516,2035,119.73
medium_variant,516,2036,118.214
medium_variant,516,2037,116.5
medium_variant,516,2038,114.676
medium_variant,516,2039,112.856
medium_variant,516,2040,111.109
medium_variant,516,2041,109.564
medium_variant,516,2042,108.066
medium_variant,516,2043,106.616
medium_variant,516,2044,105.209
medium_variant,516,2045,103.843
medium_variant,516,2046,102.652
medium_variant,516,2047,101.498
medium_variant,516,2048,100.389
