variant,region,year,oldagedependencyratio2069
estimates,916,1950,4.491
estimates,916,1951,4.464
estimates,916,1952,4.422
estimates,916,1953,4.366
estimates,916,1954,4.302
estimates,916,1955,4.231
estimates,916,1956,4.306
estimates,916,1957,4.371
estimates,916,1958,4.424
estimates,916,1959,4.462
estimates,916,1960,4.483
estimates,916,1961,4.568
estimates,916,1962,4.634
estimates,916,1963,4.688
estimates,916,1964,4.738
estimates,916,1965,4.787
estimates,916,1966,4.888
estimates,916,1967,4.978
estimates,916,1968,5.058
estimates,916,1969,5.125
estimates,916,1970,5.178
estimates,916,1971,5.268
estimates,916,1972,5.34
estimates,916,1973,5.393
estimates,916,1974,5.423
estimates,916,1975,5.431
estimates,916,1976,5.469
estimates,916,1977,5.487
estimates,916,1978,5.492
estimates,916,1979,5.495
estimates,916,1980,5.5
estimates,916,1981,5.545
estimates,916,1982,5.589
estimates,916,1983,5.624
estimates,916,1984,5.641
estimates,916,1985,5.637
estimates,916,1986,5.634
estimates,916,1987,5.614
estimates,916,1988,5.589
estimates,916,1989,5.576
estimates,916,1990,5.579
estimates,916,1991,5.611
estimates,916,1992,5.649
estimates,916,1993,5.691
estimates,916,1994,5.736
estimates,916,1995,5.784
estimates,916,1996,5.86
estimates,916,1997,5.937
estimates,916,1998,6.014
estimates,916,1999,6.091
estimates,916,2000,6.169
estimates,916,2001,6.259
estimates,916,2002,6.348
estimates,916,2003,6.433
estimates,916,2004,6.51
estimates,916,2005,6.575
estimates,916,2006,6.639
estimates,916,2007,6.691
estimates,916,2008,6.74
estimates,916,2009,6.794
estimates,916,2010,6.861
estimates,916,2011,6.941
estimates,916,2012,7.031
estimates,916,2013,7.127
estimates,916,2014,7.221
estimates,916,2015,7.31
medium_variant,916,2015,7.31
medium_variant,916,2016,7.398
medium_variant,916,2017,7.484
medium_variant,916,2018,7.579
medium_variant,916,2019,7.702
medium_variant,916,2020,7.863
medium_variant,916,2021,8.054
medium_variant,916,2022,8.278
medium_variant,916,2023,8.526
medium_variant,916,2024,8.789
medium_variant,916,2025,9.06
medium_variant,916,2026,9.328
medium_variant,916,2027,9.609
medium_variant,916,2028,9.901
medium_variant,916,2029,10.205
medium_variant,916,2030,10.524
medium_variant,916,2031,10.835
medium_variant,916,2032,11.158
medium_variant,916,2033,11.499
medium_variant,916,2034,11.869
medium_variant,916,2035,12.27
medium_variant,916,2036,12.667
medium_variant,916,2037,13.094
medium_variant,916,2038,13.546
medium_variant,916,2039,14.024
medium_variant,916,2040,14.529
medium_variant,916,2041,15.016
medium_variant,916,2042,15.526
medium_variant,916,2043,16.061
medium_variant,916,2044,16.617
medium_variant,916,2045,17.19
medium_variant,916,2046,17.714
medium_variant,916,2047,18.257
medium_variant,916,2048,18.817
medium_variant,916,2049,19.392
medium_variant,916,2050,19.983
medium_variant,916,2051,20.516
medium_variant,916,2052,21.067
medium_variant,916,2053,21.641
medium_variant,916,2054,22.238
medium_variant,916,2055,22.863
medium_variant,916,2056,23.413
medium_variant,916,2057,23.99
medium_variant,916,2058,24.599
medium_variant,916,2059,25.247
medium_variant,916,2060,25.934
medium_variant,916,2061,26.538
medium_variant,916,2062,27.183
medium_variant,916,2063,27.869
medium_variant,916,2064,28.594
medium_variant,916,2065,29.354
medium_variant,916,2066,30.008
medium_variant,916,2067,30.704
medium_variant,916,2068,31.432
medium_variant,916,2069,32.178
medium_variant,916,2070,32.933
medium_variant,916,2071,33.538
medium_variant,916,2072,34.157
medium_variant,916,2073,34.792
medium_variant,916,2074,35.444
medium_variant,916,2075,36.111
medium_variant,916,2076,36.601
medium_variant,916,2077,37.111
medium_variant,916,2078,37.647
medium_variant,916,2079,38.217
medium_variant,916,2080,38.825
medium_variant,916,2081,39.254
medium_variant,916,2082,39.728
medium_variant,916,2083,40.247
medium_variant,916,2084,40.806
medium_variant,916,2085,41.397
medium_variant,916,2086,41.789
medium_variant,916,2087,42.227
medium_variant,916,2088,42.71
medium_variant,916,2089,43.228
medium_variant,916,2090,43.778
medium_variant,916,2091,44.114
medium_variant,916,2092,44.497
medium_variant,916,2093,44.921
medium_variant,916,2094,45.378
medium_variant,916,2095,45.866
medium_variant,916,2096,46.13
medium_variant,916,2097,46.431
medium_variant,916,2098,46.773
medium_variant,916,2099,47.155
medium_variant,916,2100,47.581
high_variant,916,2015,7.31049687266447
low_variant,916,2015,7.31049687266447
constant_fertility,916,2015,7.31049687266447
instant_replacement,916,2015,7.31049687266447
zero_migration,916,2015,7.31049687266447
constant_mortality,916,2015,7.31049687266447
no_change,916,2015,7.31049687266447
high_variant,916,2020,7.86276480469728
low_variant,916,2020,7.86276480469728
constant_fertility,916,2020,7.86276480469728
instant_replacement,916,2020,7.86276480469728
zero_migration,916,2020,7.84409188097639
constant_mortality,916,2020,7.77608379396615
no_change,916,2020,7.77608379396615
high_variant,916,2025,9.0595846528735
low_variant,916,2025,9.0595846528735
constant_fertility,916,2025,9.0595846528735
instant_replacement,916,2025,9.0595846528735
