region,variant,year,oldagedependencyratio2069
921,Estimates,1950,4.41620754719885
921,Estimates,1955,3.82902550083577
921,Estimates,1960,3.8575027987703
921,Estimates,1965,3.77782658865402
921,Estimates,1970,4.02308204874107
921,Estimates,1975,4.14812810713658
921,Estimates,1980,4.33041964205692
921,Estimates,1985,4.3958672650423
921,Estimates,1990,4.43798860547132
921,Estimates,1995,4.6326861676113
921,Estimates,2000,4.93166605821957
921,Estimates,2005,5.21233123369297
921,Estimates,2010,5.47846897778321
921,Constant_fertility,2015,5.70489444480128
921,Constant_mortality,2015,5.70489444480128
921,Estimates,2015,5.70489444480128
921,High_variant,2015,5.70489444480128
921,Instant_replacement,2015,5.70489444480128
921,Low_variant,2015,5.70489444480128
921,Medium_variant,2015,5.70489444480128
921,No_change,2015,5.70489444480128
921,Zero_migration,2015,5.70489444480128
921,Constant_fertility,2020,6.08036400488417
921,Constant_mortality,2020,6.00649313978611
921,High_variant,2020,6.08036400488417
921,Instant_replacement,2020,6.08036400488417
921,Low_variant,2020,6.08036400488417
921,Medium_variant,2020,6.08036400488417
921,No_change,2020,6.00649313978611
921,Zero_migration,2020,6.06615026740494
921,Constant_fertility,2025,6.90851579382749
921,Constant_mortality,2025,6.70189408888124
921,High_variant,2025,6.90851579382749
921,Instant_replacement,2025,6.90851579382749
921,Low_variant,2025,6.90851579382749
921,Medium_variant,2025,6.90851579382749
921,No_change,2025,6.70189408888124
921,Zero_migration,2025,6.88030600365422
921,Constant_fertility,2030,7.89896485861368
921,Constant_mortality,2030,7.48575749693845
921,High_variant,2030,7.89896485861368
921,Instant_replacement,2030,7.89896485861368
921,Low_variant,2030,7.89896485861368
921,Medium_variant,2030,7.89896485861368
921,No_change,2030,7.48575749693845
921,Zero_migration,2030,7.85500892870526
921,Constant_fertility,2035,9.06544428684142
921,Constant_mortality,2035,8.35525273777522
921,High_variant,2035,9.06544428684142
921,Instant_replacement,2035,9.06544428684142
921,Low_variant,2035,9.06544428684142
921,Medium_variant,2035,9.06544428684142
921,No_change,2035,8.35525273777522
921,Zero_migration,2035,9.00078607948674
921,Constant_fertility,2040,10.203457219743
921,Constant_mortality,2040,9.17764049714742
921,High_variant,2040,10.1560233035368
921,Instant_replacement,2040,10.3728831051917
921,Low_variant,2040,10.4127508101923
921,Medium_variant,2040,10.282784817901
921,No_change,2040,9.10660950050056
921,Zero_migration,2040,10.1926612213179
921,Constant_fertility,2045,11.3861564204739
921,Constant_mortality,2045,10.045541864408
921,High_variant,2045,11.2807764696967
921,Instant_replacement,2045,11.7831661198136
921,Low_variant,2045,12.0259560896717
921,Medium_variant,2045,11.6414535043492
921,No_change,2045,9.82457877537411
921,Zero_migration,2045,11.5198650612012
921,Constant_fertility,2050,12.8013701688036
921,Constant_mortality,2050,11.1511005709992
921,High_variant,2050,12.6423366991129
921,Instant_replacement,2050,13.5033293994273
921,Low_variant,2050,14.1435284532556
921,Medium_variant,2050,13.3508659868475
921,No_change,2050,10.6903340236193
921,Zero_migration,2050,13.1874290264307
921,Constant_fertility,2055,14.599838431466
921,Constant_mortality,2055,12.6342990449198
921,High_variant,2055,14.4438761413884
921,Instant_replacement,2055,15.7276689152276
921,Low_variant,2055,16.9711616269748
921,Medium_variant,2055,15.6068427161683
921,No_change,2055,11.8148335217938
921,Zero_migration,2055,15.3934825585552
921,Constant_fertility,2060,16.403998630127
921,Constant_mortality,2060,14.1657431542199
921,High_variant,2060,16.3089685683815
921,Instant_replacement,2060,18.1276060092738
921,Low_variant,2060,20.2428761379566
921,Medium_variant,2060,18.077279718493
921,No_change,2060,12.8461253161526
921,Zero_migration,2060,17.8168978133983
921,Constant_fertility,2065,17.7843450773754
921,Constant_mortality,2065,15.3736984496504
921,High_variant,2065,17.794519192403
921,Instant_replacement,2065,20.2931242962353
921,Low_variant,2065,23.6008507600741
921,Medium_variant,2065,20.3462349701963
921,No_change,2065,13.4234186296524
921,Zero_migration,2065,20.0602035998343
921,Constant_fertility,2070,18.8044863344435
921,Constant_mortality,2070,16.3575247041955
921,High_variant,2070,18.9666823859834
921,Instant_replacement,2070,22.2794843680145
921,Low_variant,2070,27.2427421637798
921,Medium_variant,2070,22.5073348871189
921,No_change,2070,13.6433410357019
921,Zero_migration,2070,22.2186401562946
921,Constant_fertility,2075,19.5209434598811
921,Constant_mortality,2075,17.2407148852019
921,High_variant,2075,19.9103243219291
921,Instant_replacement,2075,24.1063536352328
921,Low_variant,2075,31.329041690536
921,Medium_variant,2075,24.6277576106233
921,No_change,2075,13.6319189013164
921,Zero_migration,2075,24.3340842195155
921,Constant_fertility,2080,20.0401417647533
921,Constant_mortality,2080,18.1768830809129
921,High_variant,2080,20.7633619225528
921,Instant_replacement,2080,25.8762302938337
921,Low_variant,2080,36.1325861902572
921,Medium_variant,2080,26.8410587358093
921,No_change,2080,13.5260786579975
921,Zero_migration,2080,26.5137518365545
921,Constant_fertility,2085,20.2164773295491
921,Constant_mortality,2085,18.9889438153789
921,High_variant,2085,21.3710454285767
921,Instant_replacement,2085,27.3835744343456
921,Low_variant,2085,41.493768855144
921,Medium_variant,2085,28.930774743209
921,No_change,2085,13.2150323547633
921,Zero_migration,2085,28.5516073931765
921,Constant_fertility,2090,20.6845644298962
921,Constant_mortality,2090,19.7175505007739
921,High_variant,2090,22.7389598951793
921,Instant_replacement,2090,28.083066952729
921,Low_variant,2090,45.6862542852279
921,Medium_variant,2090,31.1014402040256
921,No_change,2090,13.1272789488645
921,Zero_migration,2090,30.6685475575702
921,Constant_fertility,2095,21.2139815059206
