variant,region,year,oldagedependencyratio2069
estimates,920,1950,4.312
estimates,920,1951,4.371
estimates,920,1952,4.4
estimates,920,1953,4.4
estimates,920,1954,4.373
estimates,920,1955,4.323
estimates,920,1956,4.377
estimates,920,1957,4.404
estimates,920,1958,4.405
estimates,920,1959,4.382
estimates,920,1960,4.341
estimates,920,1961,4.401
estimates,920,1962,4.438
estimates,920,1963,4.454
estimates,920,1964,4.451
estimates,920,1965,4.433
estimates,920,1966,4.508
estimates,920,1967,4.562
estimates,920,1968,4.597
estimates,920,1969,4.615
estimates,920,1970,4.617
estimates,920,1971,4.676
estimates,920,1972,4.705
estimates,920,1973,4.707
estimates,920,1974,4.687
estimates,920,1975,4.648
estimates,920,1976,4.73
estimates,920,1977,4.788
estimates,920,1978,4.826
estimates,920,1979,4.844
estimates,920,1980,4.846
estimates,920,1981,4.908
estimates,920,1982,4.95
estimates,920,1983,4.971
estimates,920,1984,4.969
estimates,920,1985,4.945
estimates,920,1986,4.969
estimates,920,1987,4.97
estimates,920,1988,4.955
estimates,920,1989,4.93
estimates,920,1990,4.902
estimates,920,1991,4.938
estimates,920,1992,4.962
estimates,920,1993,4.98
estimates,920,1994,4.996
estimates,920,1995,5.012
estimates,920,1996,5.087
estimates,920,1997,5.156
estimates,920,1998,5.22
estimates,920,1999,5.279
estimates,920,2000,5.335
estimates,920,2001,5.423
estimates,920,2002,5.494
estimates,920,2003,5.55
estimates,920,2004,5.591
estimates,920,2005,5.612
estimates,920,2006,5.69
estimates,920,2007,5.758
estimates,920,2008,5.821
estimates,920,2009,5.874
estimates,920,2010,5.909
estimates,920,2011,5.959
estimates,920,2012,5.988
estimates,920,2013,6.004
estimates,920,2014,6.018
estimates,920,2015,6.036
medium_variant,920,2015,6.036
medium_variant,920,2016,6.116
medium_variant,920,2017,6.195
medium_variant,920,2018,6.282
medium_variant,920,2019,6.388
medium_variant,920,2020,6.519
medium_variant,920,2021,6.729
medium_variant,920,2022,6.952
medium_variant,920,2023,7.191
medium_variant,920,2024,7.448
medium_variant,920,2025,7.726
medium_variant,920,2026,8.071
medium_variant,920,2027,8.427
medium_variant,920,2028,8.788
medium_variant,920,2029,9.149
medium_variant,920,2030,9.505
medium_variant,920,2031,9.897
medium_variant,920,2032,10.276
medium_variant,920,2033,10.645
medium_variant,920,2034,11.009
medium_variant,920,2035,11.374
medium_variant,920,2036,11.775
medium_variant,920,2037,12.162
medium_variant,920,2038,12.539
medium_variant,920,2039,12.906
medium_variant,920,2040,13.266
medium_variant,920,2041,13.659
medium_variant,920,2042,14.034
medium_variant,920,2043,14.393
medium_variant,920,2044,14.733
medium_variant,920,2045,15.055
medium_variant,920,2046,15.411
medium_variant,920,2047,15.735
medium_variant,920,2048,16.042
medium_variant,920,2049,16.35
medium_variant,920,2050,16.67
medium_variant,920,2051,17.064
medium_variant,920,2052,17.46
medium_variant,920,2053,17.843
medium_variant,920,2054,18.191
medium_variant,920,2055,18.493
medium_variant,920,2056,18.827
medium_variant,920,2057,19.11
medium_variant,920,2058,19.362
medium_variant,920,2059,19.609
medium_variant,920,2060,19.866
medium_variant,920,2061,20.205
medium_variant,920,2062,20.54
medium_variant,920,2063,20.866
medium_variant,920,2064,21.169
medium_variant,920,2065,21.443
medium_variant,920,2066,21.767
medium_variant,920,2067,22.057
medium_variant,920,2068,22.315
medium_variant,920,2069,22.55
medium_variant,920,2070,22.768
medium_variant,920,2071,23.043
medium_variant,920,2072,23.293
medium_variant,920,2073,23.524
medium_variant,920,2074,23.733
medium_variant,920,2075,23.916
medium_variant,920,2076,24.143
medium_variant,920,2077,24.343
medium_variant,920,2078,24.532
medium_variant,920,2079,24.728
medium_variant,920,2080,24.946
medium_variant,920,2081,25.251
medium_variant,920,2082,25.569
medium_variant,920,2083,25.894
medium_variant,920,2084,26.208
medium_variant,920,2085,26.498
medium_variant,920,2086,26.824
medium_variant,920,2087,27.129
medium_variant,920,2088,27.411
medium_variant,920,2089,27.671
medium_variant,920,2090,27.915
medium_variant,920,2091,28.202
medium_variant,920,2092,28.466
medium_variant,920,2093,28.716
medium_variant,920,2094,28.957
medium_variant,920,2095,29.188
medium_variant,920,2096,29.443
medium_variant,920,2097,29.69
medium_variant,920,2098,29.931
medium_variant,920,2099,30.163
medium_variant,920,2100,30.388
high_variant,920,2015,6.03555642989353
low_variant,920,2015,6.03555642989353
constant_fertility,920,2015,6.03555642989353
instant_replacement,920,2015,6.03555642989353
zero_migration,920,2015,6.03555642989353
constant_mortality,920,2015,6.03555642989353
no_change,920,2015,6.03555642989353
high_variant,920,2020,6.5194937093773
low_variant,920,2020,6.5194937093773
constant_fertility,920,2020,6.5194937093773
instant_replacement,920,2020,6.5194937093773
zero_migration,920,2020,6.50721158536466
constant_mortality,920,2020,6.45509614329768
no_change,920,2020,6.45509614329768
high_variant,920,2025,7.72599321255562
low_variant,920,2025,7.72599321255562
constant_fertility,920,2025,7.72599321255562
instant_replacement,920,2025,7.72599321255562
zero_migration,920,2025,7.69625798929938
constant_mortality,920,2025,7.53652123288433
no_change,920,2025,7.53652123288433
high_variant,920,2030,9.50469946493237
low_variant,920,2030,9.50469946493237
constant_fertility,920,2030,9.50469946493237
instant_replacement,920,2030,9.50469946493237
zero_migration,920,2030,9.44903878056001
constant_mortality,920,2030,9.09964010060731
no_change,920,2030,9.09964010060731
high_variant,920,2035,11.3741037805243
low_variant,920,2035,11.3741037805243
constant_fertility,920,2035,11.3741037805243
instant_replacement,920,2035,11.3741037805243
zero_migration,920,2035,11.2863226537797
constant_mortality,920,2035,10.645803732329
no_change,920,2035,10.645803732329
high_variant,920,2040,13.1007349654373
low_variant,920,2040,13.438124640602
constant_fertility,920,2040,13.1880205964328
instant_replacement,920,2040,13.3413506658527
zero_migration,920,2040,13.132646526942
constant_mortality,920,2040,12.1042840363876
no_change,920,2040,12.0327142994073
high_variant,920,2045,14.580424941732
low_variant,920,2045,15.5670048369168
constant_fertility,920,2045,14.8081619227321
instant_replacement,920,2045,15.1714889509503
zero_migration,920,2045,14.856267888022
constant_mortality,920,2045,13.360556356192
no_change,920,2045,13.138918563989
high_variant,920,2050,15.7649235283016
low_variant,920,2050,17.6909476108653
constant_fertility,920,2050,16.1596219152643
instant_replacement,920,2050,16.784790372744
zero_migration,920,2050,16.3930022223797
constant_mortality,920,2050,14.3707204253095
no_change,920,2050,13.926000518659
high_variant,920,2055,17.0737718010869
low_variant,920,2055,20.1756602059226
constant_fertility,920,2055,17.6038719638114
instant_replacement,920,2055,18.5685510768739
zero_migration,920,2055,18.1247351285439
constant_mortality,920,2055,15.4751263431696
no_change,920,2055,14.7210456957758
high_variant,920,2060,17.8720309333931
low_variant,920,2060,22.3389033271076
constant_fertility,920,2060,18.4969997566006
instant_replacement,920,2060,19.8705482953941
zero_migration,920,2060,19.4106296122751
constant_mortality,920,2060,16.1052137706596
no_change,920,2060,14.978620092572
high_variant,920,2065,18.718288223563
low_variant,920,2065,24.9768082356782
constant_fertility,920,2065,19.4337299510853
instant_replacement,920,2065,21.34162141186
