variant,region,year,oldagedependencyratio2564
estimates,901,1950,9.083
estimates,901,1951,9.267
estimates,901,1952,9.408
estimates,901,1953,9.513
estimates,901,1954,9.592
estimates,901,1955,9.656
estimates,901,1956,9.85
estimates,901,1957,10.022
estimates,901,1958,10.163
estimates,901,1959,10.265
estimates,901,1960,10.327
estimates,901,1961,10.511
estimates,901,1962,10.648
estimates,901,1963,10.753
estimates,901,1964,10.85
estimates,901,1965,10.952
estimates,901,1966,11.181
estimates,901,1967,11.397
estimates,901,1968,11.596
estimates,901,1969,11.771
estimates,901,1970,11.919
estimates,901,1971,12.194
estimates,901,1972,12.418
estimates,901,1973,12.602
estimates,901,1974,12.762
estimates,901,1975,12.915
estimates,901,1976,13.227
estimates,901,1977,13.507
estimates,901,1978,13.756
estimates,901,1979,13.984
estimates,901,1980,14.195
estimates,901,1981,14.504
estimates,901,1982,14.796
estimates,901,1983,15.028
estimates,901,1984,15.138
estimates,901,1985,15.106
estimates,901,1986,15.088
estimates,901,1987,14.945
estimates,901,1988,14.752
estimates,901,1989,14.608
estimates,901,1990,14.566
estimates,901,1991,14.716
estimates,901,1992,14.925
estimates,901,1993,15.171
estimates,901,1994,15.424
estimates,901,1995,15.665
estimates,901,1996,16.024
estimates,901,1997,16.371
estimates,901,1998,16.687
estimates,901,1999,16.946
estimates,901,2000,17.139
estimates,901,2001,17.383
estimates,901,2002,17.561
estimates,901,2003,17.705
estimates,901,2004,17.855
estimates,901,2005,18.029
estimates,901,2006,18.351
estimates,901,2007,18.705
estimates,901,2008,19.049
estimates,901,2009,19.334
estimates,901,2010,19.548
estimates,901,2011,19.763
estimates,901,2012,19.913
estimates,901,2013,20.058
estimates,901,2014,20.267
estimates,901,2015,20.566
medium_variant,901,2015,20.566
medium_variant,901,2016,20.95
medium_variant,901,2017,21.412
medium_variant,901,2018,21.934
medium_variant,901,2019,22.485
medium_variant,901,2020,23.051
medium_variant,901,2021,23.676
medium_variant,901,2022,24.326
medium_variant,901,2023,24.995
medium_variant,901,2024,25.675
medium_variant,901,2025,26.362
medium_variant,901,2026,27.064
medium_variant,901,2027,27.766
medium_variant,901,2028,28.476
medium_variant,901,2029,29.198
medium_variant,901,2030,29.93
medium_variant,901,2031,30.639
medium_variant,901,2032,31.366
medium_variant,901,2033,32.08
medium_variant,901,2034,32.745
medium_variant,901,2035,33.348
medium_variant,901,2036,33.843
medium_variant,901,2037,34.273
medium_variant,901,2038,34.674
medium_variant,901,2039,35.082
medium_variant,901,2040,35.504
medium_variant,901,2041,35.87
medium_variant,901,2042,36.27
medium_variant,901,2043,36.672
medium_variant,901,2044,37.038
medium_variant,901,2045,37.356
medium_variant,901,2046,37.588
medium_variant,901,2047,37.79
medium_variant,901,2048,37.989
medium_variant,901,2049,38.22
medium_variant,901,2050,38.499
medium_variant,901,2051,38.745
medium_variant,901,2052,39.048
medium_variant,901,2053,39.399
medium_variant,901,2054,39.773
medium_variant,901,2055,40.148
medium_variant,901,2056,40.44
medium_variant,901,2057,40.763
medium_variant,901,2058,41.095
medium_variant,901,2059,41.415
medium_variant,901,2060,41.716
medium_variant,901,2061,41.895
medium_variant,901,2062,42.075
medium_variant,901,2063,42.252
medium_variant,901,2064,42.401
medium_variant,901,2065,42.502
medium_variant,901,2066,42.417
medium_variant,901,2067,42.316
medium_variant,901,2068,42.206
medium_variant,901,2069,42.107
medium_variant,901,2070,42.046
medium_variant,901,2071,41.877
medium_variant,901,2072,41.751
medium_variant,901,2073,41.692
medium_variant,901,2074,41.71
medium_variant,901,2075,41.801
medium_variant,901,2076,41.789
medium_variant,901,2077,41.878
medium_variant,901,2078,42.04
medium_variant,901,2079,42.244
medium_variant,901,2080,42.476
medium_variant,901,2081,42.572
medium_variant,901,2082,42.717
medium_variant,901,2083,42.917
medium_variant,901,2084,43.171
medium_variant,901,2085,43.475
medium_variant,901,2086,43.625
medium_variant,901,2087,43.845
medium_variant,901,2088,44.117
medium_variant,901,2089,44.425
medium_variant,901,2090,44.768
medium_variant,901,2091,44.923
medium_variant,901,2092,45.118
medium_variant,901,2093,45.358
medium_variant,901,2094,45.643
medium_variant,901,2095,45.965
medium_variant,901,2096,46.051
medium_variant,901,2097,46.185
medium_variant,901,2098,46.368
