agebroad,gender,population,country,variant,year
"Region, subregion, country or area *",female,Slovenia,705,estimates,1950
0_1,female,32.046,705,estimates,1950
0_4,female,73.599,705,estimates,1950
0_14,female,198.899,705,estimates,1950
0_17,female,238.592,705,estimates,1950
0_19,female,265.698,705,estimates,1950
0_24,female,334.099,705,estimates,1950
3_4,female,27.015,705,estimates,1950
3_5,female,39.806,705,estimates,1950
3_6,female,52.303,705,estimates,1950
4_5,female,26.01,705,estimates,1950
4_6,female,38.507,705,estimates,1950
5_14,female,125.3,705,estimates,1950
5_10,female,74.435,705,estimates,1950
5_11,female,86.926,705,estimates,1950
6_9,female,49.308,705,estimates,1950
6_10,female,61.644,705,estimates,1950
6_11,female,74.135,705,estimates,1950
6_12,female,86.791,705,estimates,1950
7_10,female,49.147,705,estimates,1950
7_12,female,74.294,705,estimates,1950
11_16,female,77.174,705,estimates,1950
11_17,female,90.558,705,estimates,1950
11_18,female,104.064,705,estimates,1950
12_14,female,38.374,705,estimates,1950
12_16,female,64.683,705,estimates,1950
12_17,female,78.067,705,estimates,1950
12_18,female,91.573,705,estimates,1950
13_17,female,65.411,705,estimates,1950
13_18,female,78.917,705,estimates,1950
13_19,female,92.517,705,estimates,1950
15_17,female,39.693,705,estimates,1950
18_23,female,81.737,705,estimates,1950
15_24,female,135.2,705,estimates,1950
15_49,female,401.899,705,estimates,1950
15_59,female,483.698,705,estimates,1950
15_64,female,512.999,705,estimates,1950
20_64,female,446.2,705,estimates,1950
20_69,female,468.601,705,estimates,1950
25_49,female,266.699,705,estimates,1950
25_64,female,377.799,705,estimates,1950
25_69,female,400.2,705,estimates,1950
15plus,female,569.994,705,estimates,1950
16plus,female,556.921,705,estimates,1950
17plus,female,543.685,705,estimates,1950
18plus,female,530.301,705,estimates,1950
20plus,female,503.195,705,estimates,1950
21plus,female,489.543,705,estimates,1950
25plus,female,434.794,705,estimates,1950
50plus,female,168.095,705,estimates,1950
60plus,female,86.296,705,estimates,1950
65plus,female,56.995,705,estimates,1950
70plus,female,34.594,705,estimates,1950
75plus,female,19.793,705,estimates,1950
80plus,female,8.694,705,estimates,1950
85plus,female,3.149,705,estimates,1950
90plus,female,0.774,705,estimates,1950
total,female,768.893,705,estimates,1950
"Region, subregion, country or area *",male,Slovenia,705,estimates,1950
0_1,male,32.724,705,estimates,1950
0_4,male,75.401,705,estimates,1950
0_14,male,206.201,705,estimates,1950
0_17,male,247.372,705,estimates,1950
0_19,male,275.001,705,estimates,1950
0_24,male,340.701,705,estimates,1950
3_4,male,27.787,705,estimates,1950
3_5,male,41.01,705,estimates,1950
3_6,male,53.973,705,estimates,1950
4_5,male,26.842,705,estimates,1950
4_6,male,39.805,705,estimates,1950
5_14,male,130.8,705,estimates,1950
5_10,male,77.523,705,estimates,1950
5_11,male,90.614,705,estimates,1950
