agebroad,gender,population,country,variant,year
"Region, subregion, country or area *",female,Iraq,368,estimates,1950
0_1,female,162.391,368,estimates,1950
0_4,female,392.977,368,estimates,1950
0_14,female,1047.105,368,estimates,1950
0_17,female,1212.547,368,estimates,1950
0_19,female,1315.22,368,estimates,1950
0_24,female,1547.385,368,estimates,1950
3_4,female,151.963,368,estimates,1950
3_5,female,225.269,368,estimates,1950
3_6,female,296.781,368,estimates,1950
4_5,female,148.4,368,estimates,1950
4_6,female,219.912,368,estimates,1950
5_14,female,654.128,368,estimates,1950
5_10,female,413.064,368,estimates,1950
5_11,female,475.727,368,estimates,1950
6_9,female,275.342,368,estimates,1950
6_10,female,339.758,368,estimates,1950
6_11,female,402.421,368,estimates,1950
6_12,female,463.413,368,estimates,1950
7_10,female,268.246,368,estimates,1950
7_12,female,391.901,368,estimates,1950
11_16,female,352.771,368,estimates,1950
11_17,female,406.506,368,estimates,1950
11_18,female,458.661,368,estimates,1950
12_14,female,178.401,368,estimates,1950
12_16,female,290.108,368,estimates,1950
12_17,female,343.843,368,estimates,1950
12_18,female,395.998,368,estimates,1950
13_17,female,282.851,368,estimates,1950
13_18,female,335.006,368,estimates,1950
13_19,female,385.524,368,estimates,1950
15_17,female,165.442,368,estimates,1950
18_23,female,290.535,368,estimates,1950
15_24,female,500.28,368,estimates,1950
15_49,female,1458.304,368,estimates,1950
15_59,female,1682.23,368,estimates,1950
15_64,female,1732.537,368,estimates,1950
20_64,female,1464.422,368,estimates,1950
20_69,female,1500.619,368,estimates,1950
25_49,female,958.024,368,estimates,1950
25_64,female,1232.257,368,estimates,1950
25_69,female,1268.454,368,estimates,1950
15plus,female,1819.741,368,estimates,1950
16plus,female,1763.206,368,estimates,1950
17plus,female,1708.034,368,estimates,1950
18plus,female,1654.299,368,estimates,1950
20plus,female,1551.626,368,estimates,1950
21plus,female,1502.647,368,estimates,1950
25plus,female,1319.461,368,estimates,1950
50plus,female,361.437,368,estimates,1950
60plus,female,137.511,368,estimates,1950
65plus,female,87.204,368,estimates,1950
70plus,female,51.007,368,estimates,1950
75plus,female,25.332,368,estimates,1950
80plus,female,9.907,368,estimates,1950
85plus,female,2.909,368,estimates,1950
90plus,female,0.574,368,estimates,1950
total,female,2866.846,368,estimates,1950
"Region, subregion, country or area *",male,Iraq,368,estimates,1950
0_1,male,176.561,368,estimates,1950
0_4,male,423.873,368,estimates,1950
0_14,male,1090.531,368,estimates,1950
0_17,male,1254.159,368,estimates,1950
0_19,male,1355.59,368,estimates,1950
0_24,male,1584.891,368,estimates,1950
3_4,male,162.448,368,estimates,1950
3_5,male,239.926,368,estimates,1950
3_6,male,314.874,368,estimates,1950
4_5,male,157.467,368,estimates,1950
4_6,male,232.415,368,estimates,1950
5_14,male,666.658,368,estimates,1950
5_10,male,427.353,368,estimates,1950
5_11,male,490.028,368,estimates,1950
6_9,male,284.795,368,estimates,1950
6_10,male,349.875,368,estimates,1950
6_11,male,412.55,368,estimates,1950
6_12,male,473.088,368,estimates,1950
7_10,male,274.927,368,estimates,1950
7_12,male,398.14,368,estimates,1950
11_16,male,349.755,368,estimates,1950
11_17,male,402.933,368,estimates,1950
11_18,male,454.5,368,estimates,1950
12_14,male,176.63,368,estimates,1950
12_16,male,287.08,368,estimates,1950
12_17,male,340.258,368,estimates,1950
12_18,male,391.825,368,estimates,1950
13_17,male,279.72,368,estimates,1950
13_18,male,331.287,368,estimates,1950
13_19,male,381.151,368,estimates,1950
15_17,male,163.628,368,estimates,1950
18_23,male,286.788,368,estimates,1950
15_24,male,494.36,368,estimates,1950
15_49,male,1442.02,368,estimates,1950
15_59,male,1641.712,368,estimates,1950
15_64,male,1686.979,368,estimates,1950
20_64,male,1421.92,368,estimates,1950
20_69,male,1454.019,368,estimates,1950
25_49,male,947.66,368,estimates,1950
25_64,male,1192.619,368,estimates,1950
25_69,male,1224.718,368,estimates,1950
15plus,male,1761.805,368,estimates,1950
16plus,male,1705.929,368,estimates,1950
17plus,male,1651.355,368,estimates,1950
18plus,male,1598.177,368,estimates,1950
20plus,male,1496.746,368,estimates,1950
21plus,male,1448.443,368,estimates,1950
25plus,male,1267.445,368,estimates,1950
50plus,male,319.785,368,estimates,1950
60plus,male,120.093,368,estimates,1950
65plus,male,74.826,368,estimates,1950
70plus,male,42.727,368,estimates,1950
75plus,male,20.591,368,estimates,1950
80plus,male,7.755,368,estimates,1950
85plus,male,2.095,368,estimates,1950
90plus,male,0.361,368,estimates,1950
total,male,2852.336,368,estimates,1950
"Region, subregion, country or area *",female,Iraq,368,estimates,1951
0_1,female,199.968,368,estimates,1951
0_4,female,431.699,368,estimates,1951
0_14,female,1101.337,368,estimates,1951
