country,year,variant,gender,agebroad,population
862,1955,estimates,female,6_11,553.731
862,1955,estimates,male,6_11,572.79
862,1955,estimates,female,6_12,634.113
862,1955,estimates,male,6_12,656.381
862,1955,estimates,female,7_10,368.427
862,1955,estimates,male,7_10,380.944
862,1955,estimates,female,7_12,532.247
862,1955,estimates,male,7_12,551.163
862,1955,estimates,female,11_16,458.523
862,1955,estimates,male,11_16,476.385
862,1955,estimates,female,11_17,526.221
862,1955,estimates,male,11_17,546.626
862,1955,estimates,female,11_18,591.707
862,1955,estimates,male,11_18,614.614
862,1955,estimates,female,12_14,232.772
862,1955,estimates,male,12_14,242.015
862,1955,estimates,female,12_16,375.085
862,1955,estimates,male,12_16,389.757
862,1955,estimates,female,12_17,442.783
862,1955,estimates,male,12_17,459.998
862,1955,estimates,female,12_18,508.269
862,1955,estimates,male,12_18,527.986
862,1955,estimates,female,13_17,362.401
862,1955,estimates,male,13_17,376.407
862,1955,estimates,female,13_18,427.887
862,1955,estimates,male,13_18,444.395
862,1955,estimates,female,13_19,491.231
862,1955,estimates,male,13_19,510.24
862,1955,estimates,female,15plus,1810.191
862,1955,estimates,male,15plus,1892.504
862,1955,estimates,female,15_17,210.011
862,1955,estimates,male,15_17,217.983
862,1955,estimates,female,15_24,626.855
862,1955,estimates,male,15_24,652.106
862,1955,estimates,female,15_49,1526.763
862,1955,estimates,male,15_49,1599.211
862,1955,estimates,female,15_59,1683.433
862,1955,estimates,male,15_59,1768.105
862,1955,estimates,female,15_64,1731.766
862,1955,estimates,male,15_64,1818.486
862,1955,estimates,female,16plus,1737.851
862,1955,estimates,male,16plus,1817.38
862,1955,estimates,female,17plus,1667.878
862,1955,estimates,male,17plus,1744.762
862,1955,estimates,female,18plus,1600.18
862,1955,estimates,male,18plus,1674.521
862,1955,estimates,female,18_23,362.813
862,1955,estimates,male,18_23,377.71
862,1955,estimates,female,20plus,1471.35
862,1955,estimates,male,20plus,1540.688
862,1955,estimates,female,20_64,1392.925
862,1955,estimates,male,20_64,1466.67
862,1955,estimates,female,20_69,1426.572
862,1955,estimates,male,20_69,1500.222
862,1955,estimates,female,21plus,1410.034
862,1955,estimates,male,21plus,1476.878
862,1955,estimates,female,25plus,1183.336
862,1955,estimates,male,25plus,1240.398
862,1955,estimates,female,25_49,899.908
862,1955,estimates,male,25_49,947.105
862,1955,estimates,female,25_64,1104.911
862,1955,estimates,male,25_64,1166.38
862,1955,estimates,female,25_69,1138.558
862,1955,estimates,male,25_69,1199.932
862,1955,estimates,female,50plus,283.428
862,1955,estimates,male,50plus,293.293
862,1955,estimates,female,60plus,126.758
862,1955,estimates,male,60plus,124.399
862,1955,estimates,female,65plus,78.425
862,1955,estimates,male,65plus,74.018
862,1955,estimates,female,70plus,44.778
862,1955,estimates,male,70plus,40.466
862,1955,estimates,female,75plus,22.835
862,1955,estimates,male,75plus,19.709
862,1955,estimates,female,80plus,9.938
862,1955,estimates,male,80plus,8.192
862,1960,estimates,female,total,3994.933
862,1960,estimates,male,total,4151.912
862,1960,estimates,female,0_1,324.623
862,1960,estimates,male,0_1,337.045
862,1960,estimates,female,0_4,749.651
862,1960,estimates,male,0_4,780.152
862,1960,estimates,female,0_14,1828.385
862,1960,estimates,male,0_14,1902.699
862,1960,estimates,female,0_17,2079.573
862,1960,estimates,male,0_17,2164.231
862,1960,estimates,female,0_19,2232.396
862,1960,estimates,male,0_19,2323.468
862,1960,estimates,female,0_24,2572.495
862,1960,estimates,male,0_24,2677.154
862,1960,estimates,female,3_4,275.916
862,1960,estimates,male,3_4,287.826
862,1960,estimates,female,3_5,404.149
862,1960,estimates,male,3_5,421.695
862,1960,estimates,female,3_6,526.736
862,1960,estimates,male,3_6,549.654
862,1960,estimates,female,4_5,262.723
862,1960,estimates,male,4_5,274.223
862,1960,estimates,female,4_6,385.31
862,1960,estimates,male,4_6,402.182
862,1960,estimates,female,5_10,694.579
862,1960,estimates,male,5_10,724.08
862,1960,estimates,female,5_11,795.986
862,1960,estimates,male,5_11,829.301
862,1960,estimates,female,5_14,1078.734
862,1960,estimates,male,5_14,1122.547
862,1960,estimates,female,6_9,461.541
862,1960,estimates,male,6_9,481.251
862,1960,estimates,female,6_10,566.346
862,1960,estimates,male,6_10,590.211
862,1960,estimates,female,6_11,667.753
862,1960,estimates,male,6_11,695.432
862,1960,estimates,female,6_12,765.728
862,1960,estimates,male,6_12,796.972
862,1960,estimates,female,7_10,443.759
862,1960,estimates,male,7_10,462.252
862,1960,estimates,female,7_12,643.141
862,1960,estimates,male,7_12,669.013
862,1960,estimates,female,11_16,554.79
862,1960,estimates,male,11_16,576.021
862,1960,estimates,female,11_17,635.343
862,1960,estimates,male,11_17,659.999
862,1960,estimates,female,11_18,713.063
862,1960,estimates,male,11_18,741.016
862,1960,estimates,female,12_14,282.748
862,1960,estimates,male,12_14,293.246
862,1960,estimates,female,12_16,453.383
862,1960,estimates,male,12_16,470.8
862,1960,estimates,female,12_17,533.936
862,1960,estimates,male,12_17,554.778
862,1960,estimates,female,12_18,611.656
862,1960,estimates,male,12_18,635.795
862,1960,estimates,female,13_17,435.961
862,1960,estimates,male,13_17,453.238
862,1960,estimates,female,13_18,513.681
862,1960,estimates,male,13_18,534.255
862,1960,estimates,female,13_19,588.784
862,1960,estimates,male,13_19,612.475
862,1960,estimates,female,15plus,2166.548
862,1960,estimates,male,15plus,2249.213
862,1960,estimates,female,15_17,251.188
862,1960,estimates,male,15_17,261.532
862,1960,estimates,female,15_24,744.11
862,1960,estimates,male,15_24,774.455
862,1960,estimates,female,15_49,1815.676
862,1960,estimates,male,15_49,1890.734
862,1960,estimates,female,15_59,2010.593
862,1960,estimates,male,15_59,2094.632
862,1960,estimates,female,15_64,2070.29
862,1960,estimates,male,15_64,2157.53
862,1960,estimates,female,16plus,2079.569
862,1960,estimates,male,16plus,2158.778
862,1960,estimates,female,17plus,1995.913
862,1960,estimates,male,17plus,2071.659
862,1960,estimates,female,18plus,1915.36
862,1960,estimates,male,18plus,1987.681
862,1960,estimates,female,18_23,429.295
862,1960,estimates,male,18_23,446.738
862,1960,estimates,female,20plus,1762.537
862,1960,estimates,male,20plus,1828.444
862,1960,estimates,female,20_64,1666.279
862,1960,estimates,male,20_64,1736.761
862,1960,estimates,female,20_69,1707.348
862,1960,estimates,male,20_69,1778.402
862,1960,estimates,female,21plus,1689.941
862,1960,estimates,male,21plus,1752.892
862,1960,estimates,female,25plus,1422.438
862,1960,estimates,male,25plus,1474.758
862,1960,estimates,female,25_49,1071.566
862,1960,estimates,male,25_49,1116.279
862,1960,estimates,female,25_64,1326.18
862,1960,estimates,male,25_64,1383.075
862,1960,estimates,female,25_69,1367.249
862,1960,estimates,male,25_69,1424.716
862,1960,estimates,female,50plus,350.872
862,1960,estimates,male,50plus,358.479
862,1960,estimates,female,60plus,155.955
862,1960,estimates,male,60plus,154.581
862,1960,estimates,female,65plus,96.258
862,1960,estimates,male,65plus,91.683
862,1960,estimates,female,70plus,55.189
862,1960,estimates,male,70plus,50.042
862,1960,estimates,female,75plus,28.51
