agebroad,gender,population,country,variant,year
"Region, subregion, country or area *",female,Pakistan,586,estimates,1950
0_1,female,1156.493,586,estimates,1950
0_4,female,2780.259,586,estimates,1950
0_14,female,7207.897,586,estimates,1950
0_17,female,8283.473,586,estimates,1950
0_19,female,8944.25,586,estimates,1950
0_24,female,10409.74,586,estimates,1950
3_4,female,1067.358,586,estimates,1950
3_5,female,1577.881,586,estimates,1950
3_6,female,2072.84,586,estimates,1950
4_5,female,1036.539,586,estimates,1950
4_6,female,1531.498,586,estimates,1950
5_14,female,4427.638,586,estimates,1950
5_10,female,2831.402,586,estimates,1950
5_11,female,3250.088,586,estimates,1950
6_9,female,1887.166,586,estimates,1950
6_10,female,2320.879,586,estimates,1950
6_11,female,2739.565,586,estimates,1950
6_12,female,3144.253,586,estimates,1950
7_10,female,1825.92,586,estimates,1950
7_12,female,2649.294,586,estimates,1950
11_16,female,2324.217,586,estimates,1950
11_17,female,2671.812,586,estimates,1950
11_18,female,3007.987,586,estimates,1950
12_14,female,1177.55,586,estimates,1950
12_16,female,1905.531,586,estimates,1950
12_17,female,2253.126,586,estimates,1950
12_18,female,2589.301,586,estimates,1950
13_17,female,1848.438,586,estimates,1950
13_18,female,2184.613,586,estimates,1950
13_19,female,2509.215,586,estimates,1950
15_17,female,1075.576,586,estimates,1950
18_23,female,1852.05,586,estimates,1950
15_24,female,3201.843,586,estimates,1950
15_49,female,7656.463,586,estimates,1950
15_59,female,8528.704,586,estimates,1950
15_64,female,8883.636,586,estimates,1950
20_64,female,7147.283,586,estimates,1950
20_69,female,7451.787,586,estimates,1950
25_49,female,4454.62,586,estimates,1950
25_64,female,5681.793,586,estimates,1950
25_69,female,5986.297,586,estimates,1950
15plus,female,9873.238,586,estimates,1950
16plus,female,9503.821,586,estimates,1950
17plus,female,9145.257,586,estimates,1950
18plus,female,8797.662,586,estimates,1950
20plus,female,8136.885,586,estimates,1950
21plus,female,7823.429,586,estimates,1950
25plus,female,6671.395,586,estimates,1950
50plus,female,2216.775,586,estimates,1950
60plus,female,1344.534,586,estimates,1950
65plus,female,989.602,586,estimates,1950
70plus,female,685.098,586,estimates,1950
75plus,female,429.641,586,estimates,1950
80plus,female,221.844,586,estimates,1950
85plus,female,92.472,586,estimates,1950
90plus,female,27.985,586,estimates,1950
total,female,17081.135,586,estimates,1950
"Region, subregion, country or area *",male,Pakistan,586,estimates,1950
0_1,male,1240.856,586,estimates,1950
0_4,male,2998.347,586,estimates,1950
0_14,male,7934.527,586,estimates,1950
0_17,male,9179.595,586,estimates,1950
0_19,male,9959.215,586,estimates,1950
0_24,male,11742.444,586,estimates,1950
3_4,male,1157.474,586,estimates,1950
3_5,male,1714.514,586,estimates,1950
3_6,male,2256.966,586,estimates,1950
4_5,male,1128.599,586,estimates,1950
4_6,male,1671.051,586,estimates,1950
5_14,male,4936.18,586,estimates,1950
5_10,male,3125.115,586,estimates,1950
5_11,male,3596.186,586,estimates,1950
6_9,male,2082.977,586,estimates,1950
6_10,male,2568.075,586,estimates,1950
6_11,male,3039.146,586,estimates,1950
6_12,male,3497.158,586,estimates,1950
7_10,male,2025.623,586,estimates,1950
7_12,male,2954.706,586,estimates,1950
11_16,male,2651.192,586,estimates,1950
11_17,male,3056.133,586,estimates,1950
11_18,male,3450.97,586,estimates,1950
12_14,male,1339.994,586,estimates,1950
12_16,male,2180.121,586,estimates,1950
12_17,male,2585.062,586,estimates,1950
12_18,male,2979.899,586,estimates,1950
13_17,male,2127.05,586,estimates,1950
13_18,male,2521.887,586,estimates,1950
13_19,male,2906.67,586,estimates,1950
15_17,male,1245.068,586,estimates,1950
18_23,male,2224.141,586,estimates,1950
15_24,male,3807.917,586,estimates,1950
15_49,male,9709.069,586,estimates,1950
15_59,male,10935.822,586,estimates,1950
15_64,male,11422.792,586,estimates,1950
20_64,male,9398.104,586,estimates,1950
20_69,male,9798.651,586,estimates,1950
25_49,male,5901.152,586,estimates,1950
25_64,male,7614.875,586,estimates,1950
25_69,male,8015.422,586,estimates,1950
15plus,male,12526.708,586,estimates,1950
16plus,male,12101.562,586,estimates,1950
17plus,male,11686.581,586,estimates,1950
18plus,male,11281.64,586,estimates,1950
20plus,male,10502.02,586,estimates,1950
21plus,male,10126.953,586,estimates,1950
25plus,male,8718.791,586,estimates,1950
50plus,male,2817.639,586,estimates,1950
60plus,male,1590.886,586,estimates,1950
65plus,male,1103.916,586,estimates,1950
70plus,male,703.369,586,estimates,1950
75plus,male,390.049,586,estimates,1950
80plus,male,164.762,586,estimates,1950
85plus,male,50.256,586,estimates,1950
90plus,male,9.351,586,estimates,1950
total,male,20461.235,586,estimates,1950
"Region, subregion, country or area *",female,Pakistan,586,estimates,1951
0_1,female,1142.931,586,estimates,1951
0_4,female,2769.658,586,estimates,1951
0_14,female,7287.838,586,estimates,1951
0_17,female,8382.257,586,estimates,1951
0_19,female,9056.924,586,estimates,1951
0_24,female,10553.055,586,estimates,1951
3_4,female,1071.041,586,estimates,1951
3_5,female,1586.482,586,estimates,1951
3_6,female,2088.719,586,estimates,1951
4_5,female,1044.264,586,estimates,1951
4_6,female,1546.501,586,estimates,1951
5_14,female,4518.18,586,estimates,1951
5_10,female,2888.2,586,estimates,1951
5_11,female,3317.572,586,estimates,1951
6_9,female,1927.914,586,estimates,1951
6_10,female,2372.759,586,estimates,1951
6_11,female,2802.131,586,estimates,1951
6_12,female,3216.034,586,estimates,1951
7_10,female,1870.522,586,estimates,1951
7_12,female,2713.797,586,estimates,1951
11_16,female,2370.534,586,estimates,1951
11_17,female,2724.399,586,estimates,1951
11_18,female,3067.37,586,estimates,1951
12_14,female,1200.608,586,estimates,1951
12_16,female,1941.162,586,estimates,1951
12_17,female,2295.027,586,estimates,1951
12_18,female,2637.998,586,estimates,1951
13_17,female,1881.124,586,estimates,1951
13_18,female,2224.095,586,estimates,1951
13_19,female,2555.791,586,estimates,1951
15_17,female,1094.419,586,estimates,1951
18_23,female,1891.518,586,estimates,1951
15_24,female,3265.217,586,estimates,1951
15_49,female,7817.165,586,estimates,1951
15_59,female,8699.521,586,estimates,1951
15_64,female,9052.356,586,estimates,1951
20_64,female,7283.27,586,estimates,1951
20_69,female,7584.472,586,estimates,1951
25_49,female,4551.948,586,estimates,1951
25_64,female,5787.139,586,estimates,1951
25_69,female,6088.341,586,estimates,1951
15plus,female,10030.821,586,estimates,1951
16plus,female,9654.957,586,estimates,1951
17plus,female,9290.267,586,estimates,1951
18plus,female,8936.402,586,estimates,1951
20plus,female,8261.735,586,estimates,1951
21plus,female,7941.425,586,estimates,1951
25plus,female,6765.604,586,estimates,1951
50plus,female,2213.656,586,estimates,1951
60plus,female,1331.3,586,estimates,1951
65plus,female,978.465,586,estimates,1951
70plus,female,677.263,586,estimates,1951
75plus,female,428.519,586,estimates,1951
80plus,female,226.74,586,estimates,1951
85plus,female,96.814,586,estimates,1951
90plus,female,30.732,586,estimates,1951
total,female,17318.659,586,estimates,1951
"Region, subregion, country or area *",male,Pakistan,586,estimates,1951
0_1,male,1207.657,586,estimates,1951
0_4,male,2961.881,586,estimates,1951
0_14,male,7974.816,586,estimates,1951
0_17,male,9237.478,586,estimates,1951
0_19,male,10027.973,586,estimates,1951
0_24,male,11835.57,586,estimates,1951
3_4,male,1157.114,586,estimates,1951
3_5,male,1717.05,586,estimates,1951
3_6,male,2264.638,586,estimates,1951
4_5,male,1132.302,586,estimates,1951
4_6,male,1679.89,586,estimates,1951
5_14,male,5012.935,586,estimates,1951
5_10,male,3169.445,586,estimates,1951
5_11,male,3650.225,586,estimates,1951
6_9,male,2114.744,586,estimates,1951
6_10,male,2609.509,586,estimates,1951
6_11,male,3090.289,586,estimates,1951
6_12,male,3557.119,586,estimates,1951
7_10,male,2061.921,586,estimates,1951
7_12,male,3009.531,586,estimates,1951
11_16,male,2695.707,586,estimates,1951
11_17,male,3106.152,586,estimates,1951
11_18,male,3506.439,586,estimates,1951
12_14,male,1362.71,586,estimates,1951
12_16,male,2214.927,586,estimates,1951
12_17,male,2625.372,586,estimates,1951
12_18,male,3025.659,586,estimates,1951
13_17,male,2158.542,586,estimates,1951
13_18,male,2558.829,586,estimates,1951
13_19,male,2949.037,586,estimates,1951
15_17,male,1262.662,586,estimates,1951
18_23,male,2254.813,586,estimates,1951
15_24,male,3860.754,586,estimates,1951
15_49,male,9864.219,586,estimates,1951
15_59,male,11103.405,586,estimates,1951
15_64,male,11586.604,586,estimates,1951
20_64,male,9533.447,586,estimates,1951
20_69,male,9929.588,586,estimates,1951
25_49,male,6003.465,586,estimates,1951
25_64,male,7725.85,586,estimates,1951
25_69,male,8121.991,586,estimates,1951
15plus,male,12681.804,586,estimates,1951
16plus,male,12250.391,586,estimates,1951
17plus,male,11829.587,586,estimates,1951
18plus,male,11419.142,586,estimates,1951
20plus,male,10628.647,586,estimates,1951
21plus,male,10248.374,586,estimates,1951
25plus,male,8821.05,586,estimates,1951
50plus,male,2817.585,586,estimates,1951
60plus,male,1578.399,586,estimates,1951
65plus,male,1095.2,586,estimates,1951
70plus,male,699.059,586,estimates,1951
75plus,male,393.137,586,estimates,1951
80plus,male,172.935,586,estimates,1951
85plus,male,55.355,586,estimates,1951
90plus,male,11.302,586,estimates,1951
total,male,20656.62,586,estimates,1951
"Region, subregion, country or area *",female,Pakistan,586,estimates,1952
0_1,female,1127.772,586,estimates,1952
0_4,female,2754.675,586,estimates,1952
0_14,female,7367.207,586,estimates,1952
0_17,female,8483.849,586,estimates,1952
0_19,female,9173.589,586,estimates,1952
0_24,female,10706.52,586,estimates,1952
3_4,female,1071.852,586,estimates,1952
3_5,female,1589.867,586,estimates,1952
3_6,female,2096.395,586,estimates,1952
4_5,female,1047.804,586,estimates,1952
4_6,female,1554.332,586,estimates,1952
5_14,female,4612.532,586,estimates,1952
5_10,female,2937.604,586,estimates,1952
5_11,female,3379.916,586,estimates,1952
6_9,female,1960.875,586,estimates,1952
6_10,female,2419.589,586,estimates,1952
6_11,female,2861.901,586,estimates,1952
6_12,female,3288.296,586,estimates,1952
7_10,female,1913.061,586,estimates,1952
7_12,female,2781.768,586,estimates,1952
11_16,female,2430.443,586,estimates,1952
11_17,female,2791.57,586,estimates,1952
11_18,female,3141.867,586,estimates,1952
12_14,female,1232.616,586,estimates,1952
12_16,female,1988.131,586,estimates,1952
12_17,female,2349.258,586,estimates,1952
12_18,female,2699.555,586,estimates,1952
13_17,female,1922.863,586,estimates,1952
13_18,female,2273.16,586,estimates,1952
13_19,female,2612.603,586,estimates,1952
15_17,female,1116.642,586,estimates,1952
18_23,female,1936.96,586,estimates,1952
15_24,female,3339.313,586,estimates,1952
15_49,female,8004.267,586,estimates,1952
15_59,female,8902.936,586,estimates,1952
15_64,female,9254.968,586,estimates,1952
20_64,female,7448.586,586,estimates,1952
20_69,female,7748.874,586,estimates,1952
25_49,female,4664.954,586,estimates,1952
25_64,female,5915.655,586,estimates,1952
25_69,female,6215.943,586,estimates,1952
15plus,female,10223.454,586,estimates,1952
16plus,female,9840.174,586,estimates,1952
17plus,female,9467.939,586,estimates,1952
18plus,female,9106.812,586,estimates,1952
20plus,female,8417.072,586,estimates,1952
21plus,female,8088.796,586,estimates,1952
25plus,female,6884.141,586,estimates,1952
50plus,female,2219.187,586,estimates,1952
60plus,female,1320.518,586,estimates,1952
65plus,female,968.486,586,estimates,1952
70plus,female,668.198,586,estimates,1952
75plus,female,423.948,586,estimates,1952
80plus,female,229.087,586,estimates,1952
85plus,female,98.997,586,estimates,1952
90plus,female,32.616,586,estimates,1952
total,female,17590.661,586,estimates,1952
"Region, subregion, country or area *",male,Pakistan,586,estimates,1952
0_1,male,1162.732,586,estimates,1952
0_4,male,2911.279,586,estimates,1952
0_14,male,8005.04,586,estimates,1952
0_17,male,9291.325,586,estimates,1952
0_19,male,10095.861,586,estimates,1952
0_24,male,11935.074,586,estimates,1952
3_4,male,1154.372,586,estimates,1952
3_5,male,1715.332,586,estimates,1952
3_6,male,2265.735,586,estimates,1952
4_5,male,1132.635,586,estimates,1952
4_6,male,1683.038,586,estimates,1952
5_14,male,5093.761,586,estimates,1952
5_10,male,3207.853,586,estimates,1952
5_11,male,3700.008,586,estimates,1952
6_9,male,2140.471,586,estimates,1952
6_10,male,2646.893,586,estimates,1952
6_11,male,3139.048,586,estimates,1952
6_12,male,3617.28,586,estimates,1952
7_10,male,2096.49,586,estimates,1952
7_12,male,3066.877,586,estimates,1952
11_16,male,2754.179,586,estimates,1952
11_17,male,3172.193,586,estimates,1952
11_18,male,3579.618,586,estimates,1952
12_14,male,1393.753,586,estimates,1952
12_16,male,2262.024,586,estimates,1952
12_17,male,2680.038,586,estimates,1952
12_18,male,3087.463,586,estimates,1952
13_17,male,2201.806,586,estimates,1952
13_18,male,2609.231,586,estimates,1952
13_19,male,3006.342,586,estimates,1952
15_17,male,1286.285,586,estimates,1952
18_23,male,2294.57,586,estimates,1952
15_24,male,3930.034,586,estimates,1952
15_49,male,10058.657,586,estimates,1952
15_59,male,11319.677,586,estimates,1952
15_64,male,11801.317,586,estimates,1952
20_64,male,9710.496,586,estimates,1952
20_69,male,10105.327,586,estimates,1952
25_49,male,6128.623,586,estimates,1952
25_64,male,7871.283,586,estimates,1952
25_69,male,8266.114,586,estimates,1952
15plus,male,12888.19,586,estimates,1952
16plus,male,12448.687,586,estimates,1952
17plus,male,12019.919,586,estimates,1952
18plus,male,11601.905,586,estimates,1952
20plus,male,10797.369,586,estimates,1952
21plus,male,10410.347,586,estimates,1952
25plus,male,8958.156,586,estimates,1952
50plus,male,2829.533,586,estimates,1952
60plus,male,1568.513,586,estimates,1952
65plus,male,1086.873,586,estimates,1952
70plus,male,692.042,586,estimates,1952
75plus,male,391.298,586,estimates,1952
80plus,male,177.725,586,estimates,1952
85plus,male,58.403,586,estimates,1952
90plus,male,12.89,586,estimates,1952
total,male,20893.23,586,estimates,1952
"Region, subregion, country or area *",female,Pakistan,586,estimates,1953
0_1,female,1144.542,586,estimates,1953
0_4,female,2759.559,586,estimates,1953
0_14,female,7457.527,586,estimates,1953
0_17,female,8599.349,586,estimates,1953
0_19,female,9304.75,586,estimates,1953
0_24,female,10877.585,586,estimates,1953
3_4,female,1070.962,586,estimates,1953
3_5,female,1589.146,586,estimates,1953
3_6,female,2097.16,586,estimates,1953
4_5,female,1047.467,586,estimates,1953
4_6,female,1555.481,586,estimates,1953
5_14,female,4697.968,586,estimates,1953
5_10,female,2968.28,586,estimates,1953
5_11,female,3425.799,586,estimates,1953
6_9,female,1978.157,586,estimates,1953
6_10,female,2450.096,586,estimates,1953
6_11,female,2907.615,586,estimates,1953
6_12,female,3348.085,586,estimates,1953
7_10,female,1942.082,586,estimates,1953
7_12,female,2840.071,586,estimates,1953
11_16,female,2502.323,586,estimates,1953
11_17,female,2871.51,586,estimates,1953
11_18,female,3229.637,586,estimates,1953
12_14,female,1272.169,586,estimates,1953
