agebroad,gender,population,country,variant,year
13_17,female,420.642,604,estimates,1951
13_18,female,498.227,604,estimates,1951
13_19,female,573.308,604,estimates,1951
15_17,female,245.654,604,estimates,1951
18_23,female,426.751,604,estimates,1951
15_24,female,734.748,604,estimates,1951
15_49,female,1811.078,604,estimates,1951
15_59,female,2067.81,604,estimates,1951
15_64,female,2159.224,604,estimates,1951
20_64,female,1760.904,604,estimates,1951
20_69,female,1823.531,604,estimates,1951
25_49,female,1076.33,604,estimates,1951
25_64,female,1424.476,604,estimates,1951
25_69,female,1487.103,604,estimates,1951
15plus,female,2307.571,604,estimates,1951
16plus,female,2223.551,604,estimates,1951
17plus,female,2141.717,604,estimates,1951
18plus,female,2061.917,604,estimates,1951
20plus,female,1909.251,604,estimates,1951
21plus,female,1836.847,604,estimates,1951
25plus,female,1572.823,604,estimates,1951
50plus,female,496.493,604,estimates,1951
60plus,female,239.761,604,estimates,1951
65plus,female,148.347,604,estimates,1951
70plus,female,85.72,604,estimates,1951
75plus,female,41.315,604,estimates,1951
80plus,female,15.832,604,estimates,1951
85plus,female,4.476,604,estimates,1951
90plus,female,0.841,604,estimates,1951
total,female,3944.205,604,estimates,1951
0,male,170.785,604,estimates,1951
0_1,male,302.086,604,estimates,1951
0_4,male,686.358,604,estimates,1951
0_14,male,1677.062,604,estimates,1951
0_17,male,1928.89,604,estimates,1951
0_19,male,2085.438,604,estimates,1951
0_24,male,2429.219,604,estimates,1951
3_4,male,248.231,604,estimates,1951
3_5,male,362.698,604,estimates,1951
3_6,male,472.057,604,estimates,1951
4_5,male,235.006,604,estimates,1951
4_6,male,344.365,604,estimates,1951
5_14,male,990.704,604,estimates,1951
5_10,male,625.083,604,estimates,1951
5_11,male,719.088,604,estimates,1951
6_9,male,414.571,604,estimates,1951
6_10,male,510.616,604,estimates,1951
6_11,male,604.621,604,estimates,1951
6_12,male,697.031,604,estimates,1951
7_10,male,401.257,604,estimates,1951
7_12,male,587.672,604,estimates,1951
11_16,male,535.602,604,estimates,1951
11_17,male,617.449,604,estimates,1951
11_18,male,697.031,604,estimates,1951
12_14,male,271.616,604,estimates,1951
12_16,male,441.597,604,estimates,1951
12_17,male,523.444,604,estimates,1951
12_18,male,603.026,604,estimates,1951
13_17,male,431.034,604,estimates,1951
13_18,male,510.616,604,estimates,1951
13_19,male,587.582,604,estimates,1951
15_17,male,251.828,604,estimates,1951
18_23,male,436.717,604,estimates,1951
15_24,male,752.157,604,estimates,1951
15_49,male,1845.46,604,estimates,1951
15_59,male,2093.259,604,estimates,1951
15_64,male,2177.903,604,estimates,1951
20_64,male,1769.527,604,estimates,1951
20_69,male,1825.328,604,estimates,1951
25_49,male,1093.303,604,estimates,1951
25_64,male,1425.746,604,estimates,1951
25_69,male,1481.547,604,estimates,1951
15plus,male,2302.939,604,estimates,1951
16plus,male,2216.846,604,estimates,1951
17plus,male,2132.958,604,estimates,1951
18plus,male,2051.111,604,estimates,1951
20plus,male,1894.563,604,estimates,1951
21plus,male,1820.426,604,estimates,1951
25plus,male,1550.782,604,estimates,1951
50plus,male,457.479,604,estimates,1951
60plus,male,209.68,604,estimates,1951
65plus,male,125.036,604,estimates,1951
70plus,male,69.235,604,estimates,1951
75plus,male,31.561,604,estimates,1951
80plus,male,11.172,604,estimates,1951
85plus,male,2.889,604,estimates,1951
90plus,male,0.494,604,estimates,1951
total,male,3980.001,604,estimates,1951
0,female,167.19,604,estimates,1952
0_1,female,305.597,604,estimates,1952
0_4,female,695.912,604,estimates,1952
0_14,female,1687.304,604,estimates,1952
0_17,female,1938.072,604,estimates,1952
0_19,female,2094.383,604,estimates,1952
0_24,female,2440.836,604,estimates,1952
3_4,female,252.003,604,estimates,1952
3_5,female,367.893,604,estimates,1952
3_6,female,478.331,604,estimates,1952
4_5,female,238.173,604,estimates,1952
