agebroad,gender,population,country,variant,year
0_1,female,16.037,516,estimates,1950
0_4,female,37.357,516,estimates,1950
0_14,female,92.458,516,estimates,1950
0_17,female,106.364,516,estimates,1950
0_19,female,115.389,516,estimates,1950
0_24,female,137.17,516,estimates,1950
3_4,female,13.874,516,estimates,1950
3_5,female,20.353,516,estimates,1950
3_6,female,26.558,516,estimates,1950
4_5,female,13.255,516,estimates,1950
4_6,female,19.46,516,estimates,1950
5_14,female,55.101,516,estimates,1950
5_10,female,35.218,516,estimates,1950
5_11,female,40.382,516,estimates,1950
6_9,female,23.406,516,estimates,1950
6_10,female,28.739,516,estimates,1950
6_11,female,33.903,516,estimates,1950
6_12,female,38.922,516,estimates,1950
7_10,female,22.534,516,estimates,1950
7_12,female,32.717,516,estimates,1950
11_16,female,29.224,516,estimates,1950
11_17,female,33.789,516,estimates,1950
11_18,female,38.315,516,estimates,1950
12_14,female,14.719,516,estimates,1950
12_16,female,24.06,516,estimates,1950
12_17,female,28.625,516,estimates,1950
12_18,female,33.151,516,estimates,1950
13_17,female,23.606,516,estimates,1950
13_18,female,28.132,516,estimates,1950
13_19,female,32.631,516,estimates,1950
15_17,female,13.906,516,estimates,1950
18_23,female,26.667,516,estimates,1950
15_24,female,44.712,516,estimates,1950
15_49,female,118.226,516,estimates,1950
15_59,female,134.62,516,estimates,1950
15_64,female,141.179,516,estimates,1950
20_64,female,118.248,516,estimates,1950
20_69,female,123.165,516,estimates,1950
25_49,female,73.514,516,estimates,1950
25_64,female,96.467,516,estimates,1950
25_69,female,101.384,516,estimates,1950
15plus,female,151.829,516,estimates,1950
16plus,female,147.117,516,estimates,1950
17plus,female,142.488,516,estimates,1950
18plus,female,137.923,516,estimates,1950
20plus,female,128.898,516,estimates,1950
21plus,female,124.423,516,estimates,1950
25plus,female,107.117,516,estimates,1950
50plus,female,33.603,516,estimates,1950
60plus,female,17.209,516,estimates,1950
65plus,female,10.65,516,estimates,1950
70plus,female,5.733,516,estimates,1950
75plus,female,2.454,516,estimates,1950
80plus,female,0.815,516,estimates,1950
85plus,female,0.238,516,estimates,1950
90plus,female,0.047,516,estimates,1950
total,female,244.287,516,estimates,1950
0_1,male,16.681,516,estimates,1950
0_4,male,38.758,516,estimates,1950
0_14,male,95.611,516,estimates,1950
0_17,male,109.931,516,estimates,1950
0_19,male,119.194,516,estimates,1950
0_24,male,141.447,516,estimates,1950
3_4,male,14.356,516,estimates,1950
3_5,male,21.048,516,estimates,1950
3_6,male,27.452,516,estimates,1950
4_5,male,13.699,516,estimates,1950
4_6,male,20.103,516,estimates,1950
5_14,male,56.853,516,estimates,1950
5_10,male,36.339,516,estimates,1950
5_11,male,41.668,516,estimates,1950
6_9,male,24.146,516,estimates,1950
6_10,male,29.647,516,estimates,1950
6_11,male,34.976,516,estimates,1950
6_12,male,40.156,516,estimates,1950
7_10,male,23.243,516,estimates,1950
7_12,male,33.752,516,estimates,1950
11_16,male,30.136,516,estimates,1950
11_17,male,34.834,516,estimates,1950
11_18,male,39.484,516,estimates,1950
12_14,male,15.185,516,estimates,1950
12_16,male,24.807,516,estimates,1950
12_17,male,29.505,516,estimates,1950
12_18,male,34.155,516,estimates,1950
13_17,male,24.325,516,estimates,1950
13_18,male,28.975,516,estimates,1950
13_19,male,33.588,516,estimates,1950
15_17,male,14.32,516,estimates,1950
18_23,male,27.273,516,estimates,1950
15_24,male,45.836,516,estimates,1950
15_49,male,116.181,516,estimates,1950
15_59,male,130.654,516,estimates,1950
15_64,male,136.078,516,estimates,1950
20_64,male,112.495,516,estimates,1950
20_69,male,116.369,516,estimates,1950
25_49,male,70.345,516,estimates,1950
25_64,male,90.242,516,estimates,1950
25_69,male,94.116,516,estimates,1950
15plus,male,145.379,516,estimates,1950
16plus,male,140.524,516,estimates,1950
17plus,male,135.757,516,estimates,1950
18plus,male,131.059,516,estimates,1950
20plus,male,121.796,516,estimates,1950
21plus,male,117.217,516,estimates,1950
25plus,male,99.543,516,estimates,1950
50plus,male,29.198,516,estimates,1950
60plus,male,14.725,516,estimates,1950
65plus,male,9.301,516,estimates,1950
70plus,male,5.427,516,estimates,1950
75plus,male,2.327,516,estimates,1950
80plus,male,0.776,516,estimates,1950
85plus,male,0.2,516,estimates,1950
90plus,male,0.033,516,estimates,1950
total,male,240.99,516,estimates,1950
0_1,female,16.789,516,estimates,1951
0_4,female,38.772,516,estimates,1951
0_14,female,95.453,516,estimates,1951
0_17,female,109.488,516,estimates,1951
0_19,female,118.503,516,estimates,1951
0_24,female,140.441,516,estimates,1951
3_4,female,14.308,516,estimates,1951
3_5,female,20.996,516,estimates,1951
3_6,female,27.409,516,estimates,1951
4_5,female,13.678,516,estimates,1951
4_6,female,20.091,516,estimates,1951
5_14,female,56.681,516,estimates,1951
5_10,female,36.393,516,estimates,1951
5_11,female,41.699,516,estimates,1951
6_9,female,24.21,516,estimates,1951
6_10,female,29.705,516,estimates,1951
6_11,female,35.011,516,estimates,1951
6_12,female,40.144,516,estimates,1951
7_10,female,23.292,516,estimates,1951
7_12,female,33.731,516,estimates,1951
11_16,female,29.731,516,estimates,1951
11_17,female,34.323,516,estimates,1951
11_18,female,38.851,516,estimates,1951
12_14,female,14.982,516,estimates,1951
12_16,female,24.425,516,estimates,1951
12_17,female,29.017,516,estimates,1951
12_18,female,33.545,516,estimates,1951
13_17,female,23.884,516,estimates,1951
13_18,female,28.412,516,estimates,1951
13_19,female,32.899,516,estimates,1951
