agebroad,gender,population,country,variant,year
0_1,female,236.232,458,estimates,1950
0_4,female,511.2,458,estimates,1950
0_14,female,1242.501,458,estimates,1950
0_17,female,1424.38,458,estimates,1950
0_19,female,1535.001,458,estimates,1950
0_24,female,1789.501,458,estimates,1950
3_4,female,175.113,458,estimates,1950
3_5,female,254.303,458,estimates,1950
3_6,female,330.07,458,estimates,1950
4_5,female,163.349,458,estimates,1950
4_6,female,239.116,458,estimates,1950
5_14,female,731.301,458,estimates,1950
5_10,female,445.363,458,estimates,1950
5_11,female,519.063,458,estimates,1950
6_9,female,293.81,458,estimates,1950
6_10,female,366.173,458,estimates,1950
6_11,female,439.873,458,estimates,1950
6_12,female,513.564,458,estimates,1950
7_10,female,290.406,458,estimates,1950
7_12,female,437.797,458,estimates,1950
11_16,female,410.208,458,estimates,1950
11_17,female,467.817,458,estimates,1950
11_18,female,523.666,458,estimates,1950
12_14,female,212.238,458,estimates,1950
12_16,female,336.508,458,estimates,1950
12_17,female,394.117,458,estimates,1950
12_18,female,449.966,458,estimates,1950
13_17,female,320.426,458,estimates,1950
13_18,female,376.275,458,estimates,1950
13_19,female,431.047,458,estimates,1950
15_17,female,181.879,458,estimates,1950
18_23,female,317.232,458,estimates,1950
15_24,female,547,458,estimates,1950
15_49,female,1357.699,458,estimates,1950
15_59,female,1509.8,458,estimates,1950
15_64,female,1576.399,458,estimates,1950
20_64,female,1283.899,458,estimates,1950
20_69,female,1333.899,458,estimates,1950
25_49,female,810.699,458,estimates,1950
25_64,female,1029.399,458,estimates,1950
25_69,female,1079.399,458,estimates,1950
15plus,female,1723.097,458,estimates,1950
16plus,female,1659.254,458,estimates,1950
17plus,female,1598.827,458,estimates,1950
18plus,female,1541.218,458,estimates,1950
20plus,female,1430.597,458,estimates,1950
21plus,female,1377.04,458,estimates,1950
25plus,female,1176.097,458,estimates,1950
50plus,female,365.398,458,estimates,1950
60plus,female,213.297,458,estimates,1950
65plus,female,146.698,458,estimates,1950
70plus,female,96.698,458,estimates,1950
75plus,female,50.299,458,estimates,1950
80plus,female,19.4,458,estimates,1950
85plus,female,6.592,458,estimates,1950
