global,variant,freq,year,under5mortalityper1000livebirth
900,estimates,5yearly,1950,214.93168510215
900,estimates,5yearly,1955,195.541636267467
900,estimates,5yearly,1960,183.842549286352
900,estimates,5yearly,1965,157.291199143781
900,estimates,5yearly,1970,138.6859309436
900,estimates,5yearly,1975,124.252050051102
900,estimates,5yearly,1980,108.98806021143
900,estimates,5yearly,1985,96.3716744501176
900,estimates,5yearly,1990,90.7975858910339
900,estimates,5yearly,1995,82.3800259612802
900,estimates,5yearly,2000,70.0543290807822
900,estimates,5yearly,2005,57.6110389174408
900,estimates,5yearly,2010,48.1454027686177
900,medium_variant,5yearly,2015,42.561875433925
900,medium_variant,5yearly,2020,38.0889473416222
900,medium_variant,5yearly,2025,34.1277124909772
900,medium_variant,5yearly,2030,30.5436098359241
900,medium_variant,5yearly,2035,27.2841551439913
900,medium_variant,5yearly,2040,24.4658456708311
900,medium_variant,5yearly,2045,22.0417363504622
900,medium_variant,5yearly,2050,19.8604814059778
900,medium_variant,5yearly,2055,18.03984854035
900,medium_variant,5yearly,2060,16.4717421692976
900,medium_variant,5yearly,2065,15.0584432114654
900,medium_variant,5yearly,2070,13.8597197982219
900,medium_variant,5yearly,2075,12.7955453027347
900,medium_variant,5yearly,2080,11.8947436240008
900,medium_variant,5yearly,2085,11.10691245517
900,medium_variant,5yearly,2090,10.3871543330462
900,medium_variant,5yearly,2095,9.72721825441986
