country,variant,year,populationdensitypersqkm
388,estimates,1950,129.538227146814
388,estimates,1951,132.681809787627
388,estimates,1952,135.551061865189
388,estimates,1953,138.104339796861
388,estimates,1954,140.331117266851
388,estimates,1955,142.25512465374
388,estimates,1956,143.935272391505
388,estimates,1957,145.462511542013
388,estimates,1958,146.954201292705
388,estimates,1959,148.543213296399
388,estimates,1960,150.346445060018
388,estimates,1961,152.428993536473
388,estimates,1962,154.778393351801
388,estimates,1963,157.28485687904
388,estimates,1964,159.786334256694
388,estimates,1965,162.16675900277
388,estimates,1966,164.382640812558
388,estimates,1967,166.487903970452
388,estimates,1968,168.571837488458
388,estimates,1969,170.767682363804
388,estimates,1970,173.165373961219
388,estimates,1971,175.809418282548
388,estimates,1972,178.654478301016
388,estimates,1973,181.597414589104
388,estimates,1974,184.490674053555
388,estimates,1975,187.233333333333
388,estimates,1976,189.758541089566
388,estimates,1977,192.108771929825
388,estimates,1978,194.428808864266
388,estimates,1979,196.924284395199
388,estimates,1980,199.727146814404
388,estimates,1981,202.916251154201
388,estimates,1982,206.401385041551
388,estimates,1983,209.941458910434
388,estimates,1984,213.199168975069
388,estimates,1985,215.940720221607
388,estimates,1986,218.072022160665
388,estimates,1987,219.693351800554
388,estimates,1988,221.009602954755
388,estimates,1989,222.319482917821
388,estimates,1990,223.845060018467
388,estimates,1991,225.640720221607
388,estimates,1992,227.641920590951
388,estimates,1993,229.804432132964
388,estimates,1994,232.045152354571
388,estimates,1995,234.297322253001
388,estimates,1996,236.564450600185
388,estimates,1997,238.857525392428
388,estimates,1998,241.123453370268
388,estimates,1999,243.294736842105
388,estimates,2000,245.324469067405
388,estimates,2001,247.184764542936
388,estimates,2002,248.886980609418
388,estimates,2003,250.46269621422
388,estimates,2004,251.964635272392
388,estimates,2005,253.432409972299
388,estimates,2006,254.873407202216
388,estimates,2007,256.275807940905
388,estimates,2008,257.628993536473
388,estimates,2009,258.918005540166
388,estimates,2010,260.130193905817
388,estimates,2011,261.264358264081
388,estimates,2012,262.326131117267
388,estimates,2013,263.324746075716
388,estimates,2014,264.273961218837
388,constant_fertility,2015,265.183194829178
388,constant_mortality,2015,265.183194829178
388,estimates,2015,265.183194829178
388,high_variant,2015,265.183194829178
388,instant_replacement,2015,265.183194829178
388,low_variant,2015,265.183194829178
388,medium_variant,2015,265.183194829178
388,momentum,2015,265.183194829178
388,no_change,2015,265.183194829178
388,zero_migration,2015,265.183194829178
388,constant_fertility,2016,266.208679593721
388,constant_mortality,2016,266.035272391505
388,high_variant,2016,266.436472760849
388,instant_replacement,2016,266.206925207756
388,low_variant,2016,265.732409972299
388,medium_variant,2016,266.053093259464
388,momentum,2016,267.367313019391
388,no_change,2016,266.158633425669
388,zero_migration,2016,267.832502308403
388,constant_fertility,2017,267.207940904894
388,constant_mortality,2017,266.805540166205
388,high_variant,2017,267.734441366574
388,instant_replacement,2017,267.254385964912
388,low_variant,2017,266.099261311173
388,medium_variant,2017,266.878947368421
388,momentum,2017,270.061680517082
388,no_change,2017,267.094829178209
388,zero_migration,2017,270.472299168975
388,constant_fertility,2018,268.174884579871
388,constant_mortality,2018,267.490951061865
388,high_variant,2018,269.055309325946
388,instant_replacement,2018,268.304893813481
388,low_variant,2018,266.30323176362
388,medium_variant,2018,267.652539242844
388,momentum,2018,273.094552169898
388,no_change,2018,267.985318559557
388,zero_migration,2018,273.090120036934
388,constant_fertility,2019,269.105263157895
388,constant_mortality,2019,268.091782086796
388,high_variant,2019,270.380794090489
388,instant_replacement,2019,269.324653739612
388,low_variant,2019,266.360572483841
388,medium_variant,2019,268.360018467221
388,momentum,2019,276.217913204063
388,no_change,2019,268.825023084026
388,zero_migration,2019,275.678301015697
388,constant_fertility,2020,269.992243767313
388,constant_mortality,2020,268.606832871653
388,high_variant,2020,271.695198522622
388,instant_replacement,2020,270.289843028624
388,low_variant,2020,266.284025854109
388,medium_variant,2020,268.989843028624
388,momentum,2020,279.24459833795
388,no_change,2020,269.60729455217
388,zero_migration,2020,278.22945521699
388,constant_fertility,2021,270.832040627885
388,constant_mortality,2021,269.034810710988
388,high_variant,2021,272.9891966759
388,instant_replacement,2021,271.194644506002
388,low_variant,2021,266.083933518006
388,medium_variant,2021,269.540904893813
388,momentum,2021,282.120867959372
388,no_change,2021,270.328531855956
388,zero_migration,2021,280.733979686057
388,constant_fertility,2022,271.618005540166
388,constant_mortality,2022,269.373499538319
388,high_variant,2022,274.25161588181
388,instant_replacement,2022,272.042105263158
388,low_variant,2022,265.76241920591
388,medium_variant,2022,270.01163434903
388,momentum,2022,284.883102493075
388,no_change,2022,270.9810710988
388,zero_migration,2022,283.187626962142
388,constant_fertility,2023,272.343028624192
388,constant_mortality,2023,269.619575253924
388,high_variant,2023,275.474884579871
388,instant_replacement,2023,272.826962142198
388,low_variant,2023,265.321421975993
388,medium_variant,2023,270.401200369344
388,momentum,2023,287.545706371191
388,no_change,2023,271.559095106187
388,zero_migration,2023,285.583287165282
388,constant_fertility,2024,273.001385041551
388,constant_mortality,2024,269.771191135734
388,high_variant,2024,276.657433056325
388,instant_replacement,2024,273.547276084949
388,low_variant,2024,264.760572483841
388,medium_variant,2024,270.709510618652
388,momentum,2024,290.147183748846
388,no_change,2024,272.057063711911
388,zero_migration,2024,287.91514312096
388,constant_fertility,2025,273.587349953832
388,constant_mortality,2025,269.826038781163
388,high_variant,2025,277.791874422899
388,instant_replacement,2025,274.199815327793
388,low_variant,2025,264.077654662973
388,medium_variant,2025,270.934718374885
388,momentum,2025,292.717359187442
388,no_change,2025,272.469713758079
388,zero_migration,2025,290.179224376731
388,constant_fertility,2026,274.097691597415
388,constant_mortality,2026,269.782086795937
388,high_variant,2026,278.873499538319
388,instant_replacement,2026,274.781532779317
388,low_variant,2026,263.276546629732
388,medium_variant,2026,271.075715604801
388,momentum,2026,295.24404432133
388,no_change,2026,272.792520775623
388,zero_migration,2026,292.371837488458
388,constant_fertility,2027,274.531486611265
388,constant_mortality,2027,269.636934441367
388,high_variant,2027,279.893998153278
388,instant_replacement,2027,275.288457987073
388,low_variant,2027,262.364081255771
388,medium_variant,2027,271.130563250231
388,momentum,2027,297.69972299169
388,no_change,2027,273.025484764543
388,zero_migration,2027,294.488734995383
388,constant_fertility,2028,274.888180978763
388,constant_mortality,2028,269.39298245614
388,high_variant,2028,280.839889196676
388,instant_replacement,2028,275.718190212373
388,low_variant,2028,261.35595567867
388,medium_variant,2028,271.098707294552
388,momentum,2028,300.078670360111
388,no_change,2028,273.166851338874
388,zero_migration,2028,296.525761772853
388,constant_fertility,2029,275.172022160665
388,constant_mortality,2029,269.05161588181
388,high_variant,2029,281.696675900277
388,instant_replacement,2029,276.073684210526
388,low_variant,2029,260.269806094183
388,medium_variant,2029,270.984764542936
388,momentum,2029,302.374699907664
388,no_change,2029,273.222253000923
388,zero_migration,2029,298.480609418283
388,constant_fertility,2030,275.385595567867
388,constant_mortality,2030,268.613388734995
388,high_variant,2030,282.453831948292
388,instant_replacement,2030,276.354293628809
388,low_variant,2030,259.120867959372
388,medium_variant,2030,270.787534626039
388,momentum,2030,304.584487534626
388,no_change,2030,273.190766389658
388,zero_migration,2030,300.352262234534
388,constant_fertility,2031,275.52945521699
