country,variant,year,populationdensitypersqkm
703,estimates,1950,71.4642530361005
703,estimates,1951,73.0104391948095
703,estimates,1952,74.6060763600067
703,estimates,1953,76.2127349858593
703,estimates,1954,77.799263849609
703,estimates,1955,79.3420811844951
703,estimates,1956,80.8256945599734
703,estimates,1957,82.2420354350358
703,estimates,1958,83.5892322408917
703,estimates,1959,84.8719015138912
703,estimates,1960,86.0948469472633
703,estimates,1961,87.2602312427217
703,estimates,1962,88.3631051405756
703,estimates,1963,89.3899517551156
703,estimates,1964,90.323136749293
703,estimates,1965,91.1547995341873
703,estimates,1966,91.8774954250541
703,estimates,1967,92.5085260356014
703,estimates,1968,93.0964897687573
703,estimates,1969,93.7064756280153
703,estimates,1970,94.3861462319082
703,estimates,1971,95.1497878888704
703,estimates,1972,95.9871693561803
703,estimates,1973,96.8907003826318
703,estimates,1974,97.8437448011978
703,estimates,1975,98.830061553818
703,estimates,1976,99.8532066211945
703,estimates,1977,100.90868823823
703,estimates,1978,101.963109299617
703,estimates,1979,102.973465313592
703,estimates,1980,103.908064381966
703,estimates,1981,104.75255781068
703,estimates,1982,105.512601896523
703,estimates,1983,106.200902512061
703,estimates,1984,106.839232240892
703,estimates,1985,107.444643154217
703,estimates,1986,108.016677757445
703,estimates,1987,108.550137248378
703,estimates,1988,109.050823490268
703,estimates,1989,109.52428880386
703,estimates,1990,109.974505074031
703,estimates,1991,110.406650307769
703,estimates,1992,110.818353851273
703,estimates,1993,111.196431542173
703,estimates,1994,111.522542006322
703,estimates,1995,111.78402096157
703,estimates,1996,111.977790717019
703,estimates,1997,112.111212776576
703,estimates,1998,112.195433372151
703,estimates,1999,112.246464814507
703,estimates,2000,112.277720013309
703,estimates,2001,112.294252204292
703,estimates,2002,112.297329895192
703,estimates,2003,112.291756779238
703,estimates,2004,112.282045416736
703,estimates,2005,112.272562801531
703,estimates,2006,112.263787223424
703,estimates,2007,112.259316253535
703,estimates,2008,112.270337714191
703,estimates,2009,112.309079188155
703,estimates,2010,112.383422059557
703,estimates,2011,112.498897853934
703,estimates,2012,112.649101646981
703,estimates,2013,112.816711029779
703,estimates,2014,112.977062884711
703,constant_fertility,2015,113.111753452005
703,constant_mortality,2015,113.111753452005
703,estimates,2015,113.111753452005
703,high_variant,2015,113.111753452005
703,instant_replacement,2015,113.111753452005
703,low_variant,2015,113.111753452005
703,medium_variant,2015,113.111753452005
703,momentum,2015,113.111753452005
703,no_change,2015,113.111753452005
703,zero_migration,2015,113.111753452005
703,constant_fertility,2016,113.148477790717
703,constant_mortality,2016,113.144651472301
703,high_variant,2016,113.318873731492
703,instant_replacement,2016,113.541839960073
703,low_variant,2016,113.047558642489
703,medium_variant,2016,113.213649975046
703,momentum,2016,113.494114955914
703,no_change,2016,113.109673931126
703,zero_migration,2016,113.162431375811
703,constant_fertility,2017,113.155007486275
703,constant_mortality,2017,113.159582432208
703,high_variant,2017,113.558413741474
703,instant_replacement,2017,114.076859091665
703,low_variant,2017,112.939340375977
703,medium_variant,2017,113.285268674097
703,momentum,2017,113.960114789552
703,no_change,2017,113.065525702878
703,zero_migration,2017,113.206579604059
703,constant_fertility,2018,113.130344368657
703,constant_mortality,2018,113.151950590584
703,high_variant,2018,113.818541008152
703,instant_replacement,2018,114.670104807852
703,low_variant,2018,112.788699883547
703,medium_variant,2018,113.330061553818
703,momentum,2018,114.466083014473
703,no_change,2018,112.978560139744
703,zero_migration,2018,113.239415238729
703,constant_fertility,2019,113.073760605556
703,constant_mortality,2019,113.117243387124
703,high_variant,2019,114.088130094826
703,instant_replacement,2019,115.256737647646
703,low_variant,2019,112.597758276493
703,medium_variant,2019,113.354412743304
703,momentum,2019,114.951879886874
703,no_change,2019,112.848049409416
703,zero_migration,2019,113.256342538679
703,constant_fertility,2020,112.984278822159
703,constant_mortality,2020,113.052008817169
703,high_variant,2020,114.358613375478
703,instant_replacement,2020,115.787847279987
703,low_variant,2020,112.367347363168
703,medium_variant,2020,113.363001164532
703,momentum,2020,115.372504574946
703,no_change,2020,112.67355681251
703,zero_migration,2020,113.253743137581
703,constant_fertility,2021,112.861399933455
703,constant_mortality,2021,112.953023623357
703,high_variant,2021,114.623232407253
703,instant_replacement,2021,116.246839128265
703,low_variant,2021,112.098361337548
703,medium_variant,2021,113.355369322908
703,momentum,2021,115.711279321244
703,no_change,2021,112.454208950258
703,zero_migration,2021,113.228414573282
703,constant_fertility,2022,112.704292131093
703,constant_mortality,2022,112.818249875229
703,high_variant,2022,114.876559640659
703,instant_replacement,2022,116.640866744302
703,low_variant,2022,111.790405090667
703,medium_variant,2022,113.327129429379
703,momentum,2022,115.97485859258
703,no_change,2022,112.189922641823
703,zero_migration,2022,113.177279154883
703,constant_fertility,2023,112.512227582765
703,constant_mortality,2023,112.645670437531
703,high_variant,2023,115.114456829147
703,instant_replacement,2023,116.974047579438
703,low_variant,2023,111.442979537515
703,medium_variant,2023,113.274663117618
703,momentum,2023,116.167526201963
703,no_change,2023,111.880115621361
703,zero_migration,2023,113.098548494427
703,constant_fertility,2024,112.284686408252
703,constant_mortality,2024,112.433954416902
703,high_variant,2024,115.334657294959
703,instant_replacement,2024,117.259856928964
703,low_variant,2024,111.055564797871
703,medium_variant,2024,113.193811345866
703,momentum,2024,116.301904841125
703,no_change,2024,111.524725503244
703,zero_migration,2024,112.990454999168
703,constant_fertility,2025,112.021585426718
703,constant_mortality,2025,112.182332390617
703,high_variant,2025,115.534998336383
703,instant_replacement,2025,117.507049575778
703,low_variant,2025,110.627433039428
703,medium_variant,2025,113.08122608551
