variant,continent,year,totalpopulationannualdoubletime
estimates,908,1950,76.09
estimates,908,1951,73.63
estimates,908,1952,70.223
estimates,908,1953,68.872
estimates,908,1954,68.807
estimates,908,1955,69.476
estimates,908,1956,70.391
estimates,908,1957,71.107
estimates,908,1958,71.267
estimates,908,1959,70.788
estimates,908,1960,69.991
estimates,908,1961,69.52
estimates,908,1962,70.196
estimates,908,1963,72.808
estimates,908,1964,77.664
estimates,908,1965,84.606
estimates,908,1966,92.893
estimates,908,1967,100.976
estimates,908,1968,106.817
estimates,908,1969,109.372
estimates,908,1970,109.93
estimates,908,1971,110.547
estimates,908,1972,112.263
estimates,908,1973,115.586
estimates,908,1974,120.88
estimates,908,1975,127.492
estimates,908,1976,134.35
estimates,908,1977,141.077
estimates,908,1978,147.639
estimates,908,1979,153.786
estimates,908,1980,160.22
estimates,908,1981,167.445
estimates,908,1982,173.772
estimates,908,1983,177.021
estimates,908,1984,177.221
estimates,908,1985,175.795
estimates,908,1986,175.039
estimates,908,1987,178.013
estimates,908,1988,187.744
estimates,908,1989,206.737
estimates,908,1990,234.442
estimates,908,1991,269.539
estimates,908,1992,321.539
estimates,908,1993,419.272
estimates,908,1994,639.775
estimates,908,1995,1471.736
estimates,908,1996,-5775.065
estimates,908,1997,-1282.848
estimates,908,1998,-1049.002
estimates,908,1999,-1446.006
estimates,908,2000,-5332.172
estimates,908,2001,2911.35
estimates,908,2002,1189.246
estimates,908,2003,769.22
estimates,908,2004,591.625
estimates,908,2005,484.093
estimates,908,2006,408.164
estimates,908,2007,369.017
estimates,908,2008,369.18
estimates,908,2009,408.002
estimates,908,2010,491.012
estimates,908,2011,627.325
estimates,908,2012,819.988
estimates,908,2013,1028.661
estimates,908,2014,1161.798
estimates,908,2015,1228.531
medium_variant,908,2015,1228.531
medium_variant,908,2016,1337.686
medium_variant,908,2017,1586.206
medium_variant,908,2018,2189.607
medium_variant,908,2019,4453.119
medium_variant,908,2020,-27245.448
medium_variant,908,2021,-3402.996
medium_variant,908,2022,-1862.693
medium_variant,908,2023,-1307.466
medium_variant,908,2024,-1025.792
medium_variant,908,2025,-851.95
medium_variant,908,2026,-730.785
medium_variant,908,2027,-643.029
medium_variant,908,2028,-578.652
medium_variant,908,2029,-530.064
medium_variant,908,2030,-491.848
medium_variant,908,2031,-460.934
medium_variant,908,2032,-436.549
medium_variant,908,2033,-418.16
medium_variant,908,2034,-404.513
medium_variant,908,2035,-393.879
medium_variant,908,2036,-384.98
medium_variant,908,2037,-377.703
medium_variant,908,2038,-372.139
medium_variant,908,2039,-367.9
medium_variant,908,2040,-364.604
medium_variant,908,2041,-361.737
medium_variant,908,2042,-358.477
medium_variant,908,2043,-354.149
medium_variant,908,2044,-348.658
medium_variant,908,2045,-342.726
medium_variant,908,2046,-336.868
medium_variant,908,2047,-330.481
medium_variant,908,2048,-322.951
medium_variant,908,2049,-314.503
medium_variant,908,2050,-305.878
medium_variant,908,2051,-297.713
medium_variant,908,2052,-290.076
medium_variant,908,2053,-282.905
medium_variant,908,2054,-276.298
medium_variant,908,2055,-270.299
medium_variant,908,2056,-264.976
medium_variant,908,2057,-260.493
medium_variant,908,2058,-256.994
medium_variant,908,2059,-254.51
medium_variant,908,2060,-252.826
medium_variant,908,2061,-251.861
medium_variant,908,2062,-252.085
medium_variant,908,2063,-254.008
medium_variant,908,2064,-257.71
medium_variant,908,2065,-262.838
medium_variant,908,2066,-268.99
medium_variant,908,2067,-276.223
medium_variant,908,2068,-284.765
medium_variant,908,2069,-294.682
medium_variant,908,2070,-306.083
medium_variant,908,2071,-319.062
medium_variant,908,2072,-333.586
medium_variant,908,2073,-349.583
medium_variant,908,2074,-367.078
medium_variant,908,2075,-386.276
medium_variant,908,2076,-407.423
medium_variant,908,2077,-430.523
medium_variant,908,2078,-455.429
medium_variant,908,2079,-482.006
medium_variant,908,2080,-510.399
medium_variant,908,2081,-540.488
medium_variant,908,2082,-570.795
medium_variant,908,2083,-599.186
medium_variant,908,2084,-624.36
medium_variant,908,2085,-646.816
medium_variant,908,2086,-667.375
medium_variant,908,2087,-684.706
medium_variant,908,2088,-696.934
medium_variant,908,2089,-703.811
medium_variant,908,2090,-706.194
medium_variant,908,2091,-705.312
medium_variant,908,2092,-702.27
medium_variant,908,2093,-697.829
medium_variant,908,2094,-692.348
medium_variant,908,2095,-685.957
medium_variant,908,2096,-678.699
medium_variant,908,2097,-670.571
medium_variant,908,2098,-661.571
medium_variant,908,2099,-651.733
