variant,continent,year,totalpopulationannualdoubletime
Estimates,909,1950,27.716
Estimates,909,1951,29.08
Estimates,909,1952,31.423
Estimates,909,1953,32.62
Estimates,909,1954,32.867
Estimates,909,1955,32.559
Estimates,909,1956,32.113
Estimates,909,1957,31.853
Estimates,909,1958,31.994
Estimates,909,1959,32.602
Estimates,909,1960,33.536
Estimates,909,1961,34.414
Estimates,909,1962,34.659
Estimates,909,1963,33.841
Estimates,909,1964,32.232
Estimates,909,1965,30.434
Estimates,909,1966,29.01
Estimates,909,1967,28.413
Estimates,909,1968,28.901
Estimates,909,1969,30.502
Estimates,909,1970,32.855
Estimates,909,1971,35.443
Estimates,909,1972,38.167
Estimates,909,1973,41.128
Estimates,909,1974,44.19
Estimates,909,1975,47.574
Estimates,909,1976,51.331
Estimates,909,1977,54.128
Estimates,909,1978,54.28
Estimates,909,1979,51.905
Estimates,909,1980,48.57
Estimates,909,1981,45.634
Estimates,909,1982,43.565
Estimates,909,1983,42.428
Estimates,909,1984,42.127
Estimates,909,1985,42.213
Estimates,909,1986,42.293
Estimates,909,1987,42.441
Estimates,909,1988,42.835
Estimates,909,1989,43.457
Estimates,909,1990,44.205
Estimates,909,1991,44.998
Estimates,909,1992,45.912
Estimates,909,1993,47.044
Estimates,909,1994,48.359
Estimates,909,1995,49.743
Estimates,909,1996,51.018
Estimates,909,1997,51.948
Estimates,909,1998,52.338
Estimates,909,1999,52.137
Estimates,909,2000,51.733
Estimates,909,2001,51.314
Estimates,909,2002,50.29
Estimates,909,2003,48.222
Estimates,909,2004,45.501
Estimates,909,2005,42.707
Estimates,909,2006,40.38
Estimates,909,2007,39
Estimates,909,2008,38.8
Estimates,909,2009,39.69
Estimates,909,2010,41.248
Estimates,909,2011,42.956
Estimates,909,2012,44.541
Estimates,909,2013,45.873
Estimates,909,2014,46.862
Estimates,909,2015,47.716
Medium_variant,909,2015,47.716
Medium_variant,909,2016,48.691
Medium_variant,909,2017,49.801
Medium_variant,909,2018,50.98
Medium_variant,909,2019,52.228
Medium_variant,909,2020,53.531
Medium_variant,909,2021,54.855
Medium_variant,909,2022,56.136
Medium_variant,909,2023,57.316
Medium_variant,909,2024,58.388
Medium_variant,909,2025,59.395
Medium_variant,909,2026,60.405
Medium_variant,909,2027,61.481
Medium_variant,909,2028,62.67
Medium_variant,909,2029,63.982
Medium_variant,909,2030,65.369
Medium_variant,909,2031,66.766
Medium_variant,909,2032,68.152
Medium_variant,909,2033,69.524
Medium_variant,909,2034,70.872
Medium_variant,909,2035,72.212
Medium_variant,909,2036,73.56
Medium_variant,909,2037,74.892
Medium_variant,909,2038,76.181
Medium_variant,909,2039,77.422
Medium_variant,909,2040,78.645
Medium_variant,909,2041,79.876
Medium_variant,909,2042,81.086
Medium_variant,909,2043,82.237
Medium_variant,909,2044,83.341
Medium_variant,909,2045,84.418
Medium_variant,909,2046,85.515
Medium_variant,909,2047,86.731
Medium_variant,909,2048,88.155
Medium_variant,909,2049,89.806
Medium_variant,909,2050,91.616
Medium_variant,909,2051,93.492
Medium_variant,909,2052,95.4
Medium_variant,909,2053,97.327
Medium_variant,909,2054,99.262
Medium_variant,909,2055,101.237
Medium_variant,909,2056,103.284
Medium_variant,909,2057,105.403
Medium_variant,909,2058,107.577
Medium_variant,909,2059,109.807
Medium_variant,909,2060,112.102
Medium_variant,909,2061,114.463
Medium_variant,909,2062,116.875
Medium_variant,909,2063,119.317
Medium_variant,909,2064,121.789
Medium_variant,909,2065,124.308
Medium_variant,909,2066,126.9
Medium_variant,909,2067,129.601
Medium_variant,909,2068,132.442
Medium_variant,909,2069,135.439
Medium_variant,909,2070,138.585
Medium_variant,909,2071,141.86
Medium_variant,909,2072,145.209
Medium_variant,909,2073,148.582
Medium_variant,909,2074,151.981
Medium_variant,909,2075,155.428
Medium_variant,909,2076,159.006
Medium_variant,909,2077,162.899
Medium_variant,909,2078,167.293
Medium_variant,909,2079,172.244
Medium_variant,909,2080,177.65
Medium_variant,909,2081,183.315
Medium_variant,909,2082,189.034
Medium_variant,909,2083,194.62
Medium_variant,909,2084,199.999
Medium_variant,909,2085,205.356
Medium_variant,909,2086,210.915
Medium_variant,909,2087,216.661
Medium_variant,909,2088,222.502
Medium_variant,909,2089,228.464
Medium_variant,909,2090,234.617
Medium_variant,909,2091,241.048
Medium_variant,909,2092,247.848
Medium_variant,909,2093,255.109
Medium_variant,909,2094,262.915
Medium_variant,909,2095,271.374
Medium_variant,909,2096,280.592
Medium_variant,909,2097,290.684
Medium_variant,909,2098,301.81
Medium_variant,909,2099,314.166
