region,variant,freq,year,under5mortalityper1000livebirth
927,estimates,5yearly,1950,30.6050587364916
927,estimates,5yearly,1955,27.0104258091721
927,estimates,5yearly,1960,23.8630708985119
927,estimates,5yearly,1965,21.8829725264984
927,estimates,5yearly,1970,19.7260984777013
927,estimates,5yearly,1975,15.1443917396728
927,estimates,5yearly,1980,12.4821245895263
927,estimates,5yearly,1985,10.831590448415
927,estimates,5yearly,1990,8.1809772893118
927,estimates,5yearly,1995,6.95254483840321
927,estimates,5yearly,2000,6.10509272141436
927,estimates,5yearly,2005,5.39714289071672
927,estimates,5yearly,2010,4.7009924722062
927,medium_variant,5yearly,2015,3.95403634045865
927,medium_variant,5yearly,2020,3.47990314067133
927,medium_variant,5yearly,2025,3.11080653165675
927,medium_variant,5yearly,2030,2.79172382831081
927,medium_variant,5yearly,2035,2.51901211545677
927,medium_variant,5yearly,2040,2.27060995708716
927,medium_variant,5yearly,2045,2.05051795008322
927,medium_variant,5yearly,2050,1.84788916515915
927,medium_variant,5yearly,2055,1.66081290097918
927,medium_variant,5yearly,2060,1.49302774992851
927,medium_variant,5yearly,2065,1.33507014839614
927,medium_variant,5yearly,2070,1.188094902823
927,medium_variant,5yearly,2075,1.05436758035424
927,medium_variant,5yearly,2080,0.927211762785919
927,medium_variant,5yearly,2085,0.81369167044597
927,medium_variant,5yearly,2090,0.711620951107728
927,medium_variant,5yearly,2095,0.611239017955252
