region,variant,freq,year,under5mortalityper1000livebirth
915,estimates,5yearly,1950,184.770573255721
915,estimates,5yearly,1955,161.366609066497
915,estimates,5yearly,1960,133.620555985483
915,estimates,5yearly,1965,114.842317262769
915,estimates,5yearly,1970,100.068317740001
915,estimates,5yearly,1975,92.5312070578449
915,estimates,5yearly,1980,86.0528693317803
915,estimates,5yearly,1985,72.0531535506479
915,estimates,5yearly,1990,62.0380237837544
915,estimates,5yearly,1995,54.1008916451082
915,estimates,5yearly,2000,47.2807550533791
915,estimates,5yearly,2005,43.969174108123
915,estimates,5yearly,2010,39.2343748941715
915,medium_variant,5yearly,2015,35.2582305338041
915,medium_variant,5yearly,2020,31.7658745752001
915,medium_variant,5yearly,2025,28.7181105900446
915,medium_variant,5yearly,2030,25.921785476638
915,medium_variant,5yearly,2035,23.336354843424
915,medium_variant,5yearly,2040,21.0531309364124
915,medium_variant,5yearly,2045,19.0647553393232
915,medium_variant,5yearly,2050,17.2321728894056
915,medium_variant,5yearly,2055,15.6856240687112
915,medium_variant,5yearly,2060,14.2654629227633
915,medium_variant,5yearly,2065,13.0082254071161
915,medium_variant,5yearly,2070,11.8469328088743
915,medium_variant,5yearly,2075,10.9101968744274
915,medium_variant,5yearly,2080,10.0566567884285
915,medium_variant,5yearly,2085,9.29792404713072
915,medium_variant,5yearly,2090,8.58704356213268
915,medium_variant,5yearly,2095,7.9552607859845
915,estimates,5yearly,Regi,Caribbean
915,medium_variant,5yearly,Regi,Caribbean
