variant,global,year,childdependencyratio1564
no_change,900,2050,43.6497739032124
high_variant,900,2055,41.4587470259289
low_variant,900,2055,26.1891571474824
constant_fertility,900,2055,47.0045958159904
instant_replacement,900,2055,31.5080312739343
zero_migration,900,2055,33.7816274966956
constant_mortality,900,2055,32.9665686132569
no_change,900,2055,45.4385712896096
high_variant,900,2060,41.3783839090218
low_variant,900,2060,25.2594565773199
constant_fertility,900,2060,48.995642034838
instant_replacement,900,2060,31.3293930330027
zero_migration,900,2060,33.2441968027842
constant_mortality,900,2060,32.3501519049396
no_change,900,2060,47.0712080166731
high_variant,900,2065,40.6788507172566
low_variant,900,2065,24.4836214039063
constant_fertility,900,2065,50.8630572606759
instant_replacement,900,2065,31.0517150599001
zero_migration,900,2065,32.545795506909
constant_mortality,900,2065,31.603416224585
no_change,900,2065,48.5733351682969
high_variant,900,2070,39.8201913228461
low_variant,900,2070,24.0769476107812
constant_fertility,900,2070,52.8376464202581
instant_replacement,900,2070,30.8252509229039
zero_migration,900,2070,31.9664142466078
constant_mortality,900,2070,31.0031538026945
no_change,900,2070,50.1697426003745
high_variant,900,2075,39.1542937642374
low_variant,900,2075,23.9772190893911
constant_fertility,900,2075,54.954922042326
instant_replacement,900,2075,30.7970680122001
zero_migration,900,2075,31.5919591742516
constant_mortality,900,2075,30.6318401776924
no_change,900,2075,51.8907387654403
high_variant,900,2080,38.7121672876637
low_variant,900,2080,23.9987260074077
constant_fertility,900,2080,57.1332429208887
instant_replacement,900,2080,30.9500695842687
zero_migration,900,2080,31.3328532723263
constant_mortality,900,2080,30.392723269167
no_change,900,2080,53.661470925719
high_variant,900,2085,38.522710220658
low_variant,900,2085,23.678929144131
constant_fertility,900,2085,59.3396614053062
instant_replacement,900,2085,30.9324932451876
zero_migration,900,2085,31.0231914654584
constant_mortality,900,2085,30.1075608634397
no_change,900,2085,55.4410730600406
high_variant,900,2090,38.2605632304228
low_variant,900,2090,23.1349691177418
constant_fertility,900,2090,61.4759846992917
instant_replacement,900,2090,30.8734134523023
zero_migration,900,2090,30.6046656206939
constant_mortality,900,2090,29.7190121051542
no_change,900,2090,57.1584192108409
high_variant,900,2095,37.8548586904414
low_variant,900,2095,22.5477693696522
constant_fertility,900,2095,63.5418477411737
instant_replacement,900,2095,30.7630049522957
zero_migration,900,2095,30.1369292882874
constant_mortality,900,2095,29.2923500306002
no_change,900,2095,58.8285269326992
high_variant,900,2100,37.3376754762572
low_variant,900,2100,22.135462790125
constant_fertility,900,2100,65.5556559079836
instant_replacement,900,2100,30.6435019464639
zero_migration,900,2100,29.7114975770176
constant_mortality,900,2100,28.9246050950967
no_change,900,2100,60.4782238965499
