region,year,variant,agebroad,sexratio_maleper100female
927,1950,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1950,estimates,total,101.469929011596
927,1950,estimates,0_1,105.188679245283
927,1950,estimates,0_4,104.900835149405
927,1950,estimates,0_14,104.13974615399
927,1950,estimates,0_17,104.12725860521
927,1950,estimates,0_19,104.182960038022
927,1950,estimates,0_24,104.380419664935
927,1950,estimates,3_4,104.572939168861
927,1950,estimates,3_5,104.468280661354
927,1950,estimates,3_6,104.366105829485
927,1950,estimates,4_5,104.355140960999
927,1950,estimates,4_6,104.25143398039
927,1950,estimates,5_10,103.781192325344
927,1950,estimates,5_11,103.708883361372
927,1950,estimates,5_14,103.613099763808
927,1950,estimates,6_9,103.752205043063
927,1950,estimates,6_10,103.675851659781
927,1950,estimates,6_11,103.605473602086
927,1950,estimates,6_12,103.55182989603
927,1950,estimates,7_10,103.577721857089
927,1950,estimates,7_12,103.460278503975
927,1950,estimates,11_16,103.502298601584
927,1950,estimates,11_17,103.613176145973
927,1950,estimates,11_18,103.739915954896
927,1950,estimates,12_14,103.346834159801
927,1950,estimates,12_16,103.56519118985
927,1950,estimates,12_17,103.685941857984
927,1950,estimates,12_18,103.822034290913
927,1950,estimates,13_17,103.792166999313
927,1950,estimates,13_18,103.934667611932
927,1950,estimates,13_19,104.086064247942
927,1950,estimates,15plus,100.496583991715
927,1950,estimates,15_17,104.04313618826
927,1950,estimates,15_24,104.830861763269
927,1950,estimates,15_49,104.469459669521
927,1950,estimates,15_59,103.070749020844
927,1950,estimates,15_64,102.59289002556
927,1950,estimates,16plus,100.435363632754
927,1950,estimates,17plus,100.368492934885
927,1950,estimates,18plus,100.29366595109
927,1950,estimates,18_23,105.192369704773
927,1950,estimates,20plus,100.108425215253
927,1950,estimates,20_64,102.387785865293
927,1950,estimates,20_69,101.807708530969
927,1950,estimates,21plus,99.9956152656213
927,1950,estimates,25plus,99.4480461225443
927,1950,estimates,25_49,104.322581856008
927,1950,estimates,25_64,101.953659298958
927,1950,estimates,25_69,101.319729060267
927,1950,estimates,50plus,92.2791574555714
927,1950,estimates,60plus,89.0610001973156
927,1950,estimates,65plus,85.5810835921531
927,1950,estimates,70plus,81.3792108490226
927,1950,estimates,75plus,77.6868215813035
927,1950,estimates,80plus,72.1611101709257
927,1950,estimates,85plus,69.2252347773402
927,1950,estimates,90plus,68.8045007032349
927,1955,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1955,estimates,total,102.245782574212
927,1955,estimates,0_1,104.773669851084
927,1955,estimates,0_4,104.733874557169
927,1955,estimates,0_14,104.59892110909
927,1955,estimates,0_17,104.539985389541
927,1955,estimates,0_19,104.59225459809
927,1955,estimates,0_24,105.149249963191
927,1955,estimates,3_4,104.695081228526
927,1955,estimates,3_5,104.679938496399
927,1955,estimates,3_6,104.664407610027
927,1955,estimates,4_5,104.66473842854
927,1955,estimates,4_6,104.648871176123
927,1955,estimates,5_10,104.570619420638
927,1955,estimates,5_11,104.564065997239
927,1955,estimates,5_14,104.518599327073
927,1955,estimates,6_9,104.566166487714
927,1955,estimates,6_10,104.55321095588
927,1955,estimates,6_11,104.547956419746
927,1955,estimates,6_12,104.54175666192
927,1955,estimates,7_10,104.535851783902
927,1955,estimates,7_12,104.527344163081
927,1955,estimates,11_16,104.316541070828
927,1955,estimates,11_17,104.300815630298
927,1955,estimates,11_18,104.357226979415
927,1955,estimates,12_14,104.382286386499
927,1955,estimates,12_16,104.270650306331
927,1955,estimates,12_17,104.258889415059
927,1955,estimates,12_18,104.330247936846
927,1955,estimates,13_17,104.205621607455
927,1955,estimates,13_18,104.298707638002
927,1955,estimates,13_19,104.488333333333
927,1955,estimates,15plus,101.280666051907
927,1955,estimates,15_17,104.121504314265
927,1955,estimates,15_24,106.388141649078
927,1955,estimates,15_49,106.289064937154
927,1955,estimates,15_59,105.425515984926
927,1955,estimates,15_64,104.325081870347
927,1955,estimates,16plus,101.222544359064
927,1955,estimates,17plus,101.16643827895
927,1955,estimates,18plus,101.10651725674
927,1955,estimates,18_23,107.020366323313
927,1955,estimates,20plus,100.941123679764
927,1955,estimates,20_64,104.29619041761
927,1955,estimates,20_69,103.331222787545
927,1955,estimates,21plus,100.828775764205
927,1955,estimates,25plus,100.142844015748
927,1955,estimates,25_49,106.251963069497
927,1955,estimates,25_64,103.775430920736
927,1955,estimates,25_69,102.730462626855
927,1955,estimates,50plus,91.171447970838
927,1955,estimates,60plus,84.0985478533344
927,1955,estimates,65plus,81.6029728173297
927,1955,estimates,70plus,77.2298308205777
927,1955,estimates,75plus,72.4519391043449
927,1955,estimates,80plus,67.3932711678348
927,1955,estimates,85plus,61.7229222660477
927,1955,estimates,90plus,58.0818242790074
927,1960,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1960,estimates,total,101.888894664187
927,1960,estimates,0_1,105.526473440977
927,1960,estimates,0_4,105.011374330322
927,1960,estimates,0_14,104.739600370626
927,1960,estimates,0_17,104.787284823874
927,1960,estimates,0_19,104.817425736539
927,1960,estimates,0_24,104.951057842838
927,1960,estimates,3_4,104.511526597032
927,1960,estimates,3_5,104.438682005294
927,1960,estimates,3_6,104.391901084079
927,1960,estimates,4_5,104.350332214268
927,1960,estimates,4_6,104.31671566492
927,1960,estimates,5_10,104.366979836535
927,1960,estimates,5_11,104.429427887435
927,1960,estimates,5_14,104.589733615333
927,1960,estimates,6_9,104.32724315403
927,1960,estimates,6_10,104.382668270153
927,1960,estimates,6_11,104.453176337342
927,1960,estimates,6_12,104.52414994759
927,1960,estimates,7_10,104.416715625432
927,1960,estimates,7_12,104.571077326999
927,1960,estimates,11_16,104.982972420243
927,1960,estimates,11_17,105.00430737875
927,1960,estimates,11_18,105.023212868244
927,1960,estimates,12_14,104.994269720512
927,1960,estimates,12_16,105.021911902633
927,1960,estimates,12_17,105.041813987312
927,1960,estimates,12_18,105.059406513633
927,1960,estimates,13_17,105.060535218027
927,1960,estimates,13_18,105.078945887897
927,1960,estimates,13_19,105.095183147103
927,1960,estimates,15plus,100.651490003574
927,1960,estimates,15_17,105.098594842943
927,1960,estimates,15_24,105.41587977217
927,1960,estimates,15_49,105.69314670948
927,1960,estimates,15_59,105.625464266619
927,1960,estimates,15_64,104.613728365621
927,1960,estimates,16plus,100.545572056819
927,1960,estimates,17plus,100.440099592029
927,1960,estimates,18plus,100.334751748035
927,1960,estimates,18_23,105.391483585744
927,1960,estimates,20plus,100.119397701518
927,1960,estimates,20_64,104.540176836378
927,1960,estimates,20_69,103.09281811305
927,1960,estimates,21plus,100.007735916711
927,1960,estimates,25plus,99.4791853638551
927,1960,estimates,25_49,105.810339781545
927,1960,estimates,25_64,104.374325906978
927,1960,estimates,25_69,102.753052473854
927,1960,estimates,50plus,90.6588701187482
927,1960,estimates,60plus,80.5241634915616
927,1960,estimates,65plus,76.4907503128129
927,1960,estimates,70plus,73.6285433310353
927,1960,estimates,75plus,68.2843412936825
927,1960,estimates,80plus,62.4218322520128
927,1960,estimates,85plus,56.9295287750418
927,1960,estimates,90plus,50.0116986429574
927,1965,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1965,estimates,total,101.298240110966
927,1965,estimates,0_1,105.450916361918
927,1965,estimates,0_4,105.173630954382
927,1965,estimates,0_14,104.910415439933
927,1965,estimates,0_17,104.929402209586
927,1965,estimates,0_19,104.955089775554
927,1965,estimates,0_24,105.039973204653
927,1965,estimates,3_4,104.920717895104
927,1965,estimates,3_5,104.873573495957
927,1965,estimates,3_6,104.836367013048
927,1965,estimates,4_5,104.82048267803
927,1965,estimates,4_6,104.788327456792
927,1965,estimates,5_10,104.718331889499
927,1965,estimates,5_11,104.726785812677
927,1965,estimates,5_14,104.770812454823
927,1965,estimates,6_9,104.700160906409
927,1965,estimates,6_10,104.705849892029
927,1965,estimates,6_11,104.717766343826
927,1965,estimates,6_12,104.733651666609
927,1965,estimates,7_10,104.701348958819
927,1965,estimates,7_12,104.735467541273
927,1965,estimates,11_16,104.904404355599
927,1965,estimates,11_17,104.930591207884
927,1965,estimates,11_18,104.959543910091
927,1965,estimates,12_14,104.881045343329
927,1965,estimates,12_16,104.929787074054
927,1965,estimates,12_17,104.956306418436
927,1965,estimates,12_18,104.986048301742
927,1965,estimates,13_17,104.980940720045
927,1965,estimates,13_18,105.011831983189
927,1965,estimates,13_19,105.046131452761
927,1965,estimates,15plus,99.7764967143238
927,1965,estimates,15_17,105.032578015775
927,1965,estimates,15_24,105.282218756978
927,1965,estimates,15_49,105.263060304573
927,1965,estimates,15_59,104.855240331282
927,1965,estimates,15_64,104.374392690296
927,1965,estimates,16plus,99.6375549509906
927,1965,estimates,17plus,99.4899148930571
927,1965,estimates,18plus,99.334770042638
927,1965,estimates,18_23,105.416578232952
927,1965,estimates,20plus,99.0129020884353
927,1965,estimates,20_64,104.249445876051
927,1965,estimates,20_69,102.928518814222
927,1965,estimates,21plus,98.8484958519037
927,1965,estimates,25plus,98.1752195742118
927,1965,estimates,25_49,105.253169895133
927,1965,estimates,25_64,104.051344876736
927,1965,estimates,25_69,102.550421346543
927,1965,estimates,50plus,89.0425378192211
927,1965,estimates,60plus,78.9021563516962
927,1965,estimates,65plus,71.8864696464387
927,1965,estimates,70plus,66.3700721912117
927,1965,estimates,75plus,62.6754312764569
927,1965,estimates,80plus,57.0481034455269
927,1965,estimates,85plus,50.9997134228336
927,1965,estimates,90plus,44.5502740587654
927,1970,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1970,estimates,total,100.871731360114
927,1970,estimates,0_1,103.967643293512
927,1970,estimates,0_4,104.432613753466
927,1970,estimates,0_14,104.726155976216
927,1970,estimates,0_17,104.582916994158
927,1970,estimates,0_19,104.505206464539
927,1970,estimates,0_24,104.494183982527
927,1970,estimates,3_4,104.859497217832
927,1970,estimates,3_5,104.930519177679
927,1970,estimates,3_6,104.981403532584
927,1970,estimates,4_5,105.01208649293
927,1970,estimates,4_6,105.052566617443
927,1970,estimates,5_10,105.072409797174
927,1970,estimates,5_11,105.038030749143
927,1970,estimates,5_14,104.8723528089
927,1970,estimates,6_9,105.105398491352
927,1970,estimates,6_10,105.072495159332
927,1970,estimates,6_11,105.032419268807
927,1970,estimates,6_12,104.983078582668
927,1970,estimates,7_10,105.057412856218
927,1970,estimates,7_12,104.958203635863
927,1970,estimates,11_16,104.350758621951
927,1970,estimates,11_17,104.251537379192
927,1970,estimates,11_18,104.180245730602
927,1970,estimates,12_14,104.476202651451
927,1970,estimates,12_16,104.248431677686
927,1970,estimates,12_17,104.147276563953
927,1970,estimates,12_18,104.07892882883
927,1970,estimates,13_17,104.030462132492
927,1970,estimates,13_18,103.968212117363
927,1970,estimates,13_19,103.946995018787
927,1970,estimates,15plus,99.2934846273883
927,1970,estimates,15_17,103.787899208261
927,1970,estimates,15_24,104.103067996144
927,1970,estimates,15_49,105.179403723051
927,1970,estimates,15_59,104.119480607862
927,1970,estimates,15_64,103.469620483204
927,1970,estimates,16plus,99.1706961756128
927,1970,estimates,17plus,99.0528347793924
927,1970,estimates,18plus,98.9355072354865
927,1970,estimates,18_23,104.10039323231
927,1970,estimates,20plus,98.6718504993739
927,1970,estimates,20_64,103.421196946511
927,1970,estimates,20_69,102.682318423348
927,1970,estimates,21plus,98.5188080551927
927,1970,estimates,25plus,97.7508141187617
927,1970,estimates,25_49,105.794150621642
927,1970,estimates,25_64,103.222132581202
927,1970,estimates,25_69,102.362728045114
927,1970,estimates,50plus,87.4476634251756
927,1970,estimates,60plus,79.0433482248532
927,1970,estimates,65plus,72.6628126396085
927,1970,estimates,70plus,63.8800730766089
927,1970,estimates,75plus,57.703444664065
927,1970,estimates,80plus,53.6532185074463
927,1970,estimates,85plus,46.2920338068693
927,1970,estimates,90plus,40.1334074485825
927,1975,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1975,estimates,total,100.340086298438
927,1975,estimates,0_1,104.501379332213
927,1975,estimates,0_4,104.289913555145
927,1975,estimates,0_14,104.879978131765
927,1975,estimates,0_17,104.814562314983
927,1975,estimates,0_19,104.698063574784
927,1975,estimates,0_24,104.345552898839
927,1975,estimates,3_4,104.13341728526
927,1975,estimates,3_5,104.187676588439
927,1975,estimates,3_6,104.264617039216
927,1975,estimates,4_5,104.228050626175
927,1975,estimates,4_6,104.317326489089
927,1975,estimates,5_10,104.871224039932
927,1975,estimates,5_11,105.000074822017
927,1975,estimates,5_14,105.175439109747
927,1975,estimates,6_9,104.860131747189
927,1975,estimates,6_10,104.984400797861
927,1975,estimates,6_11,105.115044151492
927,1975,estimates,6_12,105.220811512973
927,1975,estimates,7_10,105.104641890744
927,1975,estimates,7_12,105.338756461571
927,1975,estimates,11_16,105.308786316197
927,1975,estimates,11_17,105.140227080532
927,1975,estimates,11_18,104.973102658525
927,1975,estimates,12_14,105.57525614918
927,1975,estimates,12_16,105.219353764802
927,1975,estimates,12_17,105.036848798376
927,1975,estimates,12_18,104.859664625318
927,1975,estimates,13_17,104.872696603768
927,1975,estimates,13_18,104.691703045336
927,1975,estimates,13_19,104.521235306903
927,1975,estimates,15plus,98.6316698270938
927,1975,estimates,15_17,104.483829565415
927,1975,estimates,15_24,103.495877843668
927,1975,estimates,15_49,104.60249359594
927,1975,estimates,15_59,103.707457434525
927,1975,estimates,15_64,102.95439923044
927,1975,estimates,16plus,98.4714110883686
927,1975,estimates,17plus,98.3144126052473
927,1975,estimates,18plus,98.1610597965555
927,1975,estimates,18_23,103.077705368363
927,1975,estimates,20plus,97.8632615972437
927,1975,estimates,20_64,102.757673717214
927,1975,estimates,20_69,101.905125933374
927,1975,estimates,21plus,97.7188586792844
927,1975,estimates,25plus,97.1233471200581
927,1975,estimates,25_49,105.216444980938
927,1975,estimates,25_64,102.748687708854
927,1975,estimates,25_69,101.751508500068
927,1975,estimates,50plus,86.8683269024335
927,1975,estimates,60plus,78.25972888105
927,1975,estimates,65plus,72.1403412544115
927,1975,estimates,70plus,63.6836502382057
927,1975,estimates,75plus,54.1364648595817
927,1975,estimates,80plus,47.0050744210752
927,1975,estimates,85plus,43.0485433966814
927,1975,estimates,90plus,35.4805392476625
927,1980,estimates,"Region, subregion, country or area *",Australia/New Zealand
927,1980,estimates,total,99.5130377731784
927,1980,estimates,0_1,105.112505058681
927,1980,estimates,0_4,104.614587671574
927,1980,estimates,0_14,104.401492487142
927,1980,estimates,0_17,104.399086471986
927,1980,estimates,0_19,104.360456174667
927,1980,estimates,0_24,104.11135721499
927,1980,estimates,3_4,104.240734956611
927,1980,estimates,3_5,104.198236410314
927,1980,estimates,3_6,104.173811050311
927,1980,estimates,4_5,104.147044468189
