region,year,variant,agebroad,sexratio_maleper100female
906,1960,estimates,7_10,105.865392476163
906,1960,estimates,7_12,105.854820309736
906,1960,estimates,11_16,107.320406087171
906,1960,estimates,11_17,107.77783707491
906,1960,estimates,11_18,108.194348791359
906,1960,estimates,12_14,106.713807484412
906,1960,estimates,12_16,107.696173226865
906,1960,estimates,12_17,108.190665236907
906,1960,estimates,12_18,108.628680100188
906,1960,estimates,13_17,108.715877969513
906,1960,estimates,13_18,109.161109670138
906,1960,estimates,13_19,109.519641277451
906,1960,estimates,15plus,103.853903222396
906,1960,estimates,15_17,109.905846510765
906,1960,estimates,15_24,111.302617407302
906,1960,estimates,15_49,108.662293489794
906,1960,estimates,15_59,107.037355369461
906,1960,estimates,15_64,106.323037245472
906,1960,estimates,16plus,103.706632771785
906,1960,estimates,17plus,103.522938858259
906,1960,estimates,18plus,103.305898157245
906,1960,estimates,18_23,112.083639742452
906,1960,estimates,20plus,102.800219908655
906,1960,estimates,20_64,105.590226313766
906,1960,estimates,20_69,104.729727783656
906,1960,estimates,21plus,102.51448011301
906,1960,estimates,25plus,101.213187734424
906,1960,estimates,25_49,107.260187087342
906,1960,estimates,25_64,104.359019686238
906,1960,estimates,25_69,103.40167122412
906,1960,estimates,50plus,89.0682337962016
906,1960,estimates,60plus,80.2345631054431
906,1960,estimates,65plus,73.258076867877
906,1960,estimates,70plus,63.71348276575
906,1960,estimates,75plus,52.4234985588265
906,1960,estimates,80plus,43.3071666355376
906,1960,estimates,85plus,36.3458927821787
906,1960,estimates,90plus,29.2655586775871
906,1965,estimates,"Region, subregion, country or area *",Eastern Asia
906,1965,estimates,total,104.392258172981
906,1965,estimates,0_1,106.650334740241
906,1965,estimates,0_4,106.488009275535
906,1965,estimates,0_14,106.039765427066
906,1965,estimates,0_17,105.954242919343
906,1965,estimates,0_19,105.997728428646
906,1965,estimates,0_24,106.526334748285
906,1965,estimates,3_4,106.280773468325
906,1965,estimates,3_5,106.21495792459
906,1965,estimates,3_6,106.152307602438
906,1965,estimates,4_5,106.142965503945
906,1965,estimates,4_6,106.080806179616
906,1965,estimates,5_10,105.839770618959
906,1965,estimates,5_11,105.822572898487
906,1965,estimates,5_14,105.765116511356
906,1965,estimates,6_9,105.818604508752
906,1965,estimates,6_10,105.792328536037
906,1965,estimates,6_11,105.780540430506
906,1965,estimates,6_12,105.771646405971
906,1965,estimates,7_10,105.752946929298
906,1965,estimates,7_12,105.742548510971
906,1965,estimates,11_16,105.571599424232
906,1965,estimates,11_17,105.558237331408
906,1965,estimates,11_18,105.611009087793
906,1965,estimates,12_14,105.631758101764
906,1965,estimates,12_16,105.537680530933
906,1965,estimates,12_17,105.526538651626
906,1965,estimates,12_18,105.591888523723
906,1965,estimates,13_17,105.480522380693
906,1965,estimates,13_18,105.565642052004
906,1965,estimates,13_19,105.74397260133
906,1965,estimates,15plus,103.335364589435
906,1965,estimates,15_17,105.398991027453
906,1965,estimates,15_24,107.655789669647
906,1965,estimates,15_49,108.323646094424
906,1965,estimates,15_59,106.677884494315
906,1965,estimates,15_64,105.708098625349
906,1965,estimates,16plus,103.258797441665
906,1965,estimates,17plus,103.186480056709
906,1965,estimates,18plus,103.109104318924
906,1965,estimates,18_23,108.517595146188
906,1965,estimates,20plus,102.877246115528
906,1965,estimates,20_64,105.684716710262
906,1965,estimates,20_69,104.814714031405
906,1965,estimates,21plus,102.709661810833
906,1965,estimates,25plus,101.685359049842
906,1965,estimates,25_49,108.708983148926
906,1965,estimates,25_64,104.881678244543
906,1965,estimates,25_69,103.895145674743
906,1965,estimates,50plus,87.9343449163008
906,1965,estimates,60plus,78.4967715155251
906,1965,estimates,65plus,72.8949782534287
906,1965,estimates,70plus,64.3673228289682
906,1965,estimates,75plus,53.8633684194226
906,1965,estimates,80plus,43.3364586161248
906,1965,estimates,85plus,35.7852832641998
906,1965,estimates,90plus,30.9366641632739
906,1970,estimates,"Region, subregion, country or area *",Eastern Asia
906,1970,estimates,total,104.176059702267
906,1970,estimates,0_1,104.241878192818
906,1970,estimates,0_4,104.701988534524
906,1970,estimates,0_14,105.291469554304
906,1970,estimates,0_17,105.329004109874
906,1970,estimates,0_19,105.333095882362
906,1970,estimates,0_24,105.370837937043
906,1970,estimates,3_4,105.164692984456
906,1970,estimates,3_5,105.261181598215
906,1970,estimates,3_6,105.342686996696
906,1970,estimates,4_5,105.371625850624
906,1970,estimates,4_6,105.447135259464
906,1970,estimates,5_10,105.68459089342
906,1970,estimates,5_11,105.693061149397
906,1970,estimates,5_14,105.681130865036
906,1970,estimates,6_9,105.72064208346
906,1970,estimates,6_10,105.734507527539
906,1970,estimates,6_11,105.737287863354
906,1970,estimates,6_12,105.732162015285
906,1970,estimates,7_10,105.769893183427
906,1970,estimates,7_12,105.75638134804
906,1970,estimates,11_16,105.635800834336
906,1970,estimates,11_17,105.61820240582
906,1970,estimates,11_18,105.594495592816
906,1970,estimates,12_14,105.648253892606
906,1970,estimates,12_16,105.612477446632
906,1970,estimates,12_17,105.596073192445
906,1970,estimates,12_18,105.572229099214
906,1970,estimates,13_17,105.577221266244
906,1970,estimates,13_18,105.55277197874
906,1970,estimates,13_19,105.521602142909
906,1970,estimates,15plus,103.477928135182
906,1970,estimates,15_17,105.547403694057
906,1970,estimates,15_24,105.531608585802
906,1970,estimates,15_49,107.859313974334
906,1970,estimates,15_59,106.866115769304
906,1970,estimates,15_64,106.000450398095
906,1970,estimates,16plus,103.401926208417
906,1970,estimates,17plus,103.318034333684
906,1970,estimates,18plus,103.228487422719
906,1970,estimates,18_23,105.347619500991
906,1970,estimates,20plus,103.052533768786
906,1970,estimates,20_64,106.121969323855
906,1970,estimates,20_69,104.999780816517
906,1970,estimates,21plus,102.969307610043
906,1970,estimates,25plus,102.559613048654
906,1970,estimates,25_49,109.469645113588
906,1970,estimates,25_64,106.236636758607
906,1970,estimates,25_69,104.876479188226
906,1970,estimates,50plus,89.930139951999
906,1970,estimates,60plus,79.2513491799456
906,1970,estimates,65plus,73.5151210735766
906,1970,estimates,70plus,67.580757760673
906,1970,estimates,75plus,59.3529769352023
906,1970,estimates,80plus,49.1653311219864
906,1970,estimates,85plus,37.9444542720679
906,1970,estimates,90plus,30.0574273671108
906,1975,estimates,"Region, subregion, country or area *",Eastern Asia
906,1975,estimates,total,104.181736332177
906,1975,estimates,0_1,107.525044769406
906,1975,estimates,0_4,106.063521885324
906,1975,estimates,0_14,105.349006661243
906,1975,estimates,0_17,105.383826087799
906,1975,estimates,0_19,105.389165600557
906,1975,estimates,0_24,105.369384363978
906,1975,estimates,3_4,104.903475609462
906,1975,estimates,3_5,104.750593338312
906,1975,estimates,3_6,104.651719579686
906,1975,estimates,4_5,104.569273286723
906,1975,estimates,4_6,104.498224900486
906,1975,estimates,5_10,104.565102120746
906,1975,estimates,5_11,104.681299680001
906,1975,estimates,5_14,104.974989025419
906,1975,estimates,6_9,104.488394138436
906,1975,estimates,6_10,104.589729207474
906,1975,estimates,6_11,104.722982414779
906,1975,estimates,6_12,104.858866774687
906,1975,estimates,7_10,104.651918968947
906,1975,estimates,7_12,104.951375679337
906,1975,estimates,11_16,105.694563850667
906,1975,estimates,11_17,105.675563817946
906,1975,estimates,11_18,105.653506645644
906,1975,estimates,12_14,105.803629844577
906,1975,estimates,12_16,105.747125884102
906,1975,estimates,12_17,105.716597967934
906,1975,estimates,12_18,105.685454730868
906,1975,estimates,13_17,105.699110962711
906,1975,estimates,13_18,105.664676023393
906,1975,estimates,13_19,105.631827263216
906,1975,estimates,15plus,103.470404157281
906,1975,estimates,15_17,105.616642295796
906,1975,estimates,15_24,105.410026940431
906,1975,estimates,15_49,107.493284114089
906,1975,estimates,15_59,106.722610999083
906,1975,estimates,15_64,106.072435560291
906,1975,estimates,16plus,103.397625297892
906,1975,estimates,17plus,103.326272153736
906,1975,estimates,18plus,103.255180321889
906,1975,estimates,18_23,105.358728401032
906,1975,estimates,20plus,103.100997518797
906,1975,estimates,20_64,106.174981097232
906,1975,estimates,20_69,105.178741691791
906,1975,estimates,21plus,103.014566710628
906,1975,estimates,25plus,102.617013104947
906,1975,estimates,25_49,108.913843896533
906,1975,estimates,25_64,106.403695091691
906,1975,estimates,25_69,105.156343644644
906,1975,estimates,50plus,91.1648206843467
906,1975,estimates,60plus,81.6674660545574
906,1975,estimates,65plus,74.8981581457163
906,1975,estimates,70plus,68.5812108474169
906,1975,estimates,75plus,62.3996777172618
906,1975,estimates,80plus,54.2304194985073
906,1975,estimates,85plus,44.0185566057357
906,1975,estimates,90plus,33.1067919666355
906,1980,estimates,"Region, subregion, country or area *",Eastern Asia
906,1980,estimates,total,104.307730950038
906,1980,estimates,0_1,105.587209810154
906,1980,estimates,0_4,106.284832770769
906,1980,estimates,0_14,105.463552982122
906,1980,estimates,0_17,105.444722084029
906,1980,estimates,0_19,105.472885346201
906,1980,estimates,0_24,105.488418024039
906,1980,estimates,3_4,106.755254564851
906,1980,estimates,3_5,106.695518433733
906,1980,estimates,3_6,106.593462727705
906,1980,estimates,4_5,106.66517341372
906,1980,estimates,4_6,106.542358609435
906,1980,estimates,5_10,105.722895369399
906,1980,estimates,5_11,105.511203373386
906,1980,estimates,5_14,105.13477247387
906,1980,estimates,6_9,105.763613395706
906,1980,estimates,6_10,105.564255695195
906,1980,estimates,6_11,105.34773412939
906,1980,estimates,6_12,105.158899079149
906,1980,estimates,7_10,105.388362378911
906,1980,estimates,7_12,104.979801688472
906,1980,estimates,11_16,104.557121740104
906,1980,estimates,11_17,104.705487363561
906,1980,estimates,11_18,104.825173830848
906,1980,estimates,12_14,104.271260952289
906,1980,estimates,12_16,104.609540743549
906,1980,estimates,12_17,104.777124266356
906,1980,estimates,12_18,104.906938983248
906,1980,estimates,13_17,104.935669015063
906,1980,estimates,13_18,105.066407570549
906,1980,estimates,13_19,105.147430162228
906,1980,estimates,15plus,103.707554246226
906,1980,estimates,15_17,105.346890269461
906,1980,estimates,15_24,105.532790617757
906,1980,estimates,15_49,106.842637359416
906,1980,estimates,15_59,106.660655486908
906,1980,estimates,15_64,106.220434506208
906,1980,estimates,16plus,103.662617913236
906,1980,estimates,17plus,103.600735879072
906,1980,estimates,18plus,103.525508714436
906,1980,estimates,18_23,105.654581163855
906,1980,estimates,20plus,103.366722946025
906,1980,estimates,20_64,106.372620018117
906,1980,estimates,20_69,105.578119130205
906,1980,estimates,21plus,103.288123437709
906,1980,estimates,25plus,102.958483338193
906,1980,estimates,25_49,107.665474473679
906,1980,estimates,25_64,106.543002845974
906,1980,estimates,25_69,105.58001935967
906,1980,estimates,50plus,94.0890522487592
906,1980,estimates,60plus,84.6584076086913
906,1980,estimates,65plus,77.8956519507987
906,1980,estimates,70plus,69.9311075294588
906,1980,estimates,75plus,62.2907187551885
906,1980,estimates,80plus,54.6494723144417
906,1980,estimates,85plus,46.3236511718288
906,1980,estimates,90plus,37.8745046349691
906,1985,estimates,"Region, subregion, country or area *",Eastern Asia
906,1985,estimates,total,104.270123907428
906,1985,estimates,0_1,106.519378719877
906,1985,estimates,0_4,106.362294601945
906,1985,estimates,0_14,106.101017678751
906,1985,estimates,0_17,105.762883348674
906,1985,estimates,0_19,105.604742416119
906,1985,estimates,0_24,105.564072834574
906,1985,estimates,3_4,106.198340344346
906,1985,estimates,3_5,106.181079808232
906,1985,estimates,3_6,106.171044335076
906,1985,estimates,4_5,106.158357991224
906,1985,estimates,4_6,106.152556043641
906,1985,estimates,5_10,106.136362563359
906,1985,estimates,5_11,106.144359921492
906,1985,estimates,5_14,105.978113656627
906,1985,estimates,6_9,106.136629922672
906,1985,estimates,6_10,106.134605297699
906,1985,estimates,6_11,106.144112969337
906,1985,estimates,6_12,106.13217063051
906,1985,estimates,7_10,106.133127496816
906,1985,estimates,7_12,106.130883189898
906,1985,estimates,11_16,105.348188826061
906,1985,estimates,11_17,105.154342177174
906,1985,estimates,11_18,105.027699018395
