country,year,variant,freq,agebroad,percentagetotaldeaths
591,1950,estimates,5yearly,0_4,43.2816045013159
591,1950,estimates,5yearly,0_14,48.2475723749887
591,1950,estimates,5yearly,0_19,50.5054905163808
591,1950,estimates,5yearly,0_24,53.3351483800708
591,1950,estimates,5yearly,5_14,4.96596787367275
591,1950,estimates,5yearly,15plus,51.7524276250114
591,1950,estimates,5yearly,15_24,5.08757600508213
591,1950,estimates,5yearly,15_49,18.7675832652691
591,1950,estimates,5yearly,15_59,26.1802341410291
591,1950,estimates,5yearly,15_64,30.8757600508213
591,1950,estimates,5yearly,20plus,49.4945094836192
591,1950,estimates,5yearly,20_64,28.6178419094292
591,1950,estimates,5yearly,20_69,33.816135765496
591,1950,estimates,5yearly,25plus,46.6648516199292
591,1950,estimates,5yearly,25_69,30.986477901806
591,1950,estimates,5yearly,40plus,38.4953262546511
591,1950,estimates,5yearly,50plus,32.9848443597423
591,1950,estimates,5yearly,60plus,25.5721934839822
591,1950,estimates,5yearly,65plus,20.87666757419
591,1950,estimates,5yearly,70plus,15.6783737181232
591,1950,estimates,5yearly,80plus,5.83900535438788
591,1950,estimates,5yearly,90plus,0.796805517742082
591,1955,estimates,5yearly,0_4,43.216457960644
591,1955,estimates,5yearly,0_14,48.2415026833631
591,1955,estimates,5yearly,0_19,50.3667262969588
591,1955,estimates,5yearly,0_24,52.9767441860465
591,1955,estimates,5yearly,5_14,5.02504472271914
591,1955,estimates,5yearly,15plus,51.7584973166369
591,1955,estimates,5yearly,15_24,4.73524150268336
591,1955,estimates,5yearly,15_49,17.5635062611807
591,1955,estimates,5yearly,15_59,24.7334525939177
591,1955,estimates,5yearly,15_64,29.3595706618962
591,1955,estimates,5yearly,20plus,49.6332737030411
591,1955,estimates,5yearly,20_64,27.2343470483005
591,1955,estimates,5yearly,20_69,32.4669051878354
591,1955,estimates,5yearly,25plus,47.0232558139535
591,1955,estimates,5yearly,25_69,29.8568872987478
591,1955,estimates,5yearly,40plus,39.4436493738819
591,1955,estimates,5yearly,50plus,34.1949910554562
591,1955,estimates,5yearly,60plus,27.0250447227191
591,1955,estimates,5yearly,65plus,22.3989266547406
591,1955,estimates,5yearly,70plus,17.1663685152057
591,1955,estimates,5yearly,80plus,6.77459749552773
591,1955,estimates,5yearly,90plus,0.991055456171735
591,1960,estimates,5yearly,0_4,41.8762397279683
591,1960,estimates,5yearly,0_14,47.0813261547181
591,1960,estimates,5yearly,0_19,49.105624822896
591,1960,estimates,5yearly,0_24,51.5549730801927
591,1960,estimates,5yearly,5_14,5.20508642674979
591,1960,estimates,5yearly,15plus,52.9186738452819
591,1960,estimates,5yearly,15_24,4.47364692547464
591,1960,estimates,5yearly,15_49,16.6442334939076
591,1960,estimates,5yearly,15_59,23.760272031737
591,1960,estimates,5yearly,15_64,28.4446727118164
591,1960,estimates,5yearly,20plus,50.894375177104
591,1960,estimates,5yearly,20_64,26.4203740436384
591,1960,estimates,5yearly,20_69,31.799022385945
591,1960,estimates,5yearly,25plus,48.4450269198073
591,1960,estimates,5yearly,25_69,29.3496741286483
