region,variant,freq,year,infantmortalityper1000livebirth
948,estimates,5yearly,1950,176.704475688586
948,estimates,5yearly,1955,157.270459468548
948,estimates,5yearly,1960,141.707647021082
948,estimates,5yearly,1965,128.67221640602
948,estimates,5yearly,1970,118.732905927371
948,estimates,5yearly,1975,105.899132308485
948,estimates,5yearly,1980,93.7246872545463
948,estimates,5yearly,1985,83.2899316541683
948,estimates,5yearly,1990,75.9180620305971
948,estimates,5yearly,1995,67.5586611211618
948,estimates,5yearly,2000,58.4281284970815
948,estimates,5yearly,2005,49.8831959738211
948,estimates,5yearly,2010,42.5977940687203
948,medium_variant,5yearly,2015,37.1687439900286
948,medium_variant,5yearly,2020,32.8957561673531
948,medium_variant,5yearly,2025,29.2665025261886
948,medium_variant,5yearly,2030,26.1520806230076
948,medium_variant,5yearly,2035,23.4277715328156
948,medium_variant,5yearly,2040,21.1253211762805
948,medium_variant,5yearly,2045,19.119665479089
948,medium_variant,5yearly,2050,17.2766339416845
948,medium_variant,5yearly,2055,15.7254907155445
948,medium_variant,5yearly,2060,14.3920896340005
948,medium_variant,5yearly,2065,13.2116883740146
948,medium_variant,5yearly,2070,12.2196105052436
948,medium_variant,5yearly,2075,11.3349084642028
948,medium_variant,5yearly,2080,10.5729413259586
948,medium_variant,5yearly,2085,9.90105102782894
948,medium_variant,5yearly,2090,9.28893898684352
948,medium_variant,5yearly,2095,8.73737513793373
948,estimates,5yearly,Regi,"Less developed regions, excluding China"
948,medium_variant,5yearly,Regi,"Less developed regions, excluding China"
