region,variant,freq,year,infantmortalityper1000livebirth
5500,estimates,5yearly,1950,126.323558242564
5500,estimates,5yearly,1955,117.118414340317
5500,estimates,5yearly,1960,107.865609764004
5500,estimates,5yearly,1965,99.3036120883866
5500,estimates,5yearly,1970,89.9932356949235
5500,estimates,5yearly,1975,82.3728284143285
5500,estimates,5yearly,1980,74.9912612096448
5500,estimates,5yearly,1985,67.7046847476998
5500,estimates,5yearly,1990,62.8538258736776
5500,estimates,5yearly,1995,55.7304006312251
5500,estimates,5yearly,2000,48.0190638335571
5500,estimates,5yearly,2005,38.0439029888425
5500,estimates,5yearly,2010,28.5268861173054
5500,medium_variant,5yearly,2015,25.4229260084426
5500,medium_variant,5yearly,2020,22.5069498621241
5500,medium_variant,5yearly,2025,19.8738575867031
5500,medium_variant,5yearly,2030,17.7012051492078
5500,medium_variant,5yearly,2035,15.7542151608888
5500,medium_variant,5yearly,2040,13.9859119826416
5500,medium_variant,5yearly,2045,12.4560367515954
5500,medium_variant,5yearly,2050,11.1837541608073
5500,medium_variant,5yearly,2055,10.1092005659045
5500,medium_variant,5yearly,2060,9.1340275469776
5500,medium_variant,5yearly,2065,8.34821548889013
5500,medium_variant,5yearly,2070,7.68774488774789
5500,medium_variant,5yearly,2075,7.07591286314923
5500,medium_variant,5yearly,2080,6.53893655561989
5500,medium_variant,5yearly,2085,6.06885742948915
5500,medium_variant,5yearly,2090,5.64749395624889
5500,medium_variant,5yearly,2095,5.29130969288895
5500,estimates,5yearly,Regi,Central Asia
5500,medium_variant,5yearly,Regi,Central Asia
