region,variant,freq,year,infantmortalityper1000livebirth
931,estimates,5yearly,1950,126.926877633076
931,estimates,5yearly,1955,115.342323228251
931,estimates,5yearly,1960,104.402759734629
931,estimates,5yearly,1965,94.3853707392918
931,estimates,5yearly,1970,83.8321038708876
931,estimates,5yearly,1975,73.4715836483169
931,estimates,5yearly,1980,61.713187364441
931,estimates,5yearly,1985,49.0073308660625
931,estimates,5yearly,1990,38.9650415061652
931,estimates,5yearly,1995,31.8860332978441
931,estimates,5yearly,2000,25.5440497017874
931,estimates,5yearly,2005,20.2870271411437
931,estimates,5yearly,2010,17.1164038670111
931,medium_variant,5yearly,2015,14.5373488610013
931,medium_variant,5yearly,2020,12.5790175866578
931,medium_variant,5yearly,2025,10.9433800410311
931,medium_variant,5yearly,2030,9.66522357896185
931,medium_variant,5yearly,2035,8.57818258895411
931,medium_variant,5yearly,2040,7.66362563026916
931,medium_variant,5yearly,2045,6.87251597683461
931,medium_variant,5yearly,2050,6.22297214310208
931,medium_variant,5yearly,2055,5.65553134850494
931,medium_variant,5yearly,2060,5.15313835009096
931,medium_variant,5yearly,2065,4.712736985951
931,medium_variant,5yearly,2070,4.32916771766891
931,medium_variant,5yearly,2075,3.98319590018472
931,medium_variant,5yearly,2080,3.67968284792997
931,medium_variant,5yearly,2085,3.39560303307121
931,medium_variant,5yearly,2090,3.14132353369917
931,medium_variant,5yearly,2095,2.90154159197449
931,estimates,5yearly,Regi,South America
931,medium_variant,5yearly,Regi,South America
