region,variant,freq,year,infantmortalityper1000livebirth
957,estimates,5yearly,1950,98.3972821584864
957,estimates,5yearly,1955,83.5073857003891
957,estimates,5yearly,1960,74.7450958236909
957,estimates,5yearly,1965,66.7983270775757
957,estimates,5yearly,1970,60.3388608825438
957,estimates,5yearly,1975,52.0009777052262
957,estimates,5yearly,1980,40.174749912269
957,estimates,5yearly,1985,30.9342735106607
957,estimates,5yearly,1990,27.0080214954944
957,estimates,5yearly,1995,22.2527947798742
957,estimates,5yearly,2000,19.9311565203835
957,estimates,5yearly,2005,17.6282487561525
957,estimates,5yearly,2010,15.2010865187157
957,medium_variant,5yearly,2015,13.6375265197277
957,medium_variant,5yearly,2020,12.5644554740819
957,medium_variant,5yearly,2025,11.6667709428593
957,medium_variant,5yearly,2030,10.8286874925087
957,medium_variant,5yearly,2035,10.031016671488
957,medium_variant,5yearly,2040,9.27419065662546
957,medium_variant,5yearly,2045,8.56687837770836
957,medium_variant,5yearly,2050,7.95938598962449
957,medium_variant,5yearly,2055,7.44144871209193
957,medium_variant,5yearly,2060,6.9553093823803
957,medium_variant,5yearly,2065,6.48471612452421
957,medium_variant,5yearly,2070,6.02902984129421
957,medium_variant,5yearly,2075,5.59219774627408
957,medium_variant,5yearly,2080,5.19748709527039
957,medium_variant,5yearly,2085,4.84794884099764
957,medium_variant,5yearly,2090,4.52479172817915
957,medium_variant,5yearly,2095,4.22304138983449
957,estimates,5yearly,Regi,Polynesia
957,medium_variant,5yearly,Regi,Polynesia
