region,variant,freq,year,infantmortalityper1000livebirth
916,estimates,5yearly,1950,129.869623681481
916,estimates,5yearly,1955,111.330981246927
916,estimates,5yearly,1960,97.305680532214
916,estimates,5yearly,1965,87.2612109345953
916,estimates,5yearly,1970,75.9267902067872
916,estimates,5yearly,1975,64.0125799128489
916,estimates,5yearly,1980,53.7174065405106
916,estimates,5yearly,1985,44.5344116496721
916,estimates,5yearly,1990,36.493304230082
916,estimates,5yearly,1995,29.9482512260495
916,estimates,5yearly,2000,23.3101773917141
916,estimates,5yearly,2005,21.7741075692436
916,estimates,5yearly,2010,19.9992170970467
916,medium_variant,5yearly,2015,17.3292433635746
916,medium_variant,5yearly,2020,15.0324121525553
916,medium_variant,5yearly,2025,13.0929259672444
916,medium_variant,5yearly,2030,11.4241307835896
916,medium_variant,5yearly,2035,10.0205911570156
916,medium_variant,5yearly,2040,8.84607213394644
916,medium_variant,5yearly,2045,7.91145216447201
916,medium_variant,5yearly,2050,7.09621098297262
916,medium_variant,5yearly,2055,6.45019935012488
916,medium_variant,5yearly,2060,5.85712249933312
916,medium_variant,5yearly,2065,5.32710057317128
916,medium_variant,5yearly,2070,4.84158962543646
916,medium_variant,5yearly,2075,4.40610469928292
916,medium_variant,5yearly,2080,4.03712850771779
916,medium_variant,5yearly,2085,3.71119467197484
916,medium_variant,5yearly,2090,3.39911016526577
916,medium_variant,5yearly,2095,3.11999953952172
