variant,continent,year,totalfertility
estimates,935,1950,6.028
estimates,935,1951,5.957
estimates,935,1952,5.828
estimates,935,1953,5.725
estimates,935,1954,5.649
estimates,935,1955,5.598
estimates,935,1956,5.573
estimates,935,1957,5.571
estimates,935,1958,5.59
estimates,935,1959,5.627
estimates,935,1960,5.675
estimates,935,1961,5.729
estimates,935,1962,5.779
estimates,935,1963,5.82
estimates,935,1964,5.843
estimates,935,1965,5.842
estimates,935,1966,5.813
estimates,935,1967,5.757
estimates,935,1968,5.676
estimates,935,1969,5.571
estimates,935,1970,5.44
estimates,935,1971,5.285
estimates,935,1972,5.111
estimates,935,1973,4.923
estimates,935,1974,4.729
estimates,935,1975,4.539
estimates,935,1976,4.36
estimates,935,1977,4.198
estimates,935,1978,4.057
estimates,935,1979,3.939
estimates,935,1980,3.846
estimates,935,1981,3.778
estimates,935,1982,3.728
estimates,935,1983,3.688
estimates,935,1984,3.652
estimates,935,1985,3.614
estimates,935,1986,3.564
estimates,935,1987,3.501
estimates,935,1988,3.421
estimates,935,1989,3.327
estimates,935,1990,3.22
estimates,935,1991,3.106
estimates,935,1992,2.993
estimates,935,1993,2.887
estimates,935,1994,2.791
estimates,935,1995,2.709
estimates,935,1996,2.641
estimates,935,1997,2.585
estimates,935,1998,2.537
estimates,935,1999,2.498
estimates,935,2000,2.465
estimates,935,2001,2.437
estimates,935,2002,2.414
estimates,935,2003,2.392
estimates,935,2004,2.372
estimates,935,2005,2.352
estimates,935,2006,2.331
estimates,935,2007,2.31
estimates,935,2008,2.289
estimates,935,2009,2.269
estimates,935,2010,2.249
estimates,935,2011,2.23
estimates,935,2012,2.213
estimates,935,2013,2.198
estimates,935,2014,2.184
estimates,935,2015,2.173
medium_variant,935,2015,2.173
medium_variant,935,2016,2.162
medium_variant,935,2017,2.153
medium_variant,935,2018,2.144
medium_variant,935,2019,2.135
medium_variant,935,2020,2.126
medium_variant,935,2021,2.117
medium_variant,935,2022,2.108
medium_variant,935,2023,2.099
medium_variant,935,2024,2.09
medium_variant,935,2025,2.08
medium_variant,935,2026,2.071
medium_variant,935,2027,2.06
medium_variant,935,2028,2.05
medium_variant,935,2029,2.039
medium_variant,935,2030,2.028
medium_variant,935,2031,2.017
medium_variant,935,2032,2.006
medium_variant,935,2033,1.996
medium_variant,935,2034,1.985
medium_variant,935,2035,1.975
medium_variant,935,2036,1.966
medium_variant,935,2037,1.957
medium_variant,935,2038,1.949
medium_variant,935,2039,1.942
medium_variant,935,2040,1.936
medium_variant,935,2041,1.93
medium_variant,935,2042,1.925
medium_variant,935,2043,1.92
medium_variant,935,2044,1.916
medium_variant,935,2045,1.912
medium_variant,935,2046,1.908
medium_variant,935,2047,1.904
medium_variant,935,2048,1.901
medium_variant,935,2049,1.897
medium_variant,935,2050,1.893
medium_variant,935,2051,1.888
medium_variant,935,2052,1.884
medium_variant,935,2053,1.88
medium_variant,935,2054,1.875
medium_variant,935,2055,1.871
medium_variant,935,2056,1.866
medium_variant,935,2057,1.862
medium_variant,935,2058,1.858
medium_variant,935,2059,1.854
medium_variant,935,2060,1.85
medium_variant,935,2061,1.847
medium_variant,935,2062,1.844
medium_variant,935,2063,1.841
medium_variant,935,2064,1.838
medium_variant,935,2065,1.836
medium_variant,935,2066,1.833
medium_variant,935,2067,1.831
medium_variant,935,2068,1.829
medium_variant,935,2069,1.828
medium_variant,935,2070,1.826
medium_variant,935,2071,1.825
medium_variant,935,2072,1.823
medium_variant,935,2073,1.822
medium_variant,935,2074,1.821
medium_variant,935,2075,1.82
medium_variant,935,2076,1.82
medium_variant,935,2077,1.819
medium_variant,935,2078,1.818
medium_variant,935,2079,1.818
medium_variant,935,2080,1.817
medium_variant,935,2081,1.817
medium_variant,935,2082,1.816
medium_variant,935,2083,1.816
medium_variant,935,2084,1.815
medium_variant,935,2085,1.814
medium_variant,935,2086,1.814
medium_variant,935,2087,1.813
medium_variant,935,2088,1.813
medium_variant,935,2089,1.812
medium_variant,935,2090,1.812
medium_variant,935,2091,1.811
medium_variant,935,2092,1.811
medium_variant,935,2093,1.811
medium_variant,935,2094,1.81
medium_variant,935,2095,1.81
medium_variant,935,2096,1.81
medium_variant,935,2097,1.81
medium_variant,935,2098,1.811
medium_variant,935,2099,1.811
