variant,continent,year,totalfertility
estimates,908,1950,2.643
estimates,908,1951,2.649
estimates,908,1952,2.661
estimates,908,1953,2.669
estimates,908,1954,2.674
estimates,908,1955,2.676
estimates,908,1956,2.674
estimates,908,1957,2.669
estimates,908,1958,2.66
estimates,908,1959,2.648
estimates,908,1960,2.631
estimates,908,1961,2.609
estimates,908,1962,2.582
estimates,908,1963,2.551
estimates,908,1964,2.516
estimates,908,1965,2.477
estimates,908,1966,2.437
estimates,908,1967,2.395
estimates,908,1968,2.353
estimates,908,1969,2.312
estimates,908,1970,2.271
estimates,908,1971,2.23
estimates,908,1972,2.189
estimates,908,1973,2.148
estimates,908,1974,2.107
estimates,908,1975,2.067
estimates,908,1976,2.03
estimates,908,1977,1.996
estimates,908,1978,1.966
estimates,908,1979,1.94
estimates,908,1980,1.919
estimates,908,1981,1.902
estimates,908,1982,1.889
estimates,908,1983,1.878
estimates,908,1984,1.868
estimates,908,1985,1.855
estimates,908,1986,1.837
estimates,908,1987,1.812
estimates,908,1988,1.779
estimates,908,1989,1.74
estimates,908,1990,1.696
estimates,908,1991,1.648
estimates,908,1992,1.6
estimates,908,1993,1.556
estimates,908,1994,1.516
estimates,908,1995,1.483
estimates,908,1996,1.457
estimates,908,1997,1.437
estimates,908,1998,1.423
estimates,908,1999,1.415
estimates,908,2000,1.413
estimates,908,2001,1.418
estimates,908,2002,1.428
estimates,908,2003,1.444
estimates,908,2004,1.464
estimates,908,2005,1.486
estimates,908,2006,1.508
estimates,908,2007,1.53
estimates,908,2008,1.55
estimates,908,2009,1.568
estimates,908,2010,1.582
estimates,908,2011,1.592
estimates,908,2012,1.6
estimates,908,2013,1.606
estimates,908,2014,1.612
estimates,908,2015,1.616
medium_variant,908,2015,1.616
medium_variant,908,2016,1.62
medium_variant,908,2017,1.624
medium_variant,908,2018,1.629
medium_variant,908,2019,1.634
medium_variant,908,2020,1.639
medium_variant,908,2021,1.646
medium_variant,908,2022,1.653
medium_variant,908,2023,1.66
medium_variant,908,2024,1.667
medium_variant,908,2025,1.675
medium_variant,908,2026,1.682
medium_variant,908,2027,1.689
medium_variant,908,2028,1.696
medium_variant,908,2029,1.702
medium_variant,908,2030,1.708
medium_variant,908,2031,1.714
medium_variant,908,2032,1.72
medium_variant,908,2033,1.725
medium_variant,908,2034,1.731
medium_variant,908,2035,1.736
medium_variant,908,2036,1.741
medium_variant,908,2037,1.746
medium_variant,908,2038,1.75
medium_variant,908,2039,1.755
medium_variant,908,2040,1.759
medium_variant,908,2041,1.762
medium_variant,908,2042,1.766
medium_variant,908,2043,1.769
medium_variant,908,2044,1.772
medium_variant,908,2045,1.775
medium_variant,908,2046,1.778
medium_variant,908,2047,1.78
medium_variant,908,2048,1.782
medium_variant,908,2049,1.784
medium_variant,908,2050,1.786
medium_variant,908,2051,1.788
medium_variant,908,2052,1.79
medium_variant,908,2053,1.792
medium_variant,908,2054,1.794
medium_variant,908,2055,1.796
medium_variant,908,2056,1.797
medium_variant,908,2057,1.799
medium_variant,908,2058,1.801
medium_variant,908,2059,1.803
medium_variant,908,2060,1.804
medium_variant,908,2061,1.806
medium_variant,908,2062,1.808
medium_variant,908,2063,1.809
medium_variant,908,2064,1.811
medium_variant,908,2065,1.813
medium_variant,908,2066,1.814
medium_variant,908,2067,1.816
medium_variant,908,2068,1.817
medium_variant,908,2069,1.819
medium_variant,908,2070,1.82
medium_variant,908,2071,1.821
medium_variant,908,2072,1.823
medium_variant,908,2073,1.824
medium_variant,908,2074,1.825
medium_variant,908,2075,1.826
medium_variant,908,2076,1.827
medium_variant,908,2077,1.827
medium_variant,908,2078,1.828
medium_variant,908,2079,1.829
medium_variant,908,2080,1.83
medium_variant,908,2081,1.83
medium_variant,908,2082,1.831
medium_variant,908,2083,1.831
medium_variant,908,2084,1.832
medium_variant,908,2085,1.833
medium_variant,908,2086,1.833
medium_variant,908,2087,1.834
medium_variant,908,2088,1.834
medium_variant,908,2089,1.835
medium_variant,908,2090,1.835
medium_variant,908,2091,1.836
medium_variant,908,2092,1.836
medium_variant,908,2093,1.837
medium_variant,908,2094,1.838
medium_variant,908,2095,1.838
medium_variant,908,2096,1.839
medium_variant,908,2097,1.84
medium_variant,908,2098,1.841
medium_variant,908,2099,1.842
