variant,continent,year,totalfertility
estimates,905,1950,3.084
estimates,905,1951,3.159
estimates,905,1952,3.298
estimates,905,1953,3.412
estimates,905,1954,3.501
estimates,905,1955,3.566
estimates,905,1956,3.607
estimates,905,1957,3.622
estimates,905,1958,3.613
estimates,905,1959,3.579
estimates,905,1960,3.52
estimates,905,1961,3.437
estimates,905,1962,3.332
estimates,905,1963,3.209
estimates,905,1964,3.073
estimates,905,1965,2.929
estimates,905,1966,2.782
estimates,905,1967,2.636
estimates,905,1968,2.497
estimates,905,1969,2.368
estimates,905,1970,2.252
estimates,905,1971,2.15
estimates,905,1972,2.059
estimates,905,1973,1.979
estimates,905,1974,1.91
estimates,905,1975,1.853
estimates,905,1976,1.809
estimates,905,1977,1.778
estimates,905,1978,1.759
estimates,905,1979,1.749
estimates,905,1980,1.749
estimates,905,1981,1.757
estimates,905,1982,1.77
estimates,905,1983,1.788
estimates,905,1984,1.807
estimates,905,1985,1.828
estimates,905,1986,1.851
estimates,905,1987,1.876
estimates,905,1988,1.902
estimates,905,1989,1.928
estimates,905,1990,1.951
estimates,905,1991,1.969
estimates,905,1992,1.981
estimates,905,1993,1.987
estimates,905,1994,1.986
estimates,905,1995,1.981
estimates,905,1996,1.974
estimates,905,1997,1.968
estimates,905,1998,1.964
estimates,905,1999,1.964
estimates,905,2000,1.969
estimates,905,2001,1.978
estimates,905,2002,1.989
estimates,905,2003,2
estimates,905,2004,2.009
estimates,905,2005,2.015
estimates,905,2006,2.013
estimates,905,2007,2.003
estimates,905,2008,1.985
estimates,905,2009,1.96
estimates,905,2010,1.932
estimates,905,2011,1.903
estimates,905,2012,1.878
estimates,905,2013,1.858
estimates,905,2014,1.846
estimates,905,2015,1.841
medium_variant,905,2015,1.841
medium_variant,905,2016,1.842
medium_variant,905,2017,1.846
medium_variant,905,2018,1.85
medium_variant,905,2019,1.854
medium_variant,905,2020,1.857
medium_variant,905,2021,1.859
medium_variant,905,2022,1.86
medium_variant,905,2023,1.861
medium_variant,905,2024,1.863
medium_variant,905,2025,1.864
medium_variant,905,2026,1.866
medium_variant,905,2027,1.867
medium_variant,905,2028,1.869
medium_variant,905,2029,1.87
medium_variant,905,2030,1.872
medium_variant,905,2031,1.873
medium_variant,905,2032,1.874
medium_variant,905,2033,1.875
medium_variant,905,2034,1.875
medium_variant,905,2035,1.876
medium_variant,905,2036,1.877
medium_variant,905,2037,1.878
medium_variant,905,2038,1.879
medium_variant,905,2039,1.88
medium_variant,905,2040,1.881
medium_variant,905,2041,1.882
medium_variant,905,2042,1.883
medium_variant,905,2043,1.884
medium_variant,905,2044,1.884
medium_variant,905,2045,1.885
medium_variant,905,2046,1.886
medium_variant,905,2047,1.887
medium_variant,905,2048,1.888
medium_variant,905,2049,1.889
medium_variant,905,2050,1.89
medium_variant,905,2051,1.891
medium_variant,905,2052,1.892
medium_variant,905,2053,1.892
medium_variant,905,2054,1.893
medium_variant,905,2055,1.894
medium_variant,905,2056,1.895
medium_variant,905,2057,1.895
medium_variant,905,2058,1.896
medium_variant,905,2059,1.896
medium_variant,905,2060,1.896
medium_variant,905,2061,1.897
medium_variant,905,2062,1.897
medium_variant,905,2063,1.898
medium_variant,905,2064,1.898
medium_variant,905,2065,1.899
medium_variant,905,2066,1.899
medium_variant,905,2067,1.899
medium_variant,905,2068,1.9
medium_variant,905,2069,1.9
medium_variant,905,2070,1.9
medium_variant,905,2071,1.901
medium_variant,905,2072,1.901
medium_variant,905,2073,1.901
medium_variant,905,2074,1.902
medium_variant,905,2075,1.903
medium_variant,905,2076,1.903
medium_variant,905,2077,1.904
medium_variant,905,2078,1.904
medium_variant,905,2079,1.904
medium_variant,905,2080,1.904
medium_variant,905,2081,1.905
medium_variant,905,2082,1.905
medium_variant,905,2083,1.905
medium_variant,905,2084,1.905
medium_variant,905,2085,1.905
medium_variant,905,2086,1.905
medium_variant,905,2087,1.906
medium_variant,905,2088,1.906
medium_variant,905,2089,1.906
medium_variant,905,2090,1.906
medium_variant,905,2091,1.907
medium_variant,905,2092,1.907
medium_variant,905,2093,1.907
medium_variant,905,2094,1.907
medium_variant,905,2095,1.907
medium_variant,905,2096,1.907
medium_variant,905,2097,1.906
medium_variant,905,2098,1.906
medium_variant,905,2099,1.905
