variant,continent,year,totalfertility
estimates,903,1950,6.611
estimates,903,1951,6.612
estimates,903,1952,6.615
estimates,903,1953,6.621
estimates,903,1954,6.628
estimates,903,1955,6.637
estimates,903,1956,6.647
estimates,903,1957,6.659
estimates,903,1958,6.671
estimates,903,1959,6.685
estimates,903,1960,6.697
estimates,903,1961,6.708
estimates,903,1962,6.717
estimates,903,1963,6.723
estimates,903,1964,6.726
estimates,903,1965,6.726
estimates,903,1966,6.725
estimates,903,1967,6.723
estimates,903,1968,6.721
estimates,903,1969,6.719
estimates,903,1970,6.717
estimates,903,1971,6.715
estimates,903,1972,6.711
estimates,903,1973,6.706
estimates,903,1974,6.698
estimates,903,1975,6.686
estimates,903,1976,6.672
estimates,903,1977,6.655
estimates,903,1978,6.635
estimates,903,1979,6.61
estimates,903,1980,6.582
estimates,903,1981,6.548
estimates,903,1982,6.509
estimates,903,1983,6.464
estimates,903,1984,6.413
estimates,903,1985,6.355
estimates,903,1986,6.288
estimates,903,1987,6.214
estimates,903,1988,6.132
estimates,903,1989,6.044
estimates,903,1990,5.953
estimates,903,1991,5.86
estimates,903,1992,5.768
estimates,903,1993,5.679
estimates,903,1994,5.594
estimates,903,1995,5.514
estimates,903,1996,5.442
estimates,903,1997,5.374
estimates,903,1998,5.311
estimates,903,1999,5.253
estimates,903,2000,5.199
estimates,903,2001,5.15
estimates,903,2002,5.103
estimates,903,2003,5.06
estimates,903,2004,5.019
estimates,903,2005,4.98
estimates,903,2006,4.944
estimates,903,2007,4.911
estimates,903,2008,4.879
estimates,903,2009,4.848
estimates,903,2010,4.815
estimates,903,2011,4.779
estimates,903,2012,4.738
estimates,903,2013,4.692
estimates,903,2014,4.641
estimates,903,2015,4.585
medium_variant,903,2015,4.585
medium_variant,903,2016,4.525
medium_variant,903,2017,4.465
medium_variant,903,2018,4.404
medium_variant,903,2019,4.345
medium_variant,903,2020,4.288
medium_variant,903,2021,4.233
medium_variant,903,2022,4.179
medium_variant,903,2023,4.126
medium_variant,903,2024,4.074
medium_variant,903,2025,4.023
medium_variant,903,2026,3.973
medium_variant,903,2027,3.923
medium_variant,903,2028,3.874
medium_variant,903,2029,3.827
medium_variant,903,2030,3.78
medium_variant,903,2031,3.734
medium_variant,903,2032,3.688
medium_variant,903,2033,3.644
medium_variant,903,2034,3.6
medium_variant,903,2035,3.558
medium_variant,903,2036,3.516
medium_variant,903,2037,3.475
medium_variant,903,2038,3.435
medium_variant,903,2039,3.395
medium_variant,903,2040,3.357
medium_variant,903,2041,3.319
medium_variant,903,2042,3.283
medium_variant,903,2043,3.247
medium_variant,903,2044,3.211
medium_variant,903,2045,3.177
medium_variant,903,2046,3.143
medium_variant,903,2047,3.111
medium_variant,903,2048,3.078
medium_variant,903,2049,3.047
medium_variant,903,2050,3.016
medium_variant,903,2051,2.986
medium_variant,903,2052,2.957
medium_variant,903,2053,2.928
medium_variant,903,2054,2.899
medium_variant,903,2055,2.872
medium_variant,903,2056,2.845
medium_variant,903,2057,2.818
medium_variant,903,2058,2.793
medium_variant,903,2059,2.768
medium_variant,903,2060,2.744
medium_variant,903,2061,2.72
medium_variant,903,2062,2.697
medium_variant,903,2063,2.675
medium_variant,903,2064,2.653
medium_variant,903,2065,2.632
medium_variant,903,2066,2.611
medium_variant,903,2067,2.59
medium_variant,903,2068,2.57
medium_variant,903,2069,2.551
medium_variant,903,2070,2.531
medium_variant,903,2071,2.513
medium_variant,903,2072,2.494
medium_variant,903,2073,2.476
medium_variant,903,2074,2.459
medium_variant,903,2075,2.442
medium_variant,903,2076,2.425
medium_variant,903,2077,2.409
medium_variant,903,2078,2.393
medium_variant,903,2079,2.377
medium_variant,903,2080,2.362
medium_variant,903,2081,2.347
medium_variant,903,2082,2.332
medium_variant,903,2083,2.318
medium_variant,903,2084,2.304
medium_variant,903,2085,2.29
medium_variant,903,2086,2.277
medium_variant,903,2087,2.264
medium_variant,903,2088,2.251
medium_variant,903,2089,2.238
medium_variant,903,2090,2.226
medium_variant,903,2091,2.213
medium_variant,903,2092,2.201
medium_variant,903,2093,2.189
medium_variant,903,2094,2.178
medium_variant,903,2095,2.166
medium_variant,903,2096,2.155
medium_variant,903,2097,2.144
medium_variant,903,2098,2.133
medium_variant,903,2099,2.123
