variant,country,year,lifeexpectancyatbirth,gender
estimates,148,1950,32.75,male
estimates,148,1951,32.914,male
estimates,148,1952,33.242,male
estimates,148,1953,33.574,male
estimates,148,1954,33.907,male
estimates,148,1955,34.244,male
estimates,148,1956,34.582,male
estimates,148,1957,34.923,male
estimates,148,1958,35.266,male
estimates,148,1959,35.61,male
estimates,148,1960,35.956,male
estimates,148,1961,36.304,male
estimates,148,1962,36.655,male
estimates,148,1963,37.01,male
estimates,148,1964,37.373,male
estimates,148,1965,37.752,male
estimates,148,1966,38.156,male
estimates,148,1967,38.587,male
estimates,148,1968,39.045,male
estimates,148,1969,39.522,male
estimates,148,1970,40.01,male
estimates,148,1971,40.494,male
estimates,148,1972,40.962,male
estimates,148,1973,41.403,male
estimates,148,1974,41.811,male
estimates,148,1975,42.182,male
estimates,148,1976,42.517,male
estimates,148,1977,42.825,male
estimates,148,1978,43.113,male
estimates,148,1979,43.387,male
estimates,148,1980,43.654,male
estimates,148,1981,43.921,male
estimates,148,1982,44.192,male
estimates,148,1983,44.465,male
estimates,148,1984,44.736,male
estimates,148,1985,44.995,male
estimates,148,1986,45.229,male
estimates,148,1987,45.429,male
estimates,148,1988,45.588,male
estimates,148,1989,45.709,male
estimates,148,1990,45.798,male
estimates,148,1991,45.869,male
estimates,148,1992,45.936,male
estimates,148,1993,46.01,male
estimates,148,1994,46.094,male
estimates,148,1995,46.187,male
estimates,148,1996,46.279,male
estimates,148,1997,46.361,male
estimates,148,1998,46.431,male
estimates,148,1999,46.493,male
estimates,148,2000,46.554,male
estimates,148,2001,46.626,male
estimates,148,2002,46.719,male
estimates,148,2003,46.847,male
estimates,148,2004,47.019,male
estimates,148,2005,47.248,male
estimates,148,2006,47.545,male
estimates,148,2007,47.905,male
estimates,148,2008,48.321,male
estimates,148,2009,48.778,male
estimates,148,2010,49.26,male
estimates,148,2011,49.742,male
estimates,148,2012,50.205,male
estimates,148,2013,50.635,male
estimates,148,2014,51.024,male
estimates,148,2015,51.372,male
medium_variant,148,2015,51.372,male
medium_variant,148,2016,51.685,male
medium_variant,148,2017,51.981,male
medium_variant,148,2018,52.274,male
medium_variant,148,2019,52.569,male
medium_variant,148,2020,52.87,male
medium_variant,148,2021,53.177,male
medium_variant,148,2022,53.488,male
medium_variant,148,2023,53.798,male
medium_variant,148,2024,54.109,male
medium_variant,148,2025,54.419,male
medium_variant,148,2026,54.729,male
medium_variant,148,2027,55.037,male
medium_variant,148,2028,55.343,male
medium_variant,148,2029,55.647,male
medium_variant,148,2030,55.949,male
medium_variant,148,2031,56.247,male
medium_variant,148,2032,56.544,male
medium_variant,148,2033,56.837,male
medium_variant,148,2034,57.129,male
medium_variant,148,2035,57.418,male
medium_variant,148,2036,57.706,male
medium_variant,148,2037,57.993,male
medium_variant,148,2038,58.278,male
medium_variant,148,2039,58.561,male
medium_variant,148,2040,58.842,male
medium_variant,148,2041,59.12,male
medium_variant,148,2042,59.393,male
medium_variant,148,2043,59.663,male
medium_variant,148,2044,59.928,male
medium_variant,148,2045,60.188,male
medium_variant,148,2046,60.445,male
medium_variant,148,2047,60.699,male
medium_variant,148,2048,60.951,male
medium_variant,148,2049,61.2,male
medium_variant,148,2050,61.447,male
medium_variant,148,2051,61.691,male
medium_variant,148,2052,61.933,male
medium_variant,148,2053,62.17,male
medium_variant,148,2054,62.404,male
medium_variant,148,2055,62.634,male
medium_variant,148,2056,62.861,male
medium_variant,148,2057,63.084,male
medium_variant,148,2058,63.304,male
medium_variant,148,2059,63.52,male
medium_variant,148,2060,63.732,male
medium_variant,148,2061,63.939,male
medium_variant,148,2062,64.141,male
medium_variant,148,2063,64.338,male
medium_variant,148,2064,64.53,male
medium_variant,148,2065,64.719,male
medium_variant,148,2066,64.904,male
medium_variant,148,2067,65.086,male
medium_variant,148,2068,65.266,male
medium_variant,148,2069,65.445,male
medium_variant,148,2070,65.621,male
medium_variant,148,2071,65.795,male
medium_variant,148,2072,65.965,male
medium_variant,148,2073,66.132,male
medium_variant,148,2074,66.295,male
medium_variant,148,2075,66.455,male
medium_variant,148,2076,66.612,male
medium_variant,148,2077,66.767,male
medium_variant,148,2078,66.92,male
medium_variant,148,2079,67.072,male
medium_variant,148,2080,67.222,male
medium_variant,148,2081,67.371,male
medium_variant,148,2082,67.518,male
medium_variant,148,2083,67.663,male
medium_variant,148,2084,67.805,male
medium_variant,148,2085,67.946,male
medium_variant,148,2086,68.085,male
medium_variant,148,2087,68.223,male
medium_variant,148,2088,68.359,male
medium_variant,148,2089,68.494,male
medium_variant,148,2090,68.628,male
medium_variant,148,2091,68.762,male
medium_variant,148,2092,68.895,male
medium_variant,148,2093,69.027,male
medium_variant,148,2094,69.16,male
medium_variant,148,2095,69.292,male
medium_variant,148,2096,69.423,male
medium_variant,148,2097,69.555,male
medium_variant,148,2098,69.686,male
medium_variant,148,2099,69.817,male
estimates,148,1950,38.618,female
estimates,148,1951,38.691,female
estimates,148,1952,38.839,female
estimates,148,1953,38.993,female
estimates,148,1954,39.152,female
estimates,148,1955,39.315,female
estimates,148,1956,39.483,female
estimates,148,1957,39.653,female
estimates,148,1958,39.826,female
estimates,148,1959,39.997,female
estimates,148,1960,40.163,female
estimates,148,1961,40.323,female
estimates,148,1962,40.477,female
estimates,148,1963,40.629,female
estimates,148,1964,40.787,female
estimates,148,1965,40.97,female
estimates,148,1966,41.199,female
estimates,148,1967,41.487,female
estimates,148,1968,41.835,female
estimates,148,1969,42.235,female
estimates,148,1970,42.666,female
estimates,148,1971,43.101,female
estimates,148,1972,43.511,female
estimates,148,1973,43.878,female
estimates,148,1974,44.195,female
estimates,148,1975,44.467,female
estimates,148,1976,44.709,female
estimates,148,1977,44.945,female
estimates,148,1978,45.193,female
estimates,148,1979,45.458,female
estimates,148,1980,45.741,female
estimates,148,1981,46.038,female
estimates,148,1982,46.338,female
estimates,148,1983,46.629,female
estimates,148,1984,46.906,female
estimates,148,1985,47.163,female
estimates,148,1986,47.397,female
estimates,148,1987,47.606,female
estimates,148,1988,47.794,female
estimates,148,1989,47.959,female
estimates,148,1990,48.106,female
estimates,148,1991,48.24,female
estimates,148,1992,48.366,female
estimates,148,1993,48.485,female
estimates,148,1994,48.596,female
estimates,148,1995,48.687,female
estimates,148,1996,48.745,female
estimates,148,1997,48.763,female
estimates,148,1998,48.744,female
estimates,148,1999,48.698,female
estimates,148,2000,48.638,female
estimates,148,2001,48.584,female
estimates,148,2002,48.556,female
estimates,148,2003,48.577,female
estimates,148,2004,48.666,female
estimates,148,2005,48.846,female
estimates,148,2006,49.138,female
estimates,148,2007,49.537,female
estimates,148,2008,50.028,female
estimates,148,2009,50.593,female
estimates,148,2010,51.2,female
estimates,148,2011,51.813,female
estimates,148,2012,52.398,female
estimates,148,2013,52.93,female
estimates,148,2014,53.396,female
estimates,148,2015,53.795,female
medium_variant,148,2015,53.795,female
medium_variant,148,2016,54.138,female
medium_variant,148,2017,54.455,female
medium_variant,148,2018,54.766,female
medium_variant,148,2019,55.083,female
medium_variant,148,2020,55.41,female
medium_variant,148,2021,55.748,female
medium_variant,148,2022,56.091,female
medium_variant,148,2023,56.435,female
medium_variant,148,2024,56.778,female
medium_variant,148,2025,57.123,female
medium_variant,148,2026,57.466,female
medium_variant,148,2027,57.809,female
medium_variant,148,2028,58.151,female
medium_variant,148,2029,58.49,female
medium_variant,148,2030,58.828,female
medium_variant,148,2031,59.163,female
medium_variant,148,2032,59.495,female
medium_variant,148,2033,59.825,female
medium_variant,148,2034,60.152,female
medium_variant,148,2035,60.477,female
medium_variant,148,2036,60.801,female
medium_variant,148,2037,61.124,female
medium_variant,148,2038,61.446,female
medium_variant,148,2039,61.767,female
medium_variant,148,2040,62.085,female
medium_variant,148,2041,62.401,female
medium_variant,148,2042,62.714,female
medium_variant,148,2043,63.022,female
medium_variant,148,2044,63.326,female
medium_variant,148,2045,63.627,female
medium_variant,148,2046,63.924,female
medium_variant,148,2047,64.22,female
medium_variant,148,2048,64.513,female
medium_variant,148,2049,64.804,female
medium_variant,148,2050,65.093,female
medium_variant,148,2051,65.379,female
medium_variant,148,2052,65.661,female
medium_variant,148,2053,65.939,female
medium_variant,148,2054,66.212,female
medium_variant,148,2055,66.481,female
medium_variant,148,2056,66.745,female
medium_variant,148,2057,67.004,female
medium_variant,148,2058,67.26,female
medium_variant,148,2059,67.513,female
medium_variant,148,2060,67.762,female
medium_variant,148,2061,68.01,female
medium_variant,148,2062,68.255,female
medium_variant,148,2063,68.498,female
medium_variant,148,2064,68.738,female
medium_variant,148,2065,68.975,female
medium_variant,148,2066,69.208,female
medium_variant,148,2067,69.436,female
medium_variant,148,2068,69.659,female
medium_variant,148,2069,69.876,female
medium_variant,148,2070,70.089,female
medium_variant,148,2071,70.298,female
medium_variant,148,2072,70.503,female
medium_variant,148,2073,70.707,female
medium_variant,148,2074,70.908,female
medium_variant,148,2075,71.108,female
medium_variant,148,2076,71.307,female
medium_variant,148,2077,71.504,female
medium_variant,148,2078,71.698,female
medium_variant,148,2079,71.891,female
medium_variant,148,2080,72.082,female
medium_variant,148,2081,72.272,female
medium_variant,148,2082,72.46,female
medium_variant,148,2083,72.646,female
medium_variant,148,2084,72.831,female
medium_variant,148,2085,73.014,female
medium_variant,148,2086,73.194,female
medium_variant,148,2087,73.371,female
medium_variant,148,2088,73.545,female
medium_variant,148,2089,73.717,female
medium_variant,148,2090,73.886,female
medium_variant,148,2091,74.054,female
medium_variant,148,2092,74.22,female
medium_variant,148,2093,74.386,female
medium_variant,148,2094,74.551,female
medium_variant,148,2095,74.716,female
medium_variant,148,2096,74.882,female
medium_variant,148,2097,75.047,female
medium_variant,148,2098,75.213,female
medium_variant,148,2099,75.379,female
