variant,country,year,lifeexpectancyatbirth,gender
estimates,180,1950,36.889,male
estimates,180,1951,37.078,male
estimates,180,1952,37.444,male
estimates,180,1953,37.789,male
estimates,180,1954,38.111,male
estimates,180,1955,38.412,male
estimates,180,1956,38.691,male
estimates,180,1957,38.951,male
estimates,180,1958,39.193,male
estimates,180,1959,39.421,male
estimates,180,1960,39.64,male
estimates,180,1961,39.855,male
estimates,180,1962,40.072,male
estimates,180,1963,40.298,male
estimates,180,1964,40.538,male
estimates,180,1965,40.8,male
estimates,180,1966,41.092,male
estimates,180,1967,41.411,male
estimates,180,1968,41.752,male
estimates,180,1969,42.107,male
estimates,180,1970,42.46,male
estimates,180,1971,42.793,male
estimates,180,1972,43.092,male
estimates,180,1973,43.352,male
estimates,180,1974,43.575,male
estimates,180,1975,43.771,male
estimates,180,1976,43.96,male
estimates,180,1977,44.16,male
estimates,180,1978,44.386,male
estimates,180,1979,44.64,male
estimates,180,1980,44.918,male
estimates,180,1981,45.208,male
estimates,180,1982,45.495,male
estimates,180,1983,45.766,male
estimates,180,1984,46.02,male
estimates,180,1985,46.263,male
estimates,180,1986,46.512,male
estimates,180,1987,46.776,male
estimates,180,1988,47.055,male
estimates,180,1989,47.338,male
estimates,180,1990,47.592,male
estimates,180,1991,47.772,male
estimates,180,1992,47.858,male
estimates,180,1993,47.85,male
estimates,180,1994,47.769,male
estimates,180,1995,47.663,male
estimates,180,1996,47.595,male
estimates,180,1997,47.623,male
estimates,180,1998,47.79,male
estimates,180,1999,48.114,male
estimates,180,2000,48.598,male
estimates,180,2001,49.223,male
estimates,180,2002,49.939,male
estimates,180,2003,50.698,male
estimates,180,2004,51.47,male
estimates,180,2005,52.229,male
estimates,180,2006,52.957,male
estimates,180,2007,53.651,male
estimates,180,2008,54.307,male
estimates,180,2009,54.917,male
estimates,180,2010,55.477,male
estimates,180,2011,55.988,male
estimates,180,2012,56.461,male
estimates,180,2013,56.908,male
estimates,180,2014,57.333,male
estimates,180,2015,57.742,male
medium_variant,180,2015,57.742,male
medium_variant,180,2016,58.141,male
medium_variant,180,2017,58.532,male
medium_variant,180,2018,58.918,male
medium_variant,180,2019,59.301,male
medium_variant,180,2020,59.684,male
medium_variant,180,2021,60.067,male
medium_variant,180,2022,60.447,male
medium_variant,180,2023,60.822,male
medium_variant,180,2024,61.192,male
medium_variant,180,2025,61.557,male
medium_variant,180,2026,61.917,male
medium_variant,180,2027,62.271,male
medium_variant,180,2028,62.619,male
medium_variant,180,2029,62.96,male
medium_variant,180,2030,63.294,male
medium_variant,180,2031,63.62,male
medium_variant,180,2032,63.938,male
medium_variant,180,2033,64.249,male
medium_variant,180,2034,64.551,male
medium_variant,180,2035,64.845,male
medium_variant,180,2036,65.131,male
medium_variant,180,2037,65.41,male
medium_variant,180,2038,65.681,male
medium_variant,180,2039,65.945,male
medium_variant,180,2040,66.202,male
medium_variant,180,2041,66.452,male
medium_variant,180,2042,66.696,male
medium_variant,180,2043,66.932,male
medium_variant,180,2044,67.163,male
medium_variant,180,2045,67.387,male
medium_variant,180,2046,67.606,male
medium_variant,180,2047,67.819,male
medium_variant,180,2048,68.027,male
medium_variant,180,2049,68.231,male
medium_variant,180,2050,68.43,male
medium_variant,180,2051,68.626,male
medium_variant,180,2052,68.819,male
medium_variant,180,2053,69.009,male
medium_variant,180,2054,69.196,male
medium_variant,180,2055,69.381,male
medium_variant,180,2056,69.564,male
medium_variant,180,2057,69.743,male
medium_variant,180,2058,69.92,male
medium_variant,180,2059,70.093,male
medium_variant,180,2060,70.264,male
medium_variant,180,2061,70.433,male
medium_variant,180,2062,70.599,male
medium_variant,180,2063,70.763,male
medium_variant,180,2064,70.924,male
medium_variant,180,2065,71.085,male
medium_variant,180,2066,71.244,male
medium_variant,180,2067,71.402,male
medium_variant,180,2068,71.559,male
medium_variant,180,2069,71.716,male
medium_variant,180,2070,71.874,male
medium_variant,180,2071,72.033,male
medium_variant,180,2072,72.193,male
medium_variant,180,2073,72.355,male
medium_variant,180,2074,72.517,male
medium_variant,180,2075,72.681,male
medium_variant,180,2076,72.843,male
medium_variant,180,2077,73.004,male
medium_variant,180,2078,73.163,male
medium_variant,180,2079,73.321,male
medium_variant,180,2080,73.478,male
medium_variant,180,2081,73.635,male
medium_variant,180,2082,73.795,male
medium_variant,180,2083,73.957,male
medium_variant,180,2084,74.123,male
medium_variant,180,2085,74.29,male
medium_variant,180,2086,74.46,male
medium_variant,180,2087,74.631,male
medium_variant,180,2088,74.801,male
medium_variant,180,2089,74.97,male
medium_variant,180,2090,75.139,male
medium_variant,180,2091,75.308,male
medium_variant,180,2092,75.476,male
medium_variant,180,2093,75.645,male
medium_variant,180,2094,75.815,male
medium_variant,180,2095,75.986,male
medium_variant,180,2096,76.158,male
medium_variant,180,2097,76.332,male
medium_variant,180,2098,76.506,male
medium_variant,180,2099,76.682,male
estimates,180,1950,39.712,female
estimates,180,1951,39.9,female
estimates,180,1952,40.264,female
estimates,180,1953,40.608,female
estimates,180,1954,40.929,female
