variant,country,year,totaldeaths,gender
Medium_variant,860,2033,74.126,female
Medium_variant,860,2034,66.887,male
Medium_variant,860,2034,74.235,female
Medium_variant,860,2035,66.972,male
Medium_variant,860,2035,74.344,female
Medium_variant,860,2036,67.058,male
Medium_variant,860,2036,74.454,female
Medium_variant,860,2037,67.144,male
Medium_variant,860,2037,74.564,female
Medium_variant,860,2038,67.231,male
Medium_variant,860,2038,74.674,female
Medium_variant,860,2039,67.319,male
Medium_variant,860,2039,74.785,female
Medium_variant,860,2040,67.408,male
Medium_variant,860,2040,74.896,female
Medium_variant,860,2041,67.5,male
Medium_variant,860,2041,75.01,female
Medium_variant,860,2042,67.594,male
Medium_variant,860,2042,75.125,female
Medium_variant,860,2043,67.691,male
Medium_variant,860,2043,75.243,female
Medium_variant,860,2044,67.791,male
Medium_variant,860,2044,75.361,female
Medium_variant,860,2045,67.894,male
Medium_variant,860,2045,75.481,female
Medium_variant,860,2046,67.999,male
Medium_variant,860,2046,75.6,female
Medium_variant,860,2047,68.105,male
Medium_variant,860,2047,75.718,female
Medium_variant,860,2048,68.211,male
Medium_variant,860,2048,75.835,female
Medium_variant,860,2049,68.318,male
Medium_variant,860,2049,75.949,female
Medium_variant,860,2050,68.425,male
Medium_variant,860,2050,76.06,female
Medium_variant,860,2051,68.53,male
Medium_variant,860,2051,76.17,female
Medium_variant,860,2052,68.634,male
Medium_variant,860,2052,76.278,female
Medium_variant,860,2053,68.738,male
Medium_variant,860,2053,76.384,female
Medium_variant,860,2054,68.842,male
Medium_variant,860,2054,76.491,female
Medium_variant,860,2055,68.946,male
Medium_variant,860,2055,76.597,female
Medium_variant,860,2056,69.051,male
Medium_variant,860,2056,76.703,female
Medium_variant,860,2057,69.159,male
Medium_variant,860,2057,76.809,female
Medium_variant,860,2058,69.268,male
Medium_variant,860,2058,76.915,female
Medium_variant,860,2059,69.38,male
Medium_variant,860,2059,77.021,female
Medium_variant,860,2060,69.495,male
Medium_variant,860,2060,77.127,female
Medium_variant,860,2061,69.611,male
Medium_variant,860,2061,77.232,female
Medium_variant,860,2062,69.728,male
Medium_variant,860,2062,77.336,female
Medium_variant,860,2063,69.845,male
Medium_variant,860,2063,77.44,female
Medium_variant,860,2064,69.963,male
Medium_variant,860,2064,77.543,female
Medium_variant,860,2065,70.081,male
Medium_variant,860,2065,77.645,female
Medium_variant,860,2066,70.199,male
Medium_variant,860,2066,77.748,female
Medium_variant,860,2067,70.318,male
Medium_variant,860,2067,77.851,female
Medium_variant,860,2068,70.439,male
Medium_variant,860,2068,77.956,female
Medium_variant,860,2069,70.561,male
Medium_variant,860,2069,78.061,female
Medium_variant,860,2070,70.686,male
Medium_variant,860,2070,78.167,female
Medium_variant,860,2071,70.815,male
Medium_variant,860,2071,78.272,female
Medium_variant,860,2072,70.948,male
Medium_variant,860,2072,78.377,female
Medium_variant,860,2073,71.084,male
Medium_variant,860,2073,78.481,female
Medium_variant,860,2074,71.223,male
Medium_variant,860,2074,78.582,female
Medium_variant,860,2075,71.364,male
Medium_variant,860,2075,78.681,female
Medium_variant,860,2076,71.503,male
Medium_variant,860,2076,78.777,female
Medium_variant,860,2077,71.64,male
Medium_variant,860,2077,78.869,female
Medium_variant,860,2078,71.773,male
Medium_variant,860,2078,78.959,female
Medium_variant,860,2079,71.904,male
Medium_variant,860,2079,79.047,female
Medium_variant,860,2080,72.034,male
Medium_variant,860,2080,79.135,female
Medium_variant,860,2081,72.165,male
Medium_variant,860,2081,79.226,female
Medium_variant,860,2082,72.301,male
Medium_variant,860,2082,79.321,female
Medium_variant,860,2083,72.443,male
Medium_variant,860,2083,79.421,female
Medium_variant,860,2084,72.591,male
Medium_variant,860,2084,79.527,female
Medium_variant,860,2085,72.745,male
Medium_variant,860,2085,79.636,female
Medium_variant,860,2086,72.904,male
Medium_variant,860,2086,79.746,female
Medium_variant,860,2087,73.066,male
Medium_variant,860,2087,79.857,female
Medium_variant,860,2088,73.229,male
Medium_variant,860,2088,79.965,female
Medium_variant,860,2089,73.39,male
Medium_variant,860,2089,80.071,female
Medium_variant,860,2090,73.549,male
Medium_variant,860,2090,80.174,female
Medium_variant,860,2091,73.704,male
Medium_variant,860,2091,80.274,female
Medium_variant,860,2092,73.856,male
Medium_variant,860,2092,80.374,female
Medium_variant,860,2093,74.002,male
Medium_variant,860,2093,80.472,female
