variant,country,year,lifeexpectancyatbirth,gender
estimates,254,1950,49.322,male
estimates,254,1951,49.569,male
estimates,254,1952,50.066,male
estimates,254,1953,50.567,male
estimates,254,1954,51.073,male
estimates,254,1955,51.585,male
estimates,254,1956,52.108,male
estimates,254,1957,52.647,male
estimates,254,1958,53.213,male
estimates,254,1959,53.825,male
estimates,254,1960,54.502,male
estimates,254,1961,55.262,male
estimates,254,1962,56.112,male
estimates,254,1963,57.046,male
estimates,254,1964,58.034,male
estimates,254,1965,59.024,male
estimates,254,1966,59.953,male
estimates,254,1967,60.767,male
estimates,254,1968,61.43,male
estimates,254,1969,61.928,male
estimates,254,1970,62.258,male
estimates,254,1971,62.435,male
estimates,254,1972,62.514,male
estimates,254,1973,62.551,male
estimates,254,1974,62.585,male
estimates,254,1975,62.663,male
estimates,254,1976,62.824,male
estimates,254,1977,63.08,male
estimates,254,1978,63.433,male
estimates,254,1979,63.883,male
estimates,254,1980,64.413,male
estimates,254,1981,64.995,male
estimates,254,1982,65.59,male
estimates,254,1983,66.162,male
estimates,254,1984,66.695,male
estimates,254,1985,67.18,male
estimates,254,1986,67.618,male
estimates,254,1987,68.026,male
estimates,254,1988,68.417,male
estimates,254,1989,68.793,male
estimates,254,1990,69.157,male
estimates,254,1991,69.508,male
estimates,254,1992,69.846,male
estimates,254,1993,70.172,male
estimates,254,1994,70.486,male
estimates,254,1995,70.787,male
estimates,254,1996,71.07,male
estimates,254,1997,71.337,male
estimates,254,1998,71.592,male
estimates,254,1999,71.843,male
estimates,254,2000,72.104,male
estimates,254,2001,72.393,male
estimates,254,2002,72.718,male
estimates,254,2003,73.082,male
estimates,254,2004,73.478,male
estimates,254,2005,73.893,male
estimates,254,2006,74.304,male
estimates,254,2007,74.69,male
estimates,254,2008,75.037,male
estimates,254,2009,75.339,male
estimates,254,2010,75.599,male
estimates,254,2011,75.827,male
estimates,254,2012,76.041,male
estimates,254,2013,76.255,male
estimates,254,2014,76.475,male
estimates,254,2015,76.706,male
medium_variant,254,2015,76.706,male
medium_variant,254,2016,76.948,male
medium_variant,254,2017,77.194,male
medium_variant,254,2018,77.441,male
medium_variant,254,2019,77.688,male
medium_variant,254,2020,77.935,male
medium_variant,254,2021,78.183,male
medium_variant,254,2022,78.432,male
medium_variant,254,2023,78.681,male
medium_variant,254,2024,78.929,male
medium_variant,254,2025,79.174,male
medium_variant,254,2026,79.417,male
medium_variant,254,2027,79.654,male
medium_variant,254,2028,79.885,male
medium_variant,254,2029,80.108,male
medium_variant,254,2030,80.323,male
medium_variant,254,2031,80.529,male
medium_variant,254,2032,80.727,male
medium_variant,254,2033,80.917,male
medium_variant,254,2034,81.1,male
medium_variant,254,2035,81.275,male
medium_variant,254,2036,81.443,male
medium_variant,254,2037,81.605,male
medium_variant,254,2038,81.761,male
medium_variant,254,2039,81.912,male
medium_variant,254,2040,82.059,male
medium_variant,254,2041,82.203,male
medium_variant,254,2042,82.344,male
medium_variant,254,2043,82.482,male
medium_variant,254,2044,82.619,male
medium_variant,254,2045,82.754,male
medium_variant,254,2046,82.89,male
medium_variant,254,2047,83.026,male
medium_variant,254,2048,83.162,male
