variant,continent,year,totaldeaths
estimates,903,1950,6450.815
estimates,903,1951,6453.888
estimates,903,1952,6461.676
estimates,903,1953,6472.739
estimates,903,1954,6487.086
estimates,903,1955,6504.719
estimates,903,1956,6525.682
estimates,903,1957,6550.008
estimates,903,1958,6577.779
estimates,903,1959,6609.143
estimates,903,1960,6644.245
estimates,903,1961,6683.221
estimates,903,1962,6726.13
estimates,903,1963,6772.92
estimates,903,1964,6823.38
estimates,903,1965,6877.298
estimates,903,1966,6934.442
estimates,903,1967,6994.392
estimates,903,1968,7056.667
estimates,903,1969,7120.811
estimates,903,1970,7186.167
estimates,903,1971,7252.128
estimates,903,1972,7318.595
estimates,903,1973,7385.743
estimates,903,1974,7453.845
estimates,903,1975,7523.326
estimates,903,1976,7594.728
estimates,903,1977,7668.879
estimates,903,1978,7746.617
estimates,903,1979,7828.604
estimates,903,1980,7914.297
estimates,903,1981,8002.587
estimates,903,1982,8093.494
estimates,903,1983,8188.244
estimates,903,1984,8289.079
estimates,903,1985,8401.065
estimates,903,1986,8530.11
estimates,903,1987,8678.872
estimates,903,1988,8847.381
estimates,903,1989,9033.381
estimates,903,1990,9232.325
estimates,903,1991,9437.967
estimates,903,1992,9642.71
estimates,903,1993,9839.883
estimates,903,1994,10025.329
estimates,903,1995,10198.783
estimates,903,1996,10363.096
estimates,903,1997,10521.255
estimates,903,1998,10673.257
estimates,903,1999,10815.164
estimates,903,2000,10938.864
estimates,903,2001,11034.799
estimates,903,2002,11097.19
estimates,903,2003,11123.784
estimates,903,2004,11115.881
estimates,903,2005,11076.888
estimates,903,2006,11012.775
estimates,903,2007,10934.18
estimates,903,2008,10851.794
estimates,903,2009,10773.422
estimates,903,2010,10705.821
estimates,903,2011,10653.154
estimates,903,2012,10615.18
estimates,903,2013,10591.876
estimates,903,2014,10584.951
estimates,903,2015,10595.545
medium_variant,903,2015,10595.545
medium_variant,903,2016,10623.528
medium_variant,903,2017,10666.24
medium_variant,903,2018,10720.84
medium_variant,903,2019,10785.503
medium_variant,903,2020,10858.193
medium_variant,903,2021,10937.088
medium_variant,903,2022,11021.035
medium_variant,903,2023,11109.012
medium_variant,903,2024,11200.103
medium_variant,903,2025,11293.818
medium_variant,903,2026,11390.289
medium_variant,903,2027,11490.627
medium_variant,903,2028,11595.841
medium_variant,903,2029,11706.359
medium_variant,903,2030,11822.575
medium_variant,903,2031,11944.764
medium_variant,903,2032,12073.07
medium_variant,903,2033,12207.674
medium_variant,903,2034,12348.831
medium_variant,903,2035,12496.713
medium_variant,903,2036,12651.393
medium_variant,903,2037,12812.78
medium_variant,903,2038,12980.841
medium_variant,903,2039,13155.6
medium_variant,903,2040,13337.064
medium_variant,903,2041,13525.194
medium_variant,903,2042,13719.97
medium_variant,903,2043,13921.403
medium_variant,903,2044,14129.543
medium_variant,903,2045,14344.317
medium_variant,903,2046,14565.607
medium_variant,903,2047,14793.512
medium_variant,903,2048,15028.261
medium_variant,903,2049,15270.179
medium_variant,903,2050,15519.637
medium_variant,903,2051,15777.016
medium_variant,903,2052,16042.681
medium_variant,903,2053,16316.979
medium_variant,903,2054,16600.195
medium_variant,903,2055,16892.659
medium_variant,903,2056,17194.554
medium_variant,903,2057,17505.732
medium_variant,903,2058,17825.939
medium_variant,903,2059,18154.962
medium_variant,903,2060,18492.553
medium_variant,903,2061,18838.422
medium_variant,903,2062,19192.233
medium_variant,903,2063,19553.61
medium_variant,903,2064,19922.263
medium_variant,903,2065,20298.07
medium_variant,903,2066,20681.043
medium_variant,903,2067,21071.229
medium_variant,903,2068,21468.564
medium_variant,903,2069,21872.811
medium_variant,903,2070,22283.842
medium_variant,903,2071,22701.584
medium_variant,903,2072,23125.826
medium_variant,903,2073,23556.199
medium_variant,903,2074,23992.243
medium_variant,903,2075,24433.407
medium_variant,903,2076,24879.145
medium_variant,903,2077,25329.196
medium_variant,903,2078,25783.375
medium_variant,903,2079,26241.568
medium_variant,903,2080,26703.964
medium_variant,903,2081,27170.983
medium_variant,903,2082,27643.039
medium_variant,903,2083,28120.334
medium_variant,903,2084,28602.771
medium_variant,903,2085,29090.291
medium_variant,903,2086,29582.743
medium_variant,903,2087,30079.623
medium_variant,903,2088,30580.256
medium_variant,903,2089,31084.02
medium_variant,903,2090,31590.276
medium_variant,903,2091,32098.484
medium_variant,903,2092,32608.228
medium_variant,903,2093,33119.173
medium_variant,903,2094,33631.102
medium_variant,903,2095,34143.852
medium_variant,903,2096,34657.336
medium_variant,903,2097,35171.526
medium_variant,903,2098,35686.407
medium_variant,903,2099,36201.998
