variant,continent,year,totaldeaths
estimates,908,1950,6448.759
estimates,908,1951,6403.138
estimates,908,1952,6316.413
estimates,908,1953,6238.736
estimates,908,1954,6170.1
estimates,908,1955,6110.617
estimates,908,1956,6060.641
estimates,908,1957,6020.544
estimates,908,1958,5991.105
estimates,908,1959,5973.74
estimates,908,1960,5969.947
estimates,908,1961,5981.065
estimates,908,1962,6008.017
estimates,908,1963,6050.647
estimates,908,1964,6107.472
estimates,908,1965,6176.153
estimates,908,1966,6253.801
estimates,908,1967,6336.929
estimates,908,1968,6422.302
estimates,908,1969,6507.63
estimates,908,1970,6591.587
estimates,908,1971,6674.079
estimates,908,1972,6756.249
estimates,908,1973,6838.772
estimates,908,1974,6921.115
estimates,908,1975,7003.494
estimates,908,1976,7086.449
estimates,908,1977,7169.527
estimates,908,1978,7251.436
estimates,908,1979,7330.298
estimates,908,1980,7401.345
estimates,908,1981,7459.075
estimates,908,1982,7501.699
estimates,908,1983,7530.282
estimates,908,1984,7548.132
estimates,908,1985,7563.091
estimates,908,1986,7585.192
estimates,908,1987,7622.254
estimates,908,1988,7678.731
estimates,908,1989,7754.873
estimates,908,1990,7847.297
estimates,908,1991,7949.247
estimates,908,1992,8050.879
estimates,908,1993,8143.919
estimates,908,1994,8224.281
estimates,908,1995,8290.19
estimates,908,1996,8342.593
estimates,908,1997,8385.298
estimates,908,1998,8420.966
estimates,908,1999,8449.466
estimates,908,2000,8469.433
estimates,908,2001,8478.883
estimates,908,2002,8476.659
estimates,908,2003,8462.669
estimates,908,2004,8437.937
estimates,908,2005,8402.762
estimates,908,2006,8357.526
estimates,908,2007,8305.117
estimates,908,2008,8249.747
estimates,908,2009,8195.922
estimates,908,2010,8150.119
estimates,908,2011,8118.766
estimates,908,2012,8104.753
estimates,908,2013,8109.053
estimates,908,2014,8131.252
estimates,908,2015,8168.541
medium_variant,908,2015,8168.541
medium_variant,908,2016,8216.039
medium_variant,908,2017,8267.081
medium_variant,908,2018,8316.096
medium_variant,908,2019,8360.201
medium_variant,908,2020,8397.745
medium_variant,908,2021,8428.847
medium_variant,908,2022,8456.352
medium_variant,908,2023,8482.765
medium_variant,908,2024,8508.96
medium_variant,908,2025,8535.748
medium_variant,908,2026,8563.768
medium_variant,908,2027,8593.408
medium_variant,908,2028,8625.091
medium_variant,908,2029,8659.331
medium_variant,908,2030,8696.778
medium_variant,908,2031,8737.934
medium_variant,908,2032,8782.54
medium_variant,908,2033,8830.08
medium_variant,908,2034,8880.016
medium_variant,908,2035,8931.781
medium_variant,908,2036,8984.78
medium_variant,908,2037,9038.106
medium_variant,908,2038,9090.747
medium_variant,908,2039,9141.762
medium_variant,908,2040,9190.417
medium_variant,908,2041,9236.278
medium_variant,908,2042,9279.24
medium_variant,908,2043,9319.06
medium_variant,908,2044,9355.248
medium_variant,908,2045,9387.334
medium_variant,908,2046,9415.01
medium_variant,908,2047,9438.306
medium_variant,908,2048,9457.312
medium_variant,908,2049,9472.033
medium_variant,908,2050,9482.621
medium_variant,908,2051,9489.343
medium_variant,908,2052,9492.504
medium_variant,908,2053,9492.308
medium_variant,908,2054,9488.792
medium_variant,908,2055,9481.887
medium_variant,908,2056,9471.408
medium_variant,908,2057,9457.115
medium_variant,908,2058,9438.849
medium_variant,908,2059,9416.565
medium_variant,908,2060,9390.17
medium_variant,908,2061,9359.597
medium_variant,908,2062,9325.006
medium_variant,908,2063,9286.677
medium_variant,908,2064,9244.902
medium_variant,908,2065,9200.018
medium_variant,908,2066,9152.362
medium_variant,908,2067,9102.221
medium_variant,908,2068,9049.869
medium_variant,908,2069,8995.563
medium_variant,908,2070,8939.366
medium_variant,908,2071,8881.2
medium_variant,908,2072,8820.926
medium_variant,908,2073,8758.535
medium_variant,908,2074,8694.188
medium_variant,908,2075,8627.886
medium_variant,908,2076,8559.597
medium_variant,908,2077,8489.537
medium_variant,908,2078,8418.154
medium_variant,908,2079,8346
medium_variant,908,2080,8273.431
medium_variant,908,2081,8200.677
medium_variant,908,2082,8128.225
medium_variant,908,2083,8056.841
medium_variant,908,2084,7987.42
medium_variant,908,2085,7920.836
medium_variant,908,2086,7857.747
medium_variant,908,2087,7798.63
medium_variant,908,2088,7744.033
medium_variant,908,2089,7694.579
medium_variant,908,2090,7650.694
medium_variant,908,2091,7612.543
medium_variant,908,2092,7580.16
medium_variant,908,2093,7553.509
medium_variant,908,2094,7532.493
medium_variant,908,2095,7517.074
medium_variant,908,2096,7507.254
medium_variant,908,2097,7502.986
medium_variant,908,2098,7504.256
medium_variant,908,2099,7511.067
