variant,continent,year,totaldeaths
estimates,905,1950,1665.115
estimates,905,1951,1674.598
estimates,905,1952,1694.18
estimates,905,1953,1714.994
estimates,905,1954,1737.04
estimates,905,1955,1760.334
estimates,905,1956,1784.903
estimates,905,1957,1810.723
estimates,905,1958,1837.791
estimates,905,1959,1866.128
estimates,905,1960,1895.694
estimates,905,1961,1926.351
estimates,905,1962,1957.812
estimates,905,1963,1989.565
estimates,905,1964,2020.902
estimates,905,1965,2051.034
estimates,905,1966,2079.219
estimates,905,1967,2104.855
estimates,905,1968,2127.368
estimates,905,1969,2146.246
estimates,905,1970,2160.52
estimates,905,1971,2169.309
estimates,905,1972,2173.006
estimates,905,1973,2172.634
estimates,905,1974,2169.458
estimates,905,1975,2165.381
estimates,905,1976,2162.53
estimates,905,1977,2162.71
estimates,905,1978,2167.325
estimates,905,1979,2177.192
estimates,905,1980,2192.802
estimates,905,1981,2213.986
estimates,905,1982,2239.211
estimates,905,1983,2266.851
estimates,905,1984,2295.833
estimates,905,1985,2324.85
estimates,905,1986,2352.705
estimates,905,1987,2378.821
estimates,905,1988,2402.852
estimates,905,1989,2424.586
estimates,905,1990,2444.235
estimates,905,1991,2462.428
estimates,905,1992,2480.176
estimates,905,1993,2498.294
estimates,905,1994,2517.1
estimates,905,1995,2536.998
estimates,905,1996,2558.236
estimates,905,1997,2580.382
estimates,905,1998,2602.779
estimates,905,1999,2624.806
estimates,905,2000,2645.007
estimates,905,2001,2661.7
estimates,905,2002,2674.228
estimates,905,2003,2682.738
estimates,905,2004,2688.032
estimates,905,2005,2691.902
estimates,905,2006,2696.702
estimates,905,2007,2704.697
estimates,905,2008,2717.527
estimates,905,2009,2735.864
estimates,905,2010,2759.664
estimates,905,2011,2788.058
estimates,905,2012,2819.178
estimates,905,2013,2851.413
estimates,905,2014,2884.038
estimates,905,2015,2916.461
medium_variant,905,2015,2916.461
medium_variant,905,2016,2948.41
medium_variant,905,2017,2980.268
medium_variant,905,2018,3012.437
medium_variant,905,2019,3045.089
medium_variant,905,2020,3078.458
medium_variant,905,2021,3112.825
medium_variant,905,2022,3148.562
medium_variant,905,2023,3186.045
medium_variant,905,2024,3225.569
medium_variant,905,2025,3267.464
medium_variant,905,2026,3311.978
medium_variant,905,2027,3359.041
medium_variant,905,2028,3408.501
medium_variant,905,2029,3460.227
medium_variant,905,2030,3514.173
medium_variant,905,2031,3570.296
medium_variant,905,2032,3628.245
medium_variant,905,2033,3687.502
medium_variant,905,2034,3747.509
medium_variant,905,2035,3807.835
medium_variant,905,2036,3868.178
medium_variant,905,2037,3928.144
medium_variant,905,2038,3987.172
medium_variant,905,2039,4044.582
medium_variant,905,2040,4099.78
medium_variant,905,2041,4152.346
medium_variant,905,2042,4202.053
medium_variant,905,2043,4248.614
medium_variant,905,2044,4291.629
medium_variant,905,2045,4330.759
medium_variant,905,2046,4365.83
medium_variant,905,2047,4396.942
medium_variant,905,2048,4424.196
medium_variant,905,2049,4447.574
medium_variant,905,2050,4466.897
medium_variant,905,2051,4481.98
medium_variant,905,2052,4492.988
medium_variant,905,2053,4500.3
medium_variant,905,2054,4504.392
medium_variant,905,2055,4505.629
medium_variant,905,2056,4504.313
medium_variant,905,2057,4501.012
medium_variant,905,2058,4496.493
medium_variant,905,2059,4491.595
medium_variant,905,2060,4486.992
medium_variant,905,2061,4483.129
medium_variant,905,2062,4480.354
medium_variant,905,2063,4479.179
medium_variant,905,2064,4480.304
medium_variant,905,2065,4484.505
medium_variant,905,2066,4492.403
medium_variant,905,2067,4504.088
medium_variant,905,2068,4519.502
medium_variant,905,2069,4538.602
medium_variant,905,2070,4561.313
medium_variant,905,2071,4587.424
medium_variant,905,2072,4616.287
medium_variant,905,2073,4647.133
medium_variant,905,2074,4679.305
medium_variant,905,2075,4712.336
medium_variant,905,2076,4745.956
medium_variant,905,2077,4779.87
medium_variant,905,2078,4813.573
medium_variant,905,2079,4846.371
medium_variant,905,2080,4877.615
medium_variant,905,2081,4906.814
medium_variant,905,2082,4933.697
medium_variant,905,2083,4957.957
medium_variant,905,2084,4979.205
medium_variant,905,2085,4996.971
medium_variant,905,2086,5010.908
medium_variant,905,2087,5021.215
medium_variant,905,2088,5028.264
medium_variant,905,2089,5032.418
medium_variant,905,2090,5034.206
medium_variant,905,2091,5034.223
medium_variant,905,2092,5033.013
medium_variant,905,2093,5031.056
medium_variant,905,2094,5028.74
medium_variant,905,2095,5026.297
medium_variant,905,2096,5023.861
medium_variant,905,2097,5021.498
medium_variant,905,2098,5019.23
medium_variant,905,2099,5017.052
