variant,global,year,oldagedependencyratio1564
estimates,900,1950,8.414
estimates,900,1951,8.496
estimates,900,1952,8.55
estimates,900,1953,8.572
estimates,900,1954,8.562
estimates,900,1955,8.524
estimates,900,1956,8.605
estimates,900,1957,8.649
estimates,900,1958,8.663
estimates,900,1959,8.654
estimates,900,1960,8.626
estimates,900,1961,8.727
estimates,900,1962,8.803
estimates,900,1963,8.854
estimates,900,1964,8.877
estimates,900,1965,8.873
estimates,900,1966,8.99
estimates,900,1967,9.077
estimates,900,1968,9.141
estimates,900,1969,9.195
estimates,900,1970,9.243
estimates,900,1971,9.357
estimates,900,1972,9.452
estimates,900,1973,9.531
estimates,900,1974,9.597
estimates,900,1975,9.648
estimates,900,1976,9.757
estimates,900,1977,9.849
estimates,900,1978,9.916
estimates,900,1979,9.946
estimates,900,1980,9.934
estimates,900,1981,9.932
estimates,900,1982,9.889
estimates,900,1983,9.826
estimates,900,1984,9.769
estimates,900,1985,9.733
estimates,900,1986,9.767
estimates,900,1987,9.806
estimates,900,1988,9.853
estimates,900,1989,9.907
estimates,900,1990,9.967
estimates,900,1991,10.081
estimates,900,1992,10.192
estimates,900,1993,10.296
estimates,900,1994,10.386
estimates,900,1995,10.461
estimates,900,1996,10.568
estimates,900,1997,10.654
estimates,900,1998,10.726
estimates,900,1999,10.791
estimates,900,2000,10.854
estimates,900,2001,10.959
estimates,900,2002,11.057
estimates,900,2003,11.143
estimates,900,2004,11.209
estimates,900,2005,11.256
estimates,900,2006,11.33
estimates,900,2007,11.389
estimates,900,2008,11.447
estimates,900,2009,11.522
estimates,900,2010,11.625
estimates,900,2011,11.772
estimates,900,2012,11.935
estimates,900,2013,12.123
estimates,900,2014,12.344
estimates,900,2015,12.603
medium_variant,900,2015,12.603
medium_variant,900,2016,12.919
medium_variant,900,2017,13.266
medium_variant,900,2018,13.63
medium_variant,900,2019,13.99
medium_variant,900,2020,14.338
medium_variant,900,2021,14.689
medium_variant,900,2022,15.025
medium_variant,900,2023,15.356
medium_variant,900,2024,15.699
medium_variant,900,2025,16.062
medium_variant,900,2026,16.448
medium_variant,900,2027,16.843
medium_variant,900,2028,17.25
medium_variant,900,2029,17.67
medium_variant,900,2030,18.101
medium_variant,900,2031,18.533
medium_variant,900,2032,18.971
medium_variant,900,2033,19.414
medium_variant,900,2034,19.856
medium_variant,900,2035,20.295
medium_variant,900,2036,20.716
medium_variant,900,2037,21.132
medium_variant,900,2038,21.538
medium_variant,900,2039,21.924
medium_variant,900,2040,22.287
medium_variant,900,2041,22.604
medium_variant,900,2042,22.894
medium_variant,900,2043,23.175
medium_variant,900,2044,23.468
medium_variant,900,2045,23.784
medium_variant,900,2046,24.098
medium_variant,900,2047,24.428
medium_variant,900,2048,24.782
medium_variant,900,2049,25.166
medium_variant,900,2050,25.586
medium_variant,900,2051,26.016
medium_variant,900,2052,26.477
medium_variant,900,2053,26.955
medium_variant,900,2054,27.423
medium_variant,900,2055,27.861
medium_variant,900,2056,28.235
medium_variant,900,2057,28.581
medium_variant,900,2058,28.901
medium_variant,900,2059,29.194
medium_variant,900,2060,29.461
medium_variant,900,2061,29.66
medium_variant,900,2062,29.836
medium_variant,900,2063,29.998
medium_variant,900,2064,30.16
medium_variant,900,2065,30.33
medium_variant,900,2066,30.465
medium_variant,900,2067,30.614
medium_variant,900,2068,30.779
medium_variant,900,2069,30.96
medium_variant,900,2070,31.16
medium_variant,900,2071,31.326
medium_variant,900,2072,31.512
medium_variant,900,2073,31.723
medium_variant,900,2074,31.962
medium_variant,900,2075,32.229
medium_variant,900,2076,32.452
medium_variant,900,2077,32.703
medium_variant,900,2078,32.979
medium_variant,900,2079,33.272
medium_variant,900,2080,33.572
medium_variant,900,2081,33.813
medium_variant,900,2082,34.074
medium_variant,900,2083,34.344
medium_variant,900,2084,34.615
medium_variant,900,2085,34.886
medium_variant,900,2086,35.095
medium_variant,900,2087,35.31
medium_variant,900,2088,35.533
medium_variant,900,2089,35.767
medium_variant,900,2090,36.015
medium_variant,900,2091,36.188
medium_variant,900,2092,36.376
medium_variant,900,2093,36.582
medium_variant,900,2094,36.81
medium_variant,900,2095,37.06
medium_variant,900,2096,37.222
medium_variant,900,2097,37.414
medium_variant,900,2098,37.636
medium_variant,900,2099,37.883
medium_variant,900,2100,38.149
high_variant,900,2015,12.6034953449616
low_variant,900,2015,12.6034953449616
constant_fertility,900,2015,12.6034953449616
instant_replacement,900,2015,12.6034953449616
zero_migration,900,2015,12.6034953449616
constant_mortality,900,2015,12.6034953449616
no_change,900,2015,12.6034953449616
high_variant,900,2020,14.3376348575434
low_variant,900,2020,14.3376348575434
constant_fertility,900,2020,14.3376348575434
instant_replacement,900,2020,14.3376547634167
zero_migration,900,2020,14.3390634507712
constant_mortality,900,2020,14.1851549240733
no_change,900,2020,14.1851527158218
high_variant,900,2025,16.0623386895089
low_variant,900,2025,16.0623386895089
constant_fertility,900,2025,16.0623386895089
instant_replacement,900,2025,16.0624304533588
zero_migration,900,2025,16.0663557548051
constant_mortality,900,2025,15.6265609389038
no_change,900,2025,15.6265483445146
high_variant,900,2030,18.1007500496168
low_variant,900,2030,18.1007500496168
constant_fertility,900,2030,18.1007500496168
instant_replacement,900,2030,18.1009437757388
zero_migration,900,2030,18.1082294408144
constant_mortality,900,2030,17.2453124698397
no_change,900,2030,17.2452715205753
high_variant,900,2035,20.0527435099574
low_variant,900,2035,20.5443558529458
constant_fertility,900,2035,20.1897206119108
instant_replacement,900,2035,20.5205834403464
zero_migration,900,2035,20.3114700670938
constant_mortality,900,2035,18.8949712039026
no_change,900,2035,18.7974067132133
high_variant,900,2040,21.6231850942745
low_variant,900,2040,22.9928845482794
constant_fertility,900,2040,21.9360740953926
instant_replacement,900,2040,22.7594086506802
zero_migration,900,2040,22.3162643676492
constant_mortality,900,2040,20.2225404374378
no_change,900,2040,19.9083895590193
high_variant,900,2045,22.5826903120541
low_variant,900,2045,25.1202965504316
constant_fertility,900,2045,23.0390623810931
instant_replacement,900,2045,24.5020966951455
zero_migration,900,2045,23.8260036164399
constant_mortality,900,2045,20.9787262769292
no_change,900,2045,20.3324487158793
high_variant,900,2050,23.7808102427148
low_variant,900,2050,27.6850523001173
constant_fertility,900,2050,24.2535013164322
instant_replacement,900,2050,26.5814515254072
zero_migration,900,2050,25.6332932858406
constant_mortality,900,2050,21.9673583575365
no_change,900,2050,20.8449796208706
high_variant,900,2055,25.2950731296274
low_variant,900,2055,30.967526803887
constant_fertility,900,2055,25.6627548083446
instant_replacement,900,2055,29.2208514409972
zero_migration,900,2055,27.8968550955031
constant_mortality,900,2055,23.3601604988591
no_change,900,2055,21.5585755261899
high_variant,900,2060,26.0347410035995
low_variant,900,2060,33.7657794537701
constant_fertility,900,2060,26.1676252629749
instant_replacement,900,2060,31.2327098685335
zero_migration,900,2060,29.4645994242853
constant_mortality,900,2060,24.0950477089924
no_change,900,2060,21.4731083974148
high_variant,900,2065,25.9875404925794
low_variant,900,2065,36.0052969704287
constant_fertility,900,2065,25.7663037995585
instant_replacement,900,2065,32.5026728903158
zero_migration,900,2065,30.3016666722733
constant_mortality,900,2065,24.1474967282669
no_change,900,2065,20.6242790204295
high_variant,900,2070,25.7950979756492
low_variant,900,2070,38.5055916871001
constant_fertility,900,2070,25.0785766700601
instant_replacement,900,2070,33.7290285343283
zero_migration,900,2070,31.1037618840009
constant_mortality,900,2070,24.1827544257628
no_change,900,2070,19.622942147703
high_variant,900,2075,25.7129300565752
low_variant,900,2075,41.6665888462321
constant_fertility,900,2075,24.3136397890995
instant_replacement,900,2075,35.2240499467602
zero_migration,900,2075,32.1420529140216
constant_mortality,900,2075,24.5024618489869
no_change,900,2075,18.7059605951787
high_variant,900,2080,25.7662887110734
low_variant,900,2080,45.642163351814
constant_fertility,900,2080,23.4810161085514
instant_replacement,900,2080,37.0397251834085
zero_migration,900,2080,33.4512408447547
constant_mortality,900,2080,25.1461148922936
no_change,900,2080,17.883267886938
high_variant,900,2085,26.5681963064406
low_variant,900,2085,48.1751153478814
constant_fertility,900,2085,22.6780847440986
instant_replacement,900,2085,37.8816522144909
zero_migration,900,2085,34.727326270409
constant_mortality,900,2085,25.7461654851985
no_change,900,2085,17.1541260267748
high_variant,900,2090,27.5569264008365
low_variant,900,2090,49.6398649227629
constant_fertility,900,2090,21.8076099973644
instant_replacement,900,2090,38.6641343641788
zero_migration,900,2090,35.8363150767779
constant_mortality,900,2090,26.0923357096465
no_change,900,2090,16.3629915864296
high_variant,900,2095,28.5809775629725
low_variant,900,2095,50.5325313594562
constant_fertility,900,2095,20.9057933228292
instant_replacement,900,2095,39.5361814924714
zero_migration,900,2095,36.8719044197712
constant_mortality,900,2095,26.2614406598807
no_change,900,2095,15.5264934452836
high_variant,900,2100,29.3994949791137
low_variant,900,2100,51.8712891218767
constant_fertility,900,2100,20.0119137195546
instant_replacement,900,2100,40.5926611764812
zero_migration,900,2100,37.9494673742474
constant_mortality,900,2100,26.4288242075496
no_change,900,2100,14.7129467895961
