continent,variant,gender,freq,year,mortality15to50per1000aliveat15
935,estimates,female,5yearly,1950,297.301320989124
935,estimates,male,5yearly,1950,307.433132808051
935,estimates,female,5yearly,1955,264.724742413913
935,estimates,male,5yearly,1955,276.86404750931
935,estimates,female,5yearly,1960,240.023553526902
935,estimates,male,5yearly,1960,251.071118202429
935,estimates,female,5yearly,1965,180.325466931281
935,estimates,male,5yearly,1965,186.488819890918
935,estimates,female,5yearly,1970,135.840458056617
935,estimates,male,5yearly,1970,145.416225266982
935,estimates,female,5yearly,1975,113.437211506812
935,estimates,male,5yearly,1975,126.642436483643
935,estimates,female,5yearly,1980,97.3672858052086
935,estimates,male,5yearly,1980,119.22257147131
935,estimates,female,5yearly,1985,87.5218984358628
935,estimates,male,5yearly,1985,107.772096202635
935,estimates,female,5yearly,1990,77.8046144869231
935,estimates,male,5yearly,1990,98.9376739184951
935,estimates,female,5yearly,1995,70.9548046582354
935,estimates,male,5yearly,1995,95.5796841020178
935,estimates,female,5yearly,2000,65.1795016507606
935,estimates,male,5yearly,2000,89.4212660078787
935,estimates,female,5yearly,2005,59.159126327745
935,estimates,male,5yearly,2005,84.4111149836122
935,estimates,female,5yearly,2010,52.1917807329468
935,estimates,male,5yearly,2010,78.8424870625201
935,medium_variant,female,5yearly,2015,48.0425253749653
935,medium_variant,male,5yearly,2015,74.6192273237982
935,medium_variant,female,5yearly,2020,44.687906834505
935,medium_variant,male,5yearly,2020,70.8129252532415
935,medium_variant,female,5yearly,2025,41.4492174547634
935,medium_variant,male,5yearly,2025,67.4116119872698
935,medium_variant,female,5yearly,2030,38.3241659502083
935,medium_variant,male,5yearly,2030,64.2666424906429
935,medium_variant,female,5yearly,2035,35.7234141071004
935,medium_variant,male,5yearly,2035,61.716961448267
935,medium_variant,female,5yearly,2040,34.1093497827286
935,medium_variant,male,5yearly,2040,59.5012766932797
935,medium_variant,female,5yearly,2045,32.3498248659815
935,medium_variant,male,5yearly,2045,56.5178980994752
935,medium_variant,female,5yearly,2050,30.4784694935499
935,medium_variant,male,5yearly,2050,53.322650759028
935,medium_variant,female,5yearly,2055,28.6521021856135
935,medium_variant,male,5yearly,2055,50.1584751559178
935,medium_variant,female,5yearly,2060,27.003676618524
935,medium_variant,male,5yearly,2060,47.0626966388731
935,medium_variant,female,5yearly,2065,25.5640643306402
935,medium_variant,male,5yearly,2065,44.3654345710097
935,medium_variant,female,5yearly,2070,24.1733625994348
935,medium_variant,male,5yearly,2070,41.3362855982842
935,medium_variant,female,5yearly,2075,22.7477813740449
935,medium_variant,male,5yearly,2075,38.19021123128
935,medium_variant,female,5yearly,2080,21.3339950963509
935,medium_variant,male,5yearly,2080,35.0101388117121
935,medium_variant,female,5yearly,2085,19.9544481521468
935,medium_variant,male,5yearly,2085,31.9163839224793
935,medium_variant,female,5yearly,2090,18.7077318405873
935,medium_variant,male,5yearly,2090,29.1131812420156
935,medium_variant,female,5yearly,2095,17.4852435025913
935,medium_variant,male,5yearly,2095,26.3665780504607
