continent,variant,gender,freq,year,mortality15to50per1000aliveat15
905,estimates,female,5yearly,1950,68.3930318630097
905,estimates,male,5yearly,1950,111.086292737787
905,estimates,female,5yearly,1955,59.5114463591536
905,estimates,male,5yearly,1955,103.425647952489
905,estimates,female,5yearly,1960,57.9780111023943
905,estimates,male,5yearly,1960,102.304396793776
905,estimates,female,5yearly,1965,58.2254464333025
905,estimates,male,5yearly,1965,107.742660188683
905,estimates,female,5yearly,1970,54.7792619835158
905,estimates,male,5yearly,1970,105.014182308359
905,estimates,female,5yearly,1975,46.4438533600701
905,estimates,male,5yearly,1975,93.0457886791909
905,estimates,female,5yearly,1980,40.7068141783355
905,estimates,male,5yearly,1980,82.585319119482
905,estimates,female,5yearly,1985,38.7526373956778
905,estimates,male,5yearly,1985,82.6667809434238
905,estimates,female,5yearly,1990,37.8165447605662
905,estimates,male,5yearly,1990,83.8422549967862
905,estimates,female,5yearly,1995,36.1831426206402
905,estimates,male,5yearly,1995,72.2389103634681
905,estimates,female,5yearly,2000,36.3535857613727
905,estimates,male,5yearly,2000,68.53417778677
905,estimates,female,5yearly,2005,35.2407977915408
905,estimates,male,5yearly,2005,65.0278607596159
905,estimates,female,5yearly,2010,33.6858528020879
905,estimates,male,5yearly,2010,60.0194773979931
905,medium_variant,female,5yearly,2015,31.9754215303998
905,medium_variant,male,5yearly,2015,56.4438790261184
905,medium_variant,female,5yearly,2020,30.288166959244
905,medium_variant,male,5yearly,2020,52.7903056673279
905,medium_variant,female,5yearly,2025,28.6048334020509
905,medium_variant,male,5yearly,2025,49.3129571880584
905,medium_variant,female,5yearly,2030,27.0603591942693
905,medium_variant,male,5yearly,2030,45.7957171577126
905,medium_variant,female,5yearly,2035,25.4963265764485
905,medium_variant,male,5yearly,2035,42.2820737622368
905,medium_variant,female,5yearly,2040,23.92685188376
905,medium_variant,male,5yearly,2040,38.9540176790253
905,medium_variant,female,5yearly,2045,22.4374433709602
905,medium_variant,male,5yearly,2045,35.9406796177074
905,medium_variant,female,5yearly,2050,20.9628675084249
905,medium_variant,male,5yearly,2050,33.3589512834799
905,medium_variant,female,5yearly,2055,19.5499310610044
905,medium_variant,male,5yearly,2055,30.9860370899369
905,medium_variant,female,5yearly,2060,18.1794034672569
905,medium_variant,male,5yearly,2060,29.0409337751536
905,medium_variant,female,5yearly,2065,16.8618103124067
905,medium_variant,male,5yearly,2065,27.1082996152575
905,medium_variant,female,5yearly,2070,15.6134774038863
905,medium_variant,male,5yearly,2070,25.4014847788693
905,medium_variant,female,5yearly,2075,14.3768651267379
905,medium_variant,male,5yearly,2075,23.6526308741564
905,medium_variant,female,5yearly,2080,13.1592587327855
905,medium_variant,male,5yearly,2080,21.9661273154417
905,medium_variant,female,5yearly,2085,12.0040796587362
905,medium_variant,male,5yearly,2085,20.4406697863876
905,medium_variant,female,5yearly,2090,10.8706356063055
905,medium_variant,male,5yearly,2090,18.8038859304128
905,medium_variant,female,5yearly,2095,9.8661245369599
905,medium_variant,male,5yearly,2095,17.3768071491495
