continent,variant,freq,year,meanageforchildbearing
909,estimates,5yearly,1950,28.237
909,estimates,5yearly,1955,28.039
909,estimates,5yearly,1960,28.046
909,estimates,5yearly,1965,27.959
909,estimates,5yearly,1970,27.709
909,estimates,5yearly,1975,27.814
909,estimates,5yearly,1980,27.989
909,estimates,5yearly,1985,28.265
909,estimates,5yearly,1990,28.545
909,estimates,5yearly,1995,28.847
909,estimates,5yearly,2000,29.171
909,estimates,5yearly,2005,29.555
909,estimates,5yearly,2010,29.816
909,medium_variant,5yearly,2015,30.03
909,medium_variant,5yearly,2020,30.191
909,medium_variant,5yearly,2025,30.347
909,medium_variant,5yearly,2030,30.488
909,medium_variant,5yearly,2035,30.607
909,medium_variant,5yearly,2040,30.69
909,medium_variant,5yearly,2045,30.737
909,medium_variant,5yearly,2050,30.76
909,medium_variant,5yearly,2055,30.784
909,medium_variant,5yearly,2060,30.812
909,medium_variant,5yearly,2065,30.84
909,medium_variant,5yearly,2070,30.864
909,medium_variant,5yearly,2075,30.881
909,medium_variant,5yearly,2080,30.894
909,medium_variant,5yearly,2085,30.908
909,medium_variant,5yearly,2090,30.922
909,medium_variant,5yearly,2095,30.936
909,estimates,5yearly,Regi,OCEANIA
909,medium_variant,5yearly,Regi,OCEANIA
