continent,variant,freq,year,meanageforchildbearing
903,estimates,5yearly,1950,29.498
903,estimates,5yearly,1955,29.515
903,estimates,5yearly,1960,29.54
903,estimates,5yearly,1965,29.587
903,estimates,5yearly,1970,29.617
903,estimates,5yearly,1975,29.659
903,estimates,5yearly,1980,29.725
903,estimates,5yearly,1985,29.777
903,estimates,5yearly,1990,29.635
903,estimates,5yearly,1995,29.456
903,estimates,5yearly,2000,29.352
903,estimates,5yearly,2005,29.269
903,estimates,5yearly,2010,29.142
903,medium_variant,5yearly,2015,29.03
903,medium_variant,5yearly,2020,28.95
903,medium_variant,5yearly,2025,28.916
903,medium_variant,5yearly,2030,28.913
903,medium_variant,5yearly,2035,28.919
903,medium_variant,5yearly,2040,28.93
903,medium_variant,5yearly,2045,28.945
903,medium_variant,5yearly,2050,28.968
903,medium_variant,5yearly,2055,29.006
903,medium_variant,5yearly,2060,29.058
903,medium_variant,5yearly,2065,29.117
903,medium_variant,5yearly,2070,29.178
903,medium_variant,5yearly,2075,29.244
903,medium_variant,5yearly,2080,29.316
903,medium_variant,5yearly,2085,29.394
903,medium_variant,5yearly,2090,29.477
903,medium_variant,5yearly,2095,29.564
