continent,variant,freq,year,meanageforchildbearing
905,estimates,5yearly,1950,26.755
905,estimates,5yearly,1955,26.592
905,estimates,5yearly,1960,26.637
905,estimates,5yearly,1965,26.423
905,estimates,5yearly,1970,26.037
905,estimates,5yearly,1975,26.055
905,estimates,5yearly,1980,26.301
905,estimates,5yearly,1985,26.63
905,estimates,5yearly,1990,26.78
905,estimates,5yearly,1995,27.235
905,estimates,5yearly,2000,27.822
905,estimates,5yearly,2005,28.166
905,estimates,5yearly,2010,28.863
905,medium_variant,5yearly,2015,29.607
905,medium_variant,5yearly,2020,30.571
905,medium_variant,5yearly,2025,30.587
905,medium_variant,5yearly,2030,30.601
905,medium_variant,5yearly,2035,30.611
905,medium_variant,5yearly,2040,30.614
905,medium_variant,5yearly,2045,30.617
905,medium_variant,5yearly,2050,30.619
905,medium_variant,5yearly,2055,30.619
905,medium_variant,5yearly,2060,30.62
905,medium_variant,5yearly,2065,30.62
905,medium_variant,5yearly,2070,30.62
905,medium_variant,5yearly,2075,30.62
905,medium_variant,5yearly,2080,30.62
905,medium_variant,5yearly,2085,30.62
905,medium_variant,5yearly,2090,30.621
905,medium_variant,5yearly,2095,30.621
