region,variant,freq,year,meanageforchildbearing
913,estimates,5yearly,1950,30.98
913,estimates,5yearly,1955,30.978
913,estimates,5yearly,1960,30.973
913,estimates,5yearly,1965,30.963
913,estimates,5yearly,1970,30.508
913,estimates,5yearly,1975,30.06
913,estimates,5yearly,1980,29.612
913,estimates,5yearly,1985,29.149
913,estimates,5yearly,1990,28.71
913,estimates,5yearly,1995,28.453
913,estimates,5yearly,2000,28.296
913,estimates,5yearly,2005,28.246
913,estimates,5yearly,2010,28.319
913,medium_variant,5yearly,2015,28.34
913,medium_variant,5yearly,2020,28.385
913,medium_variant,5yearly,2025,28.445
913,medium_variant,5yearly,2030,28.519
913,medium_variant,5yearly,2035,28.61
913,medium_variant,5yearly,2040,28.713
913,medium_variant,5yearly,2045,28.824
913,medium_variant,5yearly,2050,28.942
913,medium_variant,5yearly,2055,29.061
913,medium_variant,5yearly,2060,29.181
913,medium_variant,5yearly,2065,29.301
913,medium_variant,5yearly,2070,29.419
913,medium_variant,5yearly,2075,29.534
913,medium_variant,5yearly,2080,29.646
913,medium_variant,5yearly,2085,29.753
913,medium_variant,5yearly,2090,29.857
913,medium_variant,5yearly,2095,29.956
