region,variant,freq,year,meanageforchildbearing
931,estimates,5yearly,1950,29.642
931,estimates,5yearly,1955,29.62
931,estimates,5yearly,1960,29.573
931,estimates,5yearly,1965,29.468
931,estimates,5yearly,1970,29.288
931,estimates,5yearly,1975,28.906
931,estimates,5yearly,1980,28.498
931,estimates,5yearly,1985,27.977
931,estimates,5yearly,1990,27.507
931,estimates,5yearly,1995,27.201
931,estimates,5yearly,2000,27.049
931,estimates,5yearly,2005,27.029
931,estimates,5yearly,2010,27.013
931,medium_variant,5yearly,2015,27.104
931,medium_variant,5yearly,2020,27.385
931,medium_variant,5yearly,2025,27.634
931,medium_variant,5yearly,2030,27.885
931,medium_variant,5yearly,2035,28.134
931,medium_variant,5yearly,2040,28.38
931,medium_variant,5yearly,2045,28.618
931,medium_variant,5yearly,2050,28.842
931,medium_variant,5yearly,2055,29.053
931,medium_variant,5yearly,2060,29.251
931,medium_variant,5yearly,2065,29.436
931,medium_variant,5yearly,2070,29.609
931,medium_variant,5yearly,2075,29.767
931,medium_variant,5yearly,2080,29.91
931,medium_variant,5yearly,2085,30.04
931,medium_variant,5yearly,2090,30.156
931,medium_variant,5yearly,2095,30.259
