region,variant,freq,year,meanageforchildbearing
910,estimates,5yearly,1950,30.104
910,estimates,5yearly,1955,30.092
910,estimates,5yearly,1960,30.088
910,estimates,5yearly,1965,30.073
910,estimates,5yearly,1970,30.007
910,estimates,5yearly,1975,29.977
910,estimates,5yearly,1980,30.002
910,estimates,5yearly,1985,29.959
910,estimates,5yearly,1990,29.791
910,estimates,5yearly,1995,29.542
910,estimates,5yearly,2000,29.449
910,estimates,5yearly,2005,29.272
910,estimates,5yearly,2010,29.054
910,medium_variant,5yearly,2015,28.887
910,medium_variant,5yearly,2020,28.746
910,medium_variant,5yearly,2025,28.631
910,medium_variant,5yearly,2030,28.545
910,medium_variant,5yearly,2035,28.486
910,medium_variant,5yearly,2040,28.451
910,medium_variant,5yearly,2045,28.431
910,medium_variant,5yearly,2050,28.425
910,medium_variant,5yearly,2055,28.438
910,medium_variant,5yearly,2060,28.469
910,medium_variant,5yearly,2065,28.514
910,medium_variant,5yearly,2070,28.572
910,medium_variant,5yearly,2075,28.643
910,medium_variant,5yearly,2080,28.727
910,medium_variant,5yearly,2085,28.821
910,medium_variant,5yearly,2090,28.927
910,medium_variant,5yearly,2095,29.042
910,estimates,5yearly,Regi,Eastern Africa
910,medium_variant,5yearly,Regi,Eastern Africa
