region,variant,freq,year,meanageforchildbearing
916,estimates,5yearly,1950,29.438
916,estimates,5yearly,1955,29.436
916,estimates,5yearly,1960,29.383
916,estimates,5yearly,1965,29.371
916,estimates,5yearly,1970,29.247
916,estimates,5yearly,1975,28.741
916,estimates,5yearly,1980,28.317
916,estimates,5yearly,1985,28.032
916,estimates,5yearly,1990,27.822
916,estimates,5yearly,1995,27.404
916,estimates,5yearly,2000,27.197
916,estimates,5yearly,2005,27.067
916,estimates,5yearly,2010,27.091
916,medium_variant,5yearly,2015,27.103
916,medium_variant,5yearly,2020,27.21
916,medium_variant,5yearly,2025,27.386
916,medium_variant,5yearly,2030,27.604
916,medium_variant,5yearly,2035,27.835
916,medium_variant,5yearly,2040,28.069
916,medium_variant,5yearly,2045,28.3
916,medium_variant,5yearly,2050,28.524
916,medium_variant,5yearly,2055,28.745
916,medium_variant,5yearly,2060,28.959
916,medium_variant,5yearly,2065,29.163
916,medium_variant,5yearly,2070,29.353
916,medium_variant,5yearly,2075,29.53
916,medium_variant,5yearly,2080,29.694
916,medium_variant,5yearly,2085,29.845
916,medium_variant,5yearly,2090,29.983
916,medium_variant,5yearly,2095,30.109
