region,variant,freq,year,meanageforchildbearing
941,estimates,5yearly,1950,29.419
941,estimates,5yearly,1955,29.407
941,estimates,5yearly,1960,29.412
941,estimates,5yearly,1965,29.437
941,estimates,5yearly,1970,29.466
941,estimates,5yearly,1975,29.506
941,estimates,5yearly,1980,29.526
941,estimates,5yearly,1985,29.503
941,estimates,5yearly,1990,29.348
941,estimates,5yearly,1995,29.163
941,estimates,5yearly,2000,28.982
941,estimates,5yearly,2005,28.796
941,estimates,5yearly,2010,28.659
941,medium_variant,5yearly,2015,28.544
941,medium_variant,5yearly,2020,28.469
941,medium_variant,5yearly,2025,28.438
941,medium_variant,5yearly,2030,28.445
941,medium_variant,5yearly,2035,28.482
941,medium_variant,5yearly,2040,28.54
941,medium_variant,5yearly,2045,28.604
941,medium_variant,5yearly,2050,28.667
941,medium_variant,5yearly,2055,28.734
941,medium_variant,5yearly,2060,28.807
941,medium_variant,5yearly,2065,28.887
941,medium_variant,5yearly,2070,28.97
941,medium_variant,5yearly,2075,29.057
941,medium_variant,5yearly,2080,29.148
941,medium_variant,5yearly,2085,29.244
941,medium_variant,5yearly,2090,29.342
941,medium_variant,5yearly,2095,29.445
