region,variant,freq,year,meanageforchildbearing
906,estimates,5yearly,1950,29.754
906,estimates,5yearly,1955,29.785
906,estimates,5yearly,1960,29.74
906,estimates,5yearly,1965,29.622
906,estimates,5yearly,1970,29.229
906,estimates,5yearly,1975,28.164
906,estimates,5yearly,1980,26.545
906,estimates,5yearly,1985,26.281
906,estimates,5yearly,1990,26.336
906,estimates,5yearly,1995,26.38
906,estimates,5yearly,2000,26.692
906,estimates,5yearly,2005,27.024
906,estimates,5yearly,2010,27.305
906,medium_variant,5yearly,2015,27.837
906,medium_variant,5yearly,2020,28.613
906,medium_variant,5yearly,2025,29.2
906,medium_variant,5yearly,2030,29.669
906,medium_variant,5yearly,2035,30.008
906,medium_variant,5yearly,2040,30.255
906,medium_variant,5yearly,2045,30.437
906,medium_variant,5yearly,2050,30.563
906,medium_variant,5yearly,2055,30.64
906,medium_variant,5yearly,2060,30.684
906,medium_variant,5yearly,2065,30.709
906,medium_variant,5yearly,2070,30.726
906,medium_variant,5yearly,2075,30.741
906,medium_variant,5yearly,2080,30.759
906,medium_variant,5yearly,2085,30.776
906,medium_variant,5yearly,2090,30.793
906,medium_variant,5yearly,2095,30.809
