region,variant,freq,year,meanageforchildbearing
914,estimates,5yearly,1950,29.155
914,estimates,5yearly,1955,29.252
914,estimates,5yearly,1960,29.363
914,estimates,5yearly,1965,29.473
914,estimates,5yearly,1970,29.581
914,estimates,5yearly,1975,29.661
914,estimates,5yearly,1980,29.706
914,estimates,5yearly,1985,29.729
914,estimates,5yearly,1990,29.731
914,estimates,5yearly,1995,29.679
914,estimates,5yearly,2000,29.655
914,estimates,5yearly,2005,29.623
914,estimates,5yearly,2010,29.561
914,medium_variant,5yearly,2015,29.515
914,medium_variant,5yearly,2020,29.477
914,medium_variant,5yearly,2025,29.453
914,medium_variant,5yearly,2030,29.439
914,medium_variant,5yearly,2035,29.434
914,medium_variant,5yearly,2040,29.436
914,medium_variant,5yearly,2045,29.446
914,medium_variant,5yearly,2050,29.461
914,medium_variant,5yearly,2055,29.483
914,medium_variant,5yearly,2060,29.511
914,medium_variant,5yearly,2065,29.546
914,medium_variant,5yearly,2070,29.583
914,medium_variant,5yearly,2075,29.625
914,medium_variant,5yearly,2080,29.673
914,medium_variant,5yearly,2085,29.724
914,medium_variant,5yearly,2090,29.78
914,medium_variant,5yearly,2095,29.838
