region,variant,freq,year,meanageforchildbearing
934,estimates,5yearly,1950,29.61
934,estimates,5yearly,1955,29.62
934,estimates,5yearly,1960,29.617
934,estimates,5yearly,1965,29.531
934,estimates,5yearly,1970,29.263
934,estimates,5yearly,1975,28.716
934,estimates,5yearly,1980,28.064
934,estimates,5yearly,1985,27.701
934,estimates,5yearly,1990,27.501
934,estimates,5yearly,1995,27.36
934,estimates,5yearly,2000,27.328
934,estimates,5yearly,2005,27.398
934,estimates,5yearly,2010,27.483
934,medium_variant,5yearly,2015,27.59
934,medium_variant,5yearly,2020,27.81
934,medium_variant,5yearly,2025,27.997
934,medium_variant,5yearly,2030,28.183
934,medium_variant,5yearly,2035,28.345
934,medium_variant,5yearly,2040,28.502
934,medium_variant,5yearly,2045,28.656
934,medium_variant,5yearly,2050,28.799
934,medium_variant,5yearly,2055,28.932
934,medium_variant,5yearly,2060,29.063
934,medium_variant,5yearly,2065,29.193
934,medium_variant,5yearly,2070,29.319
934,medium_variant,5yearly,2075,29.439
934,medium_variant,5yearly,2080,29.554
934,medium_variant,5yearly,2085,29.667
934,medium_variant,5yearly,2090,29.78
934,medium_variant,5yearly,2095,29.889
